COGID	AntangWesternSandong	BanliangYangAn	DujiangEasternSandong	JiaoliPandong	JiarongSouthernSandong	JiuqianSouthernSandong	Pandong	RenliEasternSandong	SanjiangEasternSandong	ShuigenCentralSandong	ShuiweiSouthernSandong	ShuiyaoSouthernSandong	TangnianYangAn	TangzhouWesternSandong	TingpaiWesternSandong	ZhongheCentralSandong
7585-1	k a ¹															
8582-1	m j a ¹															
9097-1	l a m ¹															
10125-1	ˀd a ¹															
9460-1	l aːu ¹															
9649-1	p u t ¹															
9870-1	ŋ a p ¹															
8680-1	n a m ¹															
7699-1	ȶ i t ¹															
9001-1	ŋ w a t ¹															
9494-1	t i p ¹															
7666-1	h ə n ¹															
9598-1	t a k ¹															
8023-1	k u m ¹															
9053-1	ʔ u t ¹															
10091-1	s u k ¹															
10002-1	p j aːu ¹															
7765-1	t aːu ¹															
8800-1	m e ¹															
9934-1	k a ¹															
9985-1	ʔ aːu ¹															
7850-1	t aː p ¹															
7816-1	ʔ a m ¹															
8663-1	ʔ u m ¹															
8697-1	ȶ i t ¹															
9615-1	j a n ¹															
8362-1	t ə t ¹															
8091-1	t ai ¹															
8748-1	h a ¹															
22-1	t aːu ¹															
11084-1	s aːu ¹															
7365-1	n ai ¹															
4201-1	s i ¹															
5841-1	f a ¹															
4640-1	t a ¹															
662-1	l ə n ¹															
384-1	n aːu ¹															
5151-1	m e ¹															
1399-1	t o ¹															
5259-1	ʔ j ə t ¹															
10353-1	ˀd a ¹															
10370-1	n i ¹															
7401-1	h aː m ¹															
2958-1	h i ¹															
2770-1	ŋ o ¹															
6434-1	l j o k ¹															
6192-1	h ə t ¹															
2231-1	p aː t ¹															
5116-1	ȶ u ¹															
7297-1	s u p ¹															
3731-1	p e k ¹															
748-1	n a m ¹															
2180-1	h a m ¹															
4107-1	n a m ¹															
2688-1	k o n ¹															
616-1	k i ŋ ¹															
1898-1	ˀd a k ¹															
203-1	m ai ¹															
897-1	m j a ¹															
10189-1	ɕ e n ¹															
1592-1	s o k ¹															
6088-1	t j a ŋ ¹															
2975-1	ˀd aː ŋ ¹															
6714-1	h u m ¹															
731-1	k a m ¹															
2722-1	j u ¹															
5637-1	k aː t ¹															
765-1	j i k ¹															
1695-1	k i m ¹															
2112-1	s j u ¹															
6634-1	m a ¹															
7331-1	n a ¹															
7348-1	m aː ŋ ¹															
6527-1	t i ¹															
3568-1	t a n ¹															
4378-1	ˀd a ¹															
6292-1	ˀd j ə n ¹															
3585-1	ɕ e ŋ ¹															
4428-1	ˀd a m ¹															
7046-1	ɕ a ŋ ¹															
1915-1	ʔ j a m ¹															
4518-1	k u ŋ ¹															
2516-1	s j e ¹															
4480-1	p aː n ¹															
2499-1	m j e k ¹															
5584-1	h o ¹															
2429-1	h o ¹															
5224-1	k aːu ¹															
3464-1	k a k ¹															
10142-1	t o ŋ ¹															
7159-1	w a n ¹															
6599-1	n u ¹															
10207-1	m u ¹															
6837-1	s ə n ¹															
2654-1	ˀd i ¹															
367-1	f u k ¹															
5858-1	n j a ¹															
451-1	f a n ¹															
5944-1	h aː ŋ ¹															
512-1	l j e k ¹															
7138-1	ʔ u ¹															
4845-1	j a ¹															
4915-1	k aː t ¹															
10570-1	k u ¹															
5300-1	m j e n ¹															
5418-1	ȶ i ¹ ¹															
1748-1	f i t ¹															
3532-1	t u ¹															
310-1	t e ¹															
5368-1	f a n ¹															
4321-1	t a p ¹															
5065-1	k e ¹															
5961-1	l aː k ¹															
1450-1	t a ¹															
10430-1	ʔ ə ¹															
6210-1	t u ¹															
5468-1	ɕ ə n ¹															
6685-1	h aːu ¹															
89-1	k a ¹															
153-1	s u ¹															
120-1	m j u ¹															
50-1	ʔ j e ¹															
4947-1	ˀd aː n ¹															
8866-1	l j e k ¹															
9165-1	ˀd aː k ¹															
7919-1	t a ŋ ¹															
9765-1	s o t ¹															
7520-1	ʔ aːu ¹															
8883-1	p o ¹															
8565-1	h u ŋ ¹															
8646-1	ts a m ¹															
9686-1	t j ə t ¹															
10108-1	m j ə t ¹															
10073-1	t a m ¹															
1536-1	l j u ¹															
9131-1	h aː k ¹															
8799-1	ʔ o ¹															
9721-1	t ai ¹															
8124-1	ʔ j aː m ¹															
8448-1	l aː m ¹															
8714-1	ȶ i t ¹															
5317-1	n u k ¹															
1138-1	ˀd j e n ¹															
1502-1	n i t ¹															
3109-1	t j a m ¹															
3334-1	p a ¹															
3840-1	ŋ aː n ¹															
3748-1	ʔ j e k ¹															
3015-1	t i k ¹															
7262-1	k a n ¹															
10635-1	h a k ¹															
697-1	l aːu ¹															
5031-1	p j ai ¹															
1553-1	k o m ¹															
224-1	t i ¹															
186-1	t j a ŋ ¹															
5185-1	n a m ¹															
1484-1	f a ¹															
1933-1	n i ¹															
2939-1	ˀd o ŋ ¹															
1000-1	p u p ¹															
2551-1	k a ŋ ¹															
1646-1	ɕ u ¹															
565-1	t o ¹															
5552-1	f a k ¹															
3159-1	f a ¹															
5876-1	k u ¹															
1299-1	s i m ¹															
4862-1	p aː k ¹															
1180-1	t e ¹															
4008-1	k u ¹															
6774-1	l a ¹															
3875-1	h a ¹															
6036-1	ˀd w a ¹															
6398-1	l j e m ¹															
7063-1	ˀb i n ¹															
492-1	t j e m ¹															
1627-1	k u ŋ ¹															
5927-1	h u m ¹															
3951-1	m ai ¹															
3049-1	m aː ŋ ¹															
6684-1	l aː k ¹															
1850-1	l aː k ¹															
3262-1	l aː k ¹															
8260-1	ȶ j e ¹ ¹															
7551-1	t a ¹															
9564-1	h u ¹															
9443-1	t aːu ¹															
9545-1	h i p ¹															
7650-1	ȶ ə t ¹															
7833-1	t j a k ¹															
9148-1	ʔ j e ¹															
9036-1	ȶ a ¹															
8904-1	m a ŋ ¹															
7683-1	t a m ¹															
8227-1	s a ¹															
8616-1	n a ŋ ¹															
11112-1	n a ¹															
11163-1	m a n ¹															
11130-1	m a n ¹															
10652-1	n i ¹															
10653-1	m aː ŋ ¹															
5241-1	t i ¹															
3398-1	ȶ o t ¹															
2357-1	ˀb i ŋ ¹															
3696-1	ˀd u ¹															
10716-1	p aː k ¹															
5722-1	h aː n ¹															
3317-1	h j u ¹															
4142-1	h ə t ¹															
5705-1	ˀd j u p ¹															
5980-1	k u ¹															
6242-1	ˀd j e ¹															
1344-1	q aː ŋ ¹															
3194-1	ˀd a ¹															
4411-1	t u p ¹															
7419-1	n a ¹															
6070-1	ˀd e ¹															
6139-1	t a n ¹															
6158-1	ˀd j a ¹															
10295-1	n j ə ŋ ¹															
2821-1	l j e n ¹															
3293-1	ŋ w a ŋ ¹															
4999-1	ˀd w a ¹															
4039-1	m i t ¹															
10273-1	ʔ u ¹															
4056-1	h ə n ¹															
10503-1	aː ŋ ¹															
10764-1	n i ¹															
10765-1	m j e k ¹															
2248-1	f a ¹															
2266-1	f e ¹															
3713-1	ʔ u ŋ ¹															
9782-1	h ə t ¹															
9426-1	ˀd o ¹															
7936-1	t a m ¹															
7799-1	j u ¹															
9855-1	l i n ¹															
1037-1	ʁ aːu ¹															
10733-1	ʔ ai ¹															
5520-1	t j o ŋ ¹															
1367-1	l i ŋ ¹															
4124-1	ʔ e ¹															
4218-1	ˀd j a ¹															
6053-1	n a ŋ ¹															
6916-1	ȶ ə n ¹															
2446-1	p i ¹															
6510-1	f o n ¹															
3414-1	m̥ j e n ¹															
2889-1	l j e ¹															
4707-1	ˀd j a k ¹															
7418-1	k u m ¹															
5099-1	s aː n ¹															
401-1	ŋ o ¹															
5910-1	t i n ¹															
3351-1	t a ¹															
10482-1	j aːu ¹															
532-1	p i ¹															
1416-1	l a m ¹															
5334-1	p o ¹															
10797-1	l aːu ¹															
5688-1	ŋ o ¹															
3858-1	n u ¹															
4497-1	ʔ e ¹															
3662-1	p aːu ¹															
10256-1	f j a n ¹															
2622-1	m j a ¹															
4998-1	h a ¹															
4235-1	p a ¹															
6451-1	p i ¹															
5401-1	n j a ¹ ¹															
10884-1	ȶ i ŋ ¹															
5807-1	ʔ a ¹															
7208-1	h i ¹															
799-1	l a ¹															
3765-1	ʔ e ¹															
3263-1	h aː n ¹															
9477-1	p e ¹															
7902-1	h aː t ¹															
8731-1	t aː p ¹															
8968-1	ʔ a n ¹															
8414-1	f j e m ¹															
9738-1	s i t ¹															
8467-1	s aːu ¹															
9632-1	m̥ a ¹															
9382-1	k o ¹															
9916-1	k u n ¹															
1800-1	t j ə ŋ ¹															
4964-1	n j a p ¹															
5824-1	f u ¹															
3791-1	ɕ j ə ŋ ¹															
1784-1	ŋ e ¹															
6934-1	ɕ ə n ¹															
2051-1	p a ¹															
6544-1	k u p ¹															
6105-1	ˀd j ə n ¹															
4304-1	h aːu ¹															
1570-1	k ə ŋ ¹															
6122-1	j j u ¹															
2305-1	j u t ¹															
2856-1	ʔ u ¹															
9181-1	t i ŋ ¹															
8985-1	ŋ ai ¹															
9951-1	l j u ¹															
8140-1	ŋ j a p ¹															
8108-1	t ə t ¹															
7888-1	p ai ¹															
7638-1	n o n ¹															
9887-1	h j a ¹															
9834-1	s j e t ¹															
966-1	ˀd aː ŋ ¹															
5981-1	l u ¹															
434-1	ʔ a ¹															
10619-1	ɕ ai ¹															
6882-2		h a t ¹														
6485-2		m aː n ¹														
4690-2		m u n ¹														
5671-2		p j aː n ¹														
4272-2		t j a p ¹														
10935-2		p a ¹														
4760-2		n j aː n ¹														
1881-2		h a n ¹														
4777-2		h a t ¹														
10969-2		h a n ¹														
10970-2		n u ¹														
10206-2		h a n ¹														
6565-2		t a n ¹														
1281-2		t j a n ¹														
10569-2		n a m ¹														
6899-2		p j u ŋ ¹														
7081-2		k u ¹														
4090-2		t a m ¹														
2197-2		h u m ¹														
3352-2		t i ¹														
3892-2		t a t ¹														
1071-2		q aː m ¹														
10313-2		m a ¹														
2671-2		t j a t ¹														
5502-2		t aː n ¹														
7382-2		t u n ¹														
932-2		t i ŋ ¹														
533-2		m a ¹														
4159-2		t a ¹														
2804-2		n u n ¹														
5451-2		ʔ a ¹														
5773-2		ʔ a ¹														
6933-2		ʔ a ¹														
4657-2		ʔ a ¹														
4658-2		p j aː ŋ ¹														
6966-2		h i ¹														
5351-2		t a ¹														
4073-2		t a ¹														
2163-2		m j aː n ¹														
1121-2		p a ¹														
5790-2		h aː ŋ ¹														
10413-2		m a ¹														
6731-2		m a ¹														
1645-2		m a ¹														
4914-2		m a ¹														
6175-2		n a ¹														
3092-2		i ŋ ¹														
1247-2		l j aː n ¹														
5620-2		t j u ¹														
4897-2		q a ¹														
4811-2		p aː ŋ ¹														
1213-2		q a ¹														
11019-2		q aː ŋ ¹														
11020-2		q a ¹														
2129-2		ʔ a p ¹														
3211-2		ŋ aː n ¹														
714-2		n o n ¹														
1729-2		q a ¹														
3679-2		m a ¹														
1054-2		m j a ¹														
7448-2		m u m ¹														
582-2		m i ¹														
4743-2		m u n ¹														
5419-2		l j a n ¹														
5601-2		m i n ¹														
2705-2		m u m ¹														
6381-2		n o n ¹														
1017-2		m a ¹														
645-2		l u n ¹														
273-2		m a t ¹														
4338-2		t j a n ¹														
2533-2		k a ¹														
1089-2		q u p ¹														
843-2		n a n ¹														
2787-2		m a t ¹														
4462-2		n u n ¹														
10918-2		h a n ¹														
6582-2		h u ¹														
2070-2		k a ¹														
3075-2		n aː n ¹														
10848-2		t a ¹														
2480-2		aː n ¹														
2214-2		k a ¹														
7225-2		l aː t ¹														
3515-2		p j a m ¹														
2588-2		aː n ¹														
2908-2		p j aː n ¹														
2393-2		n a ¹														
1156-2		n a ¹														
2374-2		t a ¹														
2146-2		q a ¹														
5133-2		n a ŋ ¹														
4981-2		m u n ¹														
10239-2		m a ¹														
599-2		n j u t ¹														
5048-2		q o ¹														
6331-2		h a ¹														
290-2		t i n ¹														
311-2		h aː n ¹														
3430-2		m j a ¹														
5369-2		m j a ¹														
2749-2		t u n ¹														
2621-2		l a p ¹														
1181-2		t a n ¹														
949-2		t j u ¹														
2839-2		t i n ¹														
861-2		l aː n ¹														
6773-2		l aː n ¹														
5739-2		l aː n ¹														
5740-2		t a t ¹														
3550-2		h u m ¹														
4445-2		p u t ¹														
680-2		l o ŋ ¹														
817-2		t aː n ¹														
782-2		p j aː t ¹														
10396-2		n j u ¹														
4606-2		n aː n ¹														
5207-2		m a n ¹														
7280-2		t a ¹														
6983-2		j u t ¹														
5168-2		p u ŋ ¹														
1264-2		t u ¹														
915-2		t u ¹														
1767-2		t u ŋ ¹														
10901-2		kʰ i n ¹														
10867-2		t o ŋ ¹														
417-2		t aː n ¹														
2285-2		p j u ¹														
11002-2		j i t ¹														
6348-2		m a ¹														
6349-2		q aː n ¹														
10602-2		m aː n ¹														
5654-2		m i n ¹														
880-2		l a ¹														
983-2		n aː n ¹														
2033-2		t o ¹														
1433-2		j j a ¹														
1467-2		t u n ¹														
469-2		t u m ¹														
3127-2		m j a ¹														
4623-2		h a ¹														
7099-2		l j ə n ¹														
4726-2		h i n ¹														
10465-2		m aː n ¹														
5519-2		l aː n ¹														
5893-2		kʰ u n ¹														
2857-2		t i n ¹														
3645-2		ɣ aː n ¹														
3032-2		t j aː n ¹														
2088-2		t j a n ¹														
2463-2		p u ¹														
4794-2		n a ¹														
4569-2		l u ŋ ¹														
4586-2		t u ¹														
4552-2		p a ¹														
3228-2		q o ŋ ¹														
3245-2		j a ¹														
6651-2		l aː n ¹														
6652-2		p aː n ¹														
1817-2		l aː n ¹														
1818-2		m j aː n ¹														
11052-2		n u ¹														
1230-2		l aː n ¹														
3380-2		h a n ¹														
8174-2		ɣ u m ¹														
8599-2		p j a m ¹														
7782-2		t j u ¹														
8294-2		l i n ¹														
8514-2		h a ¹														
9669-2		l j a n ¹														
8531-2		p a ¹														
7954-2		ʔ u n ¹														
9968-2		t aː m ¹														
8040-2		t a ¹														
9304-2		t i ¹														
8345-2		t o n ¹														
8765-2		t o n ¹														
8849-2		t a ŋ ¹														
9286-2		t aː n ¹														
9581-2		n u n ¹														
9267-2		l a ¹														
8497-2		t a n ¹														
7602-2		ʔ aː p ¹														
8431-2		t j a n ¹														
10036-2		kʰ u n ¹														
10019-2		l a n ¹														
9216-2		n a ¹														
8074-2		q a t ¹														
9511-2		p a n ¹														
8243-2		j a m ¹														
9250-2		t a m ¹														
7568-2		t a ¹														
8832-2		k u ¹														
8057-2		n a ¹														
7716-2		h u p ¹														
9899-2		t i ¹														
7585-2		q a ¹														
8582-2		m j a ¹														
9097-2		h a m ¹														
10125-2		t a ¹														
9460-2		l a ¹														
9649-2		p u t ¹														
9870-2		ŋ a p ¹														
8680-2		ŋ a m ¹														
7699-2		t i t ¹														
9001-2		ŋ a t ¹														
9494-2		t i p ¹														
7666-2		t a n ¹														
9598-2		t a n ¹														
8023-2		q u m ¹														
9053-2		t u t ¹														
10091-2		t u n ¹														
10002-2		p j a ¹														
7765-2		t a ¹														
8800-2		m a ¹														
9934-2		k a ¹														
9985-2		ʔ a ¹														
7850-2		t aː p ¹														
7816-2		h a m ¹														
8663-2		h u m ¹														
8697-2		t i t ¹														
9615-2		j a n ¹														
8362-2		t a t ¹														
8091-2		t a ¹														
8748-2		h a ¹														
22-2		t a ¹														
11084-2		t a ¹														
7365-2		n a ¹														
4201-2		t a ¹														
5841-2		t a ¹														
4640-2		t a ¹														
662-2		l aː n ¹														
384-2		n a ¹														
5151-2		m a ¹														
1399-2		t u ¹														
5259-2		t j a t ¹														
10353-2		t a ¹														
10370-2		n a ¹														
7401-2		h aː m ¹														
2958-2		h i ¹														
2770-2		ŋ o ¹														
6434-2		l j o n ¹														
6192-2		h a t ¹														
2231-2		p aː t ¹														
5116-2		t u ¹														
7297-2		t j u p ¹														
3731-2		p a n ¹														
748-2		n a m ¹														
2180-2		h a m ¹														
4107-2		n a m ¹														
2688-2		q u n ¹														
616-2		q i ŋ ¹														
1898-2		t a n ¹														
203-2		m a ¹														
897-2		m j a ¹														
10189-2		h i n ¹														
1592-2		t o n ¹														
6088-2		t j a n ¹														
2975-2		t aː ŋ ¹														
6714-2		h u m ¹														
731-2		q a m ¹														
2722-2		j u ¹														
5637-2		q aː t ¹														
765-2		j i n ¹														
1695-2		h i m ¹														
2112-2		kʰ j u ¹														
6634-2		m a ¹														
7331-2		n a ¹														
7348-2		m aː ŋ ¹														
6527-2		t i ¹														
3568-2		t a n ¹														
4378-2		t a ¹														
6292-2		t j a n ¹														
3585-2		t aː n ¹														
4428-2		t a m ¹														
7046-2		h a ŋ ¹														
1915-2		j a m ¹														
4518-2		q u ŋ ¹														
2516-2		t j u ¹														
4480-2		p aː n ¹														
2499-2		m j aː n ¹														
5584-2		ʔ o ¹														
2429-2		h o ¹														
5224-2		q a ¹														
3464-2		t j a n ¹														
10142-2		t o ŋ ¹														
7159-2		h a n ¹														
6599-2		n u ¹														
10207-2		m u ¹														
6837-2		h aː n ¹														
367-2		t u n ¹														
5858-2		n j a ¹														
451-2		p a n ¹														
5944-2		h aː ŋ ¹														
512-2		l j aː n ¹														
7138-2		ʔ u ¹														
4915-2		q aː t ¹														
10570-2		q u ¹														
5300-2		m j aː n ¹														
5418-2		t i ¹ ¹														
1748-2		p i t ¹														
310-2		t a ¹														
5368-2		p a n ¹														
4321-2		t a ŋ ¹														
5065-2		t a ¹														
5961-2		l aː n ¹														
1450-2		t a ¹														
10430-2		t a ¹														
6210-2		t a ¹														
5468-2		h aː n ¹														
6685-2		h a ¹														
89-2		k a ¹														
153-2		t u ¹														
120-2		m j u ¹														
50-2		j u ¹														
8866-2		l j a n ¹														
9165-2		t aː n ¹														
7919-2		t a ŋ ¹														
9765-2		t o t ¹														
7520-2		t a ¹														
8883-2		p o ¹														
8565-2		h u ŋ ¹														
9686-2		t j a t ¹														
10108-2		m j a t ¹														
10073-2		t a m ¹														
1536-2		t j u ¹														
9131-2		h aː n ¹														
8799-2		ʔ o ¹														
8124-2		p j aː m ¹														
8448-2		l aː m ¹														
8714-2		t i t ¹														
5317-2		n u n ¹														
1138-2		t j a n ¹														
1502-2		n i t ¹														
3109-2		t a m ¹														
3334-2		p a ¹														
3840-2		ŋ aː n ¹														
3748-2		j aː n ¹														
3015-2		t i n ¹														
7262-2		q a n ¹														
10635-2		ɣ a n ¹														
697-2		l a ¹														
5031-2		p j u ¹														
1553-2		q o m ¹														
224-2		t a ¹														
186-2		t j a n ¹														
5185-2		n a m ¹														
1484-2		t a ¹														
1000-2		p u p ¹														
1646-2		t u ¹														
565-2		t o ¹														
1299-2		t i m ¹														
1180-2		t a ¹														
4008-2		q u ¹ ¹														
6774-2		l a ¹														
7063-2		m i n ¹														
492-2		t i m ¹														
1627-2		q u ŋ ¹														
3951-2		m ai ¹														
6684-2		l aː n ¹														
1850-2		l aː n ¹														
3262-2		l aː n ¹														
7551-2		t a ¹														
9443-2		t a ¹														
9545-2		h i p ¹														
7650-2		t i t ¹														
7833-2		t j a n ¹														
9148-2		j u ¹														
9036-2		t a ¹														
8904-2		m a ŋ ¹														
7683-2		t a m ¹														
8227-2		ʔ a ¹														
8616-2		n a ŋ ¹														
11112-2		n a ¹														
7315-2		t a ¹														
10652-2		n a ¹														
10653-2		m aː ŋ ¹														
5241-2		t i ¹														
3398-2		t o t ¹														
2357-2		p i ŋ ¹														
1610-2		ɣ aː ŋ ¹														
10716-2		p aː n ¹														
5980-2		q u ¹ ¹														
1344-2		ɣ aː ŋ ¹														
4411-2		t u p ¹														
6070-2		t a ¹														
6139-2		h a n ¹														
3293-2		ŋ j aː ŋ ¹														
4039-2		m i t ¹														
10273-2		t u ¹														
4056-2		h aː n ¹														
10503-2		a n ¹														
10765-2		m j aː n ¹														
3713-2		t u ŋ ¹														
9782-2		v aː t ¹														
8922-2		q a ¹														
7936-2		t a m ¹														
9751-2		p aː n ¹														
5520-2		t j o n ¹														
1367-2		m i ŋ ¹														
4124-2		ʔ a ¹														
6053-2		n a n ¹														
6469-2		ɣ u m ¹														
6510-2		t aː n ¹														
3414-2		m j aː n ¹														
2889-2		l j a ¹														
4707-2		l j a n ¹														
401-2		n o ¹														
3351-2		t a ¹														
532-2		p i ¹														
1416-2		l a m ¹														
5334-2		p o ¹														
10797-2		l a ¹														
5688-2		n o ¹														
3858-2		n u ¹														
4497-2		t a ¹														
3662-2		p a ¹														
10256-2		t j a n ¹														
2622-2		m j a ¹														
6451-2		p i ¹														
5401-2		n a ¹ ¹														
2341-2		q a ¹														
5807-2		ʔ a ¹														
7208-2		t a ¹														
799-2		l a ¹														
3765-2		ʔ a ¹														
3263-2		h aː n ¹														
9477-2		p a ¹														
7734-2		t j aː m ¹														
7902-2		h aː t ¹														
8731-2		t aː p ¹														
8968-2		ʔ a n ¹														
8414-2		t j aː m ¹														
8467-2		t a ¹														
9382-2		q o ¹														
9916-2		q u n ¹														
1800-2		t j ə ŋ ¹														
4964-2		n j a p ¹														
6260-2		t a ¹														
5824-2		f u ¹														
3791-2		h i ŋ ¹														
1784-2		ŋ a ¹														
6934-2		h a n ¹														
2051-2		p a ¹														
6105-2		l j ə n ¹														
2856-2		ʔ u ¹														
9115-2		t o ¹														
8108-2		t a t ¹														
7888-2		t a ¹														
7638-2		n o n ¹														
9887-2		p j a ¹														
5981-2		l u ¹														
10619-2		ɕ a ¹														
6882-3			h ə t ¹													
6485-3			ⁿb ə n ¹													
4690-3			m u n ¹													
5671-3			j ə n ¹													
4272-3			l j aː p ¹													
10935-3			ⁿb a ¹													
4760-3			n j aː n ¹													
1881-3			f a n ¹													
4777-3			h j a t ¹													
10969-3			f a n ¹													
10970-3			n u ¹													
10206-3			f a n ¹													
6565-3			k w a n ¹													
1281-3			ʔ j a n ¹													
10569-3			n a m ¹													
6899-3			ⁿb j u ŋ ¹													
7081-3			k u ¹													
4090-3			t a m ¹													
2197-3			h u m ¹													
3352-3			t i ¹													
3892-3			h j a t ¹													
1071-3			k aː m ¹													
10313-3			m a ¹													
2671-3			t j a t ¹													
5502-3			f j aː k ¹													
7382-3			ⁿd j u n ¹													
932-3			t i ŋ ¹													
533-3			m a ¹													
4159-3			f a ¹													
2804-3			n u k ¹													
5451-3			h a ¹													
5773-3			ʔ a ¹													
