COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
582-3			u ʔ ɔ ŋ	
6-3			a l i	
1106-3			n g ɔ	
473-3			ɪ n a	
1111-3			h a θ u	
957-3			m ʊ r e	
24-3			ʃ iː	
25-3			θ a r i	
879-3			a b a r a b a d i	
566-3			m a n f o r o	
742-3			a g o ʔ	
1044-3			ʃ i m b i l u	
13-3			a l h a m i s	
720-3			a s ɛ l a ʔ	
233-3			b i b i ɔ	
938-3			ɓ u l a n a	
369-3			a r e	
889-3			ɓ i l a	
405-3			b i d a	
134-3			p ɗ i ʔ i	
1078-3			m ɪ h i	
429-3			b ɔ ŋ k ɔ ʃ	
187-3			b u s k ʔ e	
468-4				θ a b a
222-4				a b o b o n e
208-4				a b u d b u d u
962-4				a g o r a
203-4				a g u d i
138-4				ʃ i l e
504-4				ɗ o ʃ a n e
662-4				ɓ u ɗ i n e
478-4				g o ɗ i
409-4				ɛ e
410-4				g u n d i
256-4				ɓ aː l e
622-4				n d u
546-4				n d u
547-4				ʃ ɛ f a
847-4				n e d ɛ g i
95-4				b e ɗ i
105-4				b o n e
510-4				b o ʃ a
951-4				m b o m a
1116-4				m b o m a
149-4				ɓ u s i
376-4				ɓ a l i
815-4				g o r a
453-4				ɗ u n e
67-4				ɗ aː ʃ e
47-4				ɗ o k ʔ o l e
869-4				ɗ u θ e
57-4				k aː g u
303-4				g a z ʔ i a
443-4				g eː a
884-4				g u n d i
166-4				g u n d u
918-4				a b a r e
831-4				h aː ʃ e
616-4				b iː e
84-4				h o ʃ ɛ l e
346-4				h u h u l u
601-4				z i g i
177-4				k a f a
341-4				k o l a
1066-4				f e n d e ŋ a
318-4				f eː ʃ a
241-4				m aː ʃ o
556-4				h a n d u ŋ u
191-4				b o m b i l
458-4				a ʃ i z i
1-4				h a n z o
751-4				o
864-4				a ŋ o n ɛ n e
154-4				a m a n z i
278-4				a m i l e
766-4				ʃ oː r a
251-4				a g u
582-4				u o ŋ
6-4				a l i
1106-4				n g o
473-4				o n e
1111-4				h a θ u
957-4				m o r e
41-4				b eː e
566-4				a n f a r a s ʔ
742-4				aː g o
1044-4				ʃ i m b i l
13-4				a h a m i z
720-4				aː s ɛ l a
837-4				m aː ʃ i
946-4				ɓ ɛ ŋ g o
820-4				a ʃ o
405-4				b o d e
134-4				ɓ a ɗ e ʔ i
1078-4				m iː h i
429-4				b o ŋ o ʃ
187-4				b u s k ʔ e k e
438-4				n d ɛ n e
