COGID	Kayah	Kayan	Kayaw	NorthernPao	NorthernPwo	ProtoKaren	SouthernPao	WesternBwe
918-2		ʔ ə ⁵³						
979-2		l a ³³						
1013-2		m a ¹¹						
1040-2		tʰ w i ¹¹						
1027-2		m a ³³						
1053-2		l w i ¹¹						
1065-2		m a ¹¹						
1091-2		m ɨ a						
1116-2		ʔ ai ¹¹						
1129-2		n a ¹¹						
1173-2		d ɨ ¹¹						
1207-2		cʰ a ⁵³						
1255-2		b i ʔ ⁴⁵						
1277-2		t ɛ ʔ ²¹						
21-3			t ə ¹¹					
33-3			t ə ¹¹					
46-3			p l a ¹¹					
126-3			s ɔ ⁵⁵					
114-3			b ɔ ¹¹					
149-3			p l a ¹¹					
171-3			tʰ ɔ ⁵⁵					
191-3			ɛ ɛ ³³					
203-3			n i ⁵⁵					
224-3			l ɔ ³³					
275-3			kʰ a ¹¹					
302-3			ʔ u ⁵⁵					
315-3			tʰ o ³³					
394-3			n ə ³³					
431-3			pʰ ɔ ³³					
444-3			p a ³³					
445-3			n a ¹¹					
514-3			s i ³³					
555-3			kʰ w i ¹¹					
579-3			cʰ ɔ ⁵⁵					
603-3			kʰ a ¹¹					
737-3			l u ¹¹					
763-3			cʰ w ɛ ¹¹					
870-3			kʰ i ³³					
918-3			ʔ ə ⁵⁵					
979-3			l ɔ ³³					
1013-3			m a ¹¹					
1040-3			tʰ w i ¹¹					
1027-3			m a ³³					
1053-3			l i i ¹¹					
1065-3			m ɔ ¹¹					
1091-3			m ɨ ¹¹					
1116-3			ʔ i ¹¹					
1129-3			n a ¹¹					
1173-3			d i ¹¹					
1207-3			cʰ ɔ ⁵⁵					
1255-3			p i ³³					
1277-3			t e ³³					
21-4				tʰ ə ŋ ⁵³				
33-4				tʰ ə ⁵⁵				
46-4				pʰ l a ⁵³				
126-4				s a a ɦ				
114-4				b a ŋ ⁵⁵				
149-4				p l a ⁵⁵ ³¹				
171-4				tʰ a m ɦ ³¹				
191-4				w w t ²¹				
203-4				n e ɦ ³¹				
224-4				l a ʔ ⁴⁵				
275-4				kʰ a ⁵⁵				
302-4				ʔ u ɦ ³¹				
315-4				tʰ ɔ ʔ ²¹				
394-4				n o ʔ ⁴⁵				
431-4				pʰ a ʔ ²¹				
444-4				p a ʔ ²¹				
445-4				n a ⁵³				
514-4				s i ʔ ²¹				
555-4				kʰ w i ⁵⁵				
579-4				ɕ a a ɦ ³¹				
603-4				kʰ a ⁵⁵				
737-4				l u ⁵⁵				
763-4				cʰ w ɛ ⁵⁵				
870-4				kʰ i ʔ ²¹				
918-4				ʔ ə ŋ ɦ ³¹				
979-4				l a ŋ ³³				
1013-4				m a ⁵³				
1040-4				tʰ w i ⁵⁵				
1027-4				m a ³³				
1053-4				l w i ⁵³				
1065-4				m a ŋ ⁵³				
1091-4				m ɨ ³³ ⁵⁵				
1116-4				ʔ e ⁵⁵				
1129-4				n a ⁵³				
1173-4				d i ⁵⁵				
1207-4				cʰ a ŋ ɦ ³¹				
1255-4				pʰ i ʔ ²¹				
1277-4				tʰ ɛ ʔ ⁴⁵				
21-5					tʰ ɑ̃ ³³ ¹¹			
33-5					tʰ əɨ ³³			
46-5					pʰ l a ɦ			
126-5					s a ³⁵			
114-5					b ɛ̃ ³³			
149-5					pʰ l a ³³			
171-5					tʰ a ³⁵			
191-5					w ɛ ʔ ⁴⁵			
203-5					n i ³⁵			
224-5					l a ʔ ²¹			
275-5					kʰ a ³³			
302-5					ʔ u ³⁵			
315-5					tʰ o ʔ ⁴⁵			
394-5					n au ʔ ²¹			
431-5					pʰ a ʔ ⁴⁵			
444-5					pʰ a ʔ ⁴⁵			
445-5					n a ɦ			
514-5					s ei ʔ ⁴⁵			
555-5					kʰ w ei ³³			
579-5					cʰ ɛ̃ ³⁵			
603-5					kʰ a ³³			
737-5					l ou ³³			
763-5					cʰ w e ³³			
870-5					kʰ ei ʔ ⁴⁵			
918-5					ʔ ɑ̃ ³⁵			
979-5					l ɛ̃ ⁵⁵			
1013-5					m a ɦ			
1040-5					tʰ w ei ³³			
1027-5					m a ⁵⁵			
1053-5					l w ei ɦ			
1065-5					m ɛ̃ ³³ ¹¹			
1091-5					m ɑ̃ ⁵⁵			
1116-5					ʔ i ³³			
1129-5					n a ɦ			
1173-5					d ei ³³			
1207-5					cʰ ɛ̃ ³⁵			
1255-5					pʰ ei ʔ ⁴⁵			
1277-5					tʰ e ʔ ²¹			
21-6						d ə ŋ ¹¹		
33-6						d ə ¹¹		
46-6						b l a ¹¹		
126-6						s a ⁵⁵		
114-6						ˀb a ŋ ¹¹		
149-6						p l a ¹¹		
171-6						tʰ a m ⁵⁵		
191-6						h w ɛ ⁵¹		
203-6						n e ⁵⁵		
224-6						l a ʔ̚ ⁵¹		
275-6						kʰ a ¹¹		
302-6						ʔ u ⁵⁵		
315-6						tʰ ɔ ʔ̚ ⁵¹		
394-6						n o ʔ̚ ⁵¹		
431-6						p a ʔ̚ ⁵¹		
444-6						p a ʔ̚ ⁵¹		
445-6						n a ¹¹		
514-6						s ei ʔ̚ ⁵¹		
555-6						kʰ w i ¹¹		
579-6						cʰ a ŋ ɴ ⁵⁵		
603-6						kʰ a ¹¹		
737-6						l ou ¹¹		
763-6						cʰ w ɛ ¹¹		
870-6						kʰ e ʔ̚ ⁵¹		
918-6						ʔ ə ŋ ⁵⁵		
979-6						l a ŋ ⁵⁵		
1013-6						m a ¹¹		
1040-6						tʰ w i ¹¹		
1027-6						m a ⁵⁵		
1053-6						l w i ¹¹		
1065-6						m a ŋ ¹¹		
1091-6						m w ɴ ⁵⁵		
1116-6						ʔ e ¹¹		
1129-6						n a ¹¹		
1173-6						ˀd ei ¹¹		
1207-6						cʰ a ŋ ⁵⁵		
1255-6						b e ʔ̚ ⁵¹		
1277-6						d ɛ ʔ̚ ⁵¹		
21-7							t ə ŋ ⁵⁵	
33-7							t ə ³³	
46-7							p l a ⁵⁵	
126-7							s a a ɦ	
114-7							b a ŋ ³³	
149-7							p l a ³³ ³¹	
171-7							tʰ a m ɦ ³¹	
191-7							w w a p	
203-7							n e ɦ ³¹	
224-7							l a ʔ ⁴⁵	
275-7							kʰ a ³³	
302-7							ʔ u ɦ ³¹	
315-7							tʰ ɔ ʔ ²¹	
394-7							n u ʔ ⁴⁵	
431-7							p a ʔ ²¹	
444-7							p a ʔ ²¹	
445-7							n a ⁵⁵	
514-7							s i ʔ ²¹	
555-7							kʰ w i ³³	
579-7							ɕ a a n ɦ ³¹	
603-7							kʰ a ³³	
737-7							l u ³³	
763-7							cʰ w ɛ ³³	
870-7							kʰ i ʔ ²¹	
918-7							ʔ ə ŋ ɦ ³¹	
979-7							l a ŋ ⁵³	
1013-7							m a ⁵⁵	
1040-7							tʰ w i ³³	
1027-7							m a ⁵³	
1053-7							l w i ⁵⁵	
1065-7							m a ŋ ⁵⁵	
1091-7							m w ⁵³ ⁵³	
1116-7							ʔ e ³³	
1129-7							n a ⁵⁵	
1173-7							d i ³³	
1207-7							cʰ a ŋ ɦ ³¹	
1255-7							p i ʔ ⁴⁵	
1277-7							t ɛ ʔ ⁴⁵	
21-8								d o ³³
33-8								d o ³³
46-8								b l ɛ ³³
126-8								θ ɛ ⁵⁵
114-8								ɓ a ³³
149-8								p l ɛ ³³
171-8								tʰ a ⁵⁵
191-8								h w ɛ
203-8								n i ⁵⁵
224-8								l a ¹¹
275-8								kʰ ɛ ³³
302-8								ɔ u ⁵⁵
315-8								tʰ ɔ ³³
394-8								n o ¹¹
431-8								pʰ a ³³
444-8								p ɛ ³³
445-8								n ɛ ³³
514-8								θ i ³³
555-8								kʰ w i ³³
579-8								ʃ a ⁵⁵
603-8								kʰ ɛ ³³
737-8								l u ³³
763-8								ʃ w ɛ ³³
870-8								kʰ i ³³
918-8								ɔ o ⁵⁵
979-8								l a ³³
1013-8								m ɛ ³³
1040-8								tʰ w i ³³
1027-8								m ɛ ³³
1053-8								l w i
1065-8								m a ³³
1091-8								m u ³³
1116-8								ɔ i ³³
1129-8								n ɛ ³³
1173-8								ɗ i ³³
1207-8								ʃ a ⁵⁵
1255-8								p i ¹¹
1277-8								d e ¹¹
