** /proj/evolang2022/tiago/ST2022/data-surprise/bantubvd/solutions-0.10.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
Shanghai              1.4129        0.4134       0.5914         0.4485       0.7742        0.2356       0.6975         0.6646
Shuangfeng            1.1226        0.3217       0.6444         0.5624       0.8387        0.2427       0.6993         0.6573
Suzhou                1.0774        0.3025       0.6899         0.5672       0.5548        0.1633       0.7886         0.7507
Taiyuan               0.9419        0.2588       0.6991         0.6328       0.3548        0.0986       0.8608         0.8441
Wenzhou               1.6710        0.4819       0.5362         0.3828       0.9484        0.2892       0.6193         0.6086
Xiamen                1.0516        0.2815       0.6623         0.5929       2.7742        0.7459       0.4402         0.1291
XiAn                  0.8258        0.2514       0.7346         0.6335       2.7548        0.7425       0.5144         0.1262
Yangzhou              0.9097        0.2561       0.7240         0.6397       0.4065        0.1183       0.8306         0.8245
ZhongyuanYinyun       2.5226        0.6205       0.4318         0.2443       0.4710        0.1205       0.8141         0.8039
TOTAL                 1.1161        0.3114       0.6688         0.5687       0.8343        0.2324       0.7379         0.6812


** /proj/evolang2022/tiago/ST2022/data-surprise/beidazihui/solutions-0.40.tsv
Language           ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
---------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Beijing               0.7343        0.2147       0.7677         0.6900       0.2367        0.0686       0.8957         0.8943
Changsha              0.8986        0.2707       0.7174         0.6115       0.5314        0.1589       0.7969         0.7576
Chaozhou              1.4638        0.3896       0.5420         0.4672       1.3671        0.3603       0.5341         0.5045
Chengdu               0.6908        0.1909       0.7969         0.7103       0.2174        0.0609       0.9108         0.9063
Fuzhou                1.0483        0.2717       0.6697         0.5996       0.9179        0.2346       0.6689         0.6474
Guangzhou             1.2367        0.3445       0.6417         0.5169       0.8019        0.2258       0.6790         0.6503
Hankou                0.6860        0.1986       0.7917         0.7023       0.1981        0.0565       0.9110         0.9081
Jinan                 0.7150        0.2232       0.7719         0.6808       0.3575        0.1089       0.8788         0.8334
Meixian               0.9372        0.2514       0.6811         0.6277       0.7391        0.1963       0.7141         0.6979
Nanchang              1.0483        0.2890       0.6652         0.5734       0.7971        0.2159       0.7284         0.6622
Shanghai              1.3768        0.4002       0.6053         0.4586       0.7536        0.2322       0.7304         0.6560
Shuangfeng            1.1739        0.3402       0.6254         0.5242       0.6860        0.1996       0.7351         0.7076
Suzhou                1.0628        0.2955       0.6862         0.5725       0.4348        0.1284       0.8119         0.8027
Taiyuan               0.8841        0.2395       0.7040         0.6538       0.2850        0.0778       0.8812         0.8742
Wenzhou               1.5604        0.4590       0.5385         0.4058       1.1063        0.3225       0.5946         0.5615
Xiamen                1.0918        0.2886       0.6514         0.5733       2.7343        0.7272       0.4397         0.1498
XiAn                  0.8164        0.2494       0.7401         0.6391       2.7101        0.7181       0.4921         0.1497
Yangzhou              0.9758        0.2669       0.7222         0.6259       0.4203        0.1175       0.8218         0.8218
ZhongyuanYinyun       2.6570        0.6514       0.3816         0.2267       0.4348        0.1102       0.8289         0.8160
TOTAL                 1.1083        0.3071       0.6684         0.5716       0.8279        0.2274       0.7397         0.6843


** /proj/evolang2022/tiago/ST2022/data-surprise/beidazihui/solutions-0.50.tsv
Language           ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
---------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Beijing               0.8301        0.2441       0.7462         0.6467       0.2432        0.0743       0.8946         0.8827
Changsha              1.0000        0.2976       0.6890         0.5824       0.5869        0.1802       0.7797         0.7255
Chaozhou              1.6371        0.4243       0.5212         0.4235       1.5097        0.4046       0.5035         0.4598
Chengdu               0.7220        0.2035       0.7848         0.6937       0.1931        0.0533       0.9201         0.9082
Fuzhou                1.0811        0.2874       0.6701         0.5815       0.8803        0.2333       0.6905         0.6493
Guangzhou             1.2548        0.3595       0.6494         0.4938       0.8147        0.2254       0.6817         0.6587
Hankou                0.7568        0.2210       0.7704         0.6737       0.2008        0.0579       0.9098         0.9136
Jinan                 0.7683        0.2427       0.7602         0.6528       0.3707        0.1186       0.8677         0.8203
Meixian               0.9305        0.2532       0.6807         0.6220       0.7992        0.2099       0.6951         0.6769
Nanchang              1.0656        0.2974       0.6694         0.5632       0.6255        0.1659       0.7484         0.7383
Shanghai              1.3668        0.3997       0.5971         0.4609       0.6602        0.2026       0.7401         0.6980
Shuangfeng            1.1506        0.3367       0.6324         0.5354       0.7722        0.2171       0.6998         0.6821
Suzhou                1.0463        0.2947       0.6866         0.5773       0.5097        0.1520       0.8165         0.7610
Taiyuan               0.8996        0.2476       0.7041         0.6378       0.3166        0.0847       0.8663         0.8642
Wenzhou               1.5405        0.4555       0.5470         0.4076       0.9112        0.2674       0.6376         0.6348
Xiamen                1.0772        0.2902       0.6599         0.5693       2.7761        0.7420       0.4160         0.1310
XiAn                  0.8571        0.2656       0.7252         0.6155       2.7297        0.7275       0.4701         0.1429
Yangzhou              1.0232        0.2864       0.7054         0.5955       0.5174        0.1421       0.7971         0.7855
ZhongyuanYinyun       2.8185        0.6666       0.3828         0.2171       0.4054        0.1033       0.8426         0.8308
TOTAL                 1.1488        0.3197       0.6622         0.5553       0.8328        0.2296       0.7357         0.6823


** /proj/evolang2022/tiago/ST2022/data-surprise/birchallchapacuran/solutions-0.10.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
cojubim          0.6471        0.1657       0.8022         0.7558       0.7059        0.1676       0.8373         0.7428
jaru             1.2500        0.2475       0.6831         0.6328       1.5000        0.2990       0.6709         0.5430
kitemoka         3.0000        0.5272       0.4395         0.2623       2.6111        0.4595       0.5103         0.3501
more             1.3684        0.2965       0.6298         0.5481       1.2105        0.3001       0.7057         0.5844
orowin           0.7368        0.1439       0.8217         0.7498       1.7895        0.3392       0.6330         0.4906
tapakura         2.0526        0.3960       0.5516         0.4528       2.8947        0.4993       0.4740         0.2725
tora             2.1053        0.4046       0.5351         0.4404       2.3684        0.4304       0.5329         0.4271
urupa            1.2632        0.2566       0.7450         0.6126       1.8947        0.3844       0.6277         0.3935
wanyam           1.7895        0.3271       0.7089         0.4392       1.6316        0.2725       0.6877         0.6051
wari             2.0526        0.3660       0.5764         0.4409       1.9474        0.3442       0.6119         0.4587
TOTAL            1.6265        0.3131       0.6493         0.5335       1.8554        0.3496       0.6291         0.4868


** /proj/evolang2022/tiago/ST2022/data-surprise/birchallchapacuran/solutions-0.20.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
cojubim          1.5484        0.3453       0.6610         0.5128       1.2903        0.2494       0.7375         0.6205
jaru             1.9310        0.3451       0.5743         0.4637       2.2759        0.3920       0.5391         0.4061
kitemoka         3.0606        0.5152       0.4423         0.2561       3.2727        0.5195       0.4154         0.2862
more             1.7222        0.3334       0.5954         0.5148       1.4722        0.3226       0.6748         0.5344
orowin           0.9706        0.1861       0.7719         0.7089       1.5882        0.2852       0.6221         0.5404
tapakura         2.3636        0.4117       0.4919         0.3990       2.7576        0.4753       0.4644         0.2621
tora             2.3611        0.4294       0.4891         0.3865       2.3611        0.4791       0.4752         0.3280
urupa            1.8710        0.3501       0.6268         0.4367       2.2258        0.4538       0.5744         0.3316
wanyam           1.8919        0.3204       0.6274         0.4999       1.8649        0.2970       0.6202         0.5443
wari             2.4444        0.3939       0.5458         0.3689       2.3889        0.3890       0.5391         0.3988
TOTAL            2.0165        0.3631       0.5826         0.4547       2.1498        0.3863       0.5662         0.4252


** /proj/evolang2022/tiago/ST2022/data-surprise/birchallchapacuran/solutions-0.30.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
cojubim          1.3913        0.2745       0.6443         0.6105       1.1739        0.2231       0.7420         0.6490
jaru             2.2143        0.3628       0.5788         0.4544       2.6429        0.4611       0.5012         0.3423
kitemoka         3.4615        0.5425       0.3985         0.2055       3.6410        0.5527       0.4276         0.1888
more             1.8868        0.3238       0.5665         0.5462       1.4528        0.2844       0.6624         0.5611
orowin           1.9020        0.3081       0.6210         0.4977       2.0980        0.3489       0.5614         0.4479
tapakura         2.7674        0.4430       0.4781         0.3584       3.4419        0.5155       0.4128         0.2707
tora             2.6863        0.4652       0.4508         0.3144       3.0392        0.4918       0.4705         0.3249
urupa            2.7368        0.4715       0.5438         0.2996       3.1053        0.5334       0.4393         0.2656
wanyam           2.2182        0.3461       0.5868         0.4505       2.5818        0.3889       0.5621         0.4151
wari             2.3846        0.3875       0.5381         0.3982       2.1538        0.3411       0.5504         0.4762
TOTAL            2.3649        0.3925       0.5407         0.4135       2.5331        0.4141       0.5330         0.3942


** /proj/evolang2022/tiago/ST2022/data-surprise/birchallchapacuran/solutions-0.40.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
cojubim          2.0339        0.3638       0.6201         0.4424       1.2414        0.2465       0.7665         0.5865
jaru             2.9057        0.4476       0.4883         0.3386       3.1321        0.5033       0.4084         0.2821
kitemoka         4.8182        0.6960       0.2728         0.0937       4.2045        0.6174       0.3515         0.1676
more             1.8451        0.3210       0.5445         0.5282       1.0000        0.1909       0.7212         0.7227
orowin           1.8030        0.2849       0.6131         0.5449       2.4697        0.3996       0.4984         0.3863
tapakura         3.2174        0.4783       0.4662         0.3029       2.8913        0.4526       0.4860         0.3109
tora             3.3077        0.4975       0.4510         0.2697       3.2615        0.5492       0.3708         0.2503
urupa            3.3953        0.5386       0.4746         0.2099       3.6905        0.6879       0.3728         0.1319
wanyam           2.2143        0.3170       0.5977         0.4922       2.2857        0.3457       0.5548         0.4734
wari             2.6716        0.4221       0.5108         0.3561       2.8955        0.4201       0.5173         0.3924
TOTAL            2.8212        0.4367       0.5039         0.3578       2.7072        0.4413       0.5048         0.3704


** /proj/evolang2022/tiago/ST2022/data-surprise/birchallchapacuran/solutions-0.50.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
cojubim          1.3478        0.2815       0.6821         0.5404       1.1159        0.2456       0.7154         0.6158
jaru             3.8983        0.5563       0.4225         0.1977       3.9500        0.6392       0.3478         0.1565
kitemoka         4.7174        0.6579       0.2971         0.1105       3.6739        0.5552       0.3906         0.2145
more             2.6279        0.3918       0.5111         0.4464       1.7674        0.3541       0.5607         0.5042
orowin           1.9880        0.3225       0.5574         0.4935       2.7229        0.4640       0.4630         0.3087
tapakura         3.8367        0.5802       0.3983         0.1857       4.0204        0.5928       0.3434         0.1487
tora             3.9028        0.5530       0.4064         0.2318       4.1111        0.6249       0.3316         0.1705
urupa            3.5833        0.5661       0.4565         0.1893       3.8958        0.7210       0.3552         0.1038
wanyam           2.8023        0.3948       0.5270         0.4070       3.6744        0.5511       0.3819         0.2084
wari             2.9881        0.4675       0.4478         0.3139       2.5476        0.4021       0.4862         0.3878
TOTAL            3.1693        0.4772       0.4706         0.3116       3.1480        0.5150       0.4376         0.2819


** /proj/evolang2022/tiago/ST2022/data-surprise/bodtkhobwa/solutions-0.10.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Duhumbi          0.6739        0.2663       0.6673         0.6416       0.3043        0.1223       0.8506         0.8288
Jerigaon         0.5978        0.2518       0.7378         0.6458       0.3696        0.1594       0.8248         0.7711
Khispi           0.6413        0.2536       0.6728         0.6395       0.2826        0.1286       0.8493         0.8251
Khoina           0.4891        0.2156       0.7666         0.7133       0.5714        0.2436       0.7525         0.6766
Khoitam          0.3077        0.1227       0.8265         0.8239       0.2826        0.1178       0.8484         0.8345
Rahung           0.3804        0.1630       0.7945         0.7836       0.3370        0.1377       0.8207         0.8081
Rupa             0.4239        0.1757       0.8012         0.7550       0.3370        0.1368       0.8547         0.7951
Shergaon         0.3913        0.1667       0.7861         0.7758       0.2174        0.0942       0.8767         0.8734
TOTAL            0.4882        0.2019       0.7566         0.7223       0.3377        0.1425       0.8347         0.8016


** /proj/evolang2022/tiago/ST2022/data-surprise/bodtkhobwa/solutions-0.20.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Duhumbi          0.7049        0.2791       0.6347         0.6270       0.3770        0.1562       0.7878         0.7866
Jerigaon         0.4396        0.2015       0.7634         0.7336       0.3825        0.1612       0.7871         0.7808
Khispi           0.5027        0.2049       0.7109         0.7151       0.2568        0.1088       0.8575         0.8524
Khoina           0.5410        0.2413       0.7237         0.6871       0.5410        0.2409       0.7212         0.6797
Khoitam          0.3077        0.1291       0.8104         0.8190       0.3443        0.1462       0.8062         0.7972
Rahung           0.3224        0.1357       0.8027         0.8206       0.3060        0.1293       0.8180         0.8218
Rupa             0.3934        0.1621       0.7978         0.7687       0.3661        0.1557       0.8079         0.7847
Shergaon         0.3552        0.1503       0.7807         0.7957       0.2896        0.1289       0.8207         0.8302
TOTAL            0.4459        0.1880       0.7531         0.7458       0.3579        0.1534       0.8008         0.7917


** /proj/evolang2022/tiago/ST2022/data-surprise/bodtkhobwa/solutions-0.30.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Duhumbi          0.7236        0.2952       0.6135         0.5993       0.3564        0.1533       0.8011         0.7847
Jerigaon         0.4708        0.2214       0.7583         0.7115       0.5091        0.2085       0.7098         0.7208
Khispi           0.6291        0.2548       0.6551         0.6505       0.3673        0.1670       0.8088         0.7745
Khoina           0.5328        0.2366       0.7242         0.6916       0.6618        0.2882       0.6963         0.6206
Khoitam          0.3248        0.1423       0.8045         0.7998       0.4436        0.1861       0.7614         0.7388
Rahung           0.3636        0.1497       0.7770         0.7941       0.3212        0.1326       0.8008         0.8178
Rupa             0.4182        0.1715       0.7863         0.7531       0.4453        0.1907       0.7696         0.7373
Shergaon         0.4073        0.1776       0.7527         0.7564       0.3636        0.1597       0.7826         0.7859
TOTAL            0.4838        0.2061       0.7339         0.7195       0.4335        0.1858       0.7663         0.7475


** /proj/evolang2022/tiago/ST2022/data-surprise/bodtkhobwa/solutions-0.40.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Duhumbi          0.8898        0.3656       0.5244         0.5191       0.6017        0.2472       0.6728         0.6776
Jerigaon         0.5253        0.2402       0.7120         0.6861       0.5322        0.2351       0.7189         0.6810
Khispi           0.7790        0.3203       0.5738         0.5778       0.4108        0.1766       0.7772         0.7647
Khoina           0.6986        0.3038       0.7034         0.5971       0.7135        0.3184       0.6405         0.6053
Khoitam          0.3659        0.1597       0.7858         0.7772       0.4553        0.1962       0.7432         0.7421
Rahung           0.4270        0.1809       0.7451         0.7562       0.3315        0.1397       0.7960         0.8144
Rupa             0.5000        0.2122       0.7277         0.7048       0.5792        0.2498       0.6888         0.6631
Shergaon         0.5183        0.2413       0.7109         0.6756       0.4789        0.2134       0.7450         0.7112
TOTAL            0.5880        0.2530       0.6854         0.6617       0.5129        0.2220       0.7228         0.7074


** /proj/evolang2022/tiago/ST2022/data-surprise/bodtkhobwa/solutions-0.50.tsv
