index	index_p	rindex	rindex_p	cogid	id_AchangLongchuan	segment_AchangLongchuan	segment_AchangLongchuan_L1	segment_AchangLongchuan_L2	segment_AchangLongchuan_L3	segment_AchangLongchuan_R1	segment_AchangLongchuan_R2	segment_AchangLongchuan_R3	SC_AchangLongchuan	SC_AchangLongchuan_L1	SC_AchangLongchuan_L2	SC_AchangLongchuan_L3	SC_AchangLongchuan_R1	SC_AchangLongchuan_R2	SC_AchangLongchuan_R3	PROSODY_AchangLongchuan	PROSODY_AchangLongchuan_L1	PROSODY_AchangLongchuan_L2	PROSODY_AchangLongchuan_L3	PROSODY_AchangLongchuan_R1	PROSODY_AchangLongchuan_R2	PROSODY_AchangLongchuan_R3	id_Atsi	segment_Atsi	segment_Atsi_L1	segment_Atsi_L2	segment_Atsi_L3	segment_Atsi_R1	segment_Atsi_R2	segment_Atsi_R3	SC_Atsi	SC_Atsi_L1	SC_Atsi_L2	SC_Atsi_L3	SC_Atsi_R1	SC_Atsi_R2	SC_Atsi_R3	PROSODY_Atsi	PROSODY_Atsi_L1	PROSODY_Atsi_L2	PROSODY_Atsi_L3	PROSODY_Atsi_R1	PROSODY_Atsi_R2	PROSODY_Atsi_R3	id_Bola	segment_Bola	segment_Bola_L1	segment_Bola_L2	segment_Bola_L3	segment_Bola_R1	segment_Bola_R2	segment_Bola_R3	SC_Bola	SC_Bola_L1	SC_Bola_L2	SC_Bola_L3	SC_Bola_R1	SC_Bola_R2	SC_Bola_R3	PROSODY_Bola	PROSODY_Bola_L1	PROSODY_Bola_L2	PROSODY_Bola_L3	PROSODY_Bola_R1	PROSODY_Bola_R2	PROSODY_Bola_R3	id_Lashi	segment_Lashi	segment_Lashi_L1	segment_Lashi_L2	segment_Lashi_L3	segment_Lashi_R1	segment_Lashi_R2	segment_Lashi_R3	SC_Lashi	SC_Lashi_L1	SC_Lashi_L2	SC_Lashi_L3	SC_Lashi_R1	SC_Lashi_R2	SC_Lashi_R3	PROSODY_Lashi	PROSODY_Lashi_L1	PROSODY_Lashi_L2	PROSODY_Lashi_L3	PROSODY_Lashi_R1	PROSODY_Lashi_R2	PROSODY_Lashi_R3	id_Maru	segment_Maru	segment_Maru_L1	segment_Maru_L2	segment_Maru_L3	segment_Maru_R1	segment_Maru_R2	segment_Maru_R3	SC_Maru	SC_Maru_L1	SC_Maru_L2	SC_Maru_L3	SC_Maru_R1	SC_Maru_R2	SC_Maru_R3	PROSODY_Maru	PROSODY_Maru_L1	PROSODY_Maru_L2	PROSODY_Maru_L3	PROSODY_Maru_R1	PROSODY_Maru_R2	PROSODY_Maru_R3	id_OldBurmese	segment_OldBurmese	segment_OldBurmese_L1	segment_OldBurmese_L2	segment_OldBurmese_L3	segment_OldBurmese_R1	segment_OldBurmese_R2	segment_OldBurmese_R3	SC_OldBurmese	SC_OldBurmese_L1	SC_OldBurmese_L2	SC_OldBurmese_L3	SC_OldBurmese_R1	SC_OldBurmese_R2	SC_OldBurmese_R3	PROSODY_OldBurmese	PROSODY_OldBurmese_L1	PROSODY_OldBurmese_L2	PROSODY_OldBurmese_L3	PROSODY_OldBurmese_R1	PROSODY_OldBurmese_R2	PROSODY_OldBurmese_R3	id_ProtoBurmish	segment_ProtoBurmish	segment_ProtoBurmish_L1	segment_ProtoBurmish_L2	segment_ProtoBurmish_L3	segment_ProtoBurmish_R1	segment_ProtoBurmish_R2	segment_ProtoBurmish_R3	SC_ProtoBurmish	SC_ProtoBurmish_L1	SC_ProtoBurmish_L2	SC_ProtoBurmish_L3	SC_ProtoBurmish_R1	SC_ProtoBurmish_R2	SC_ProtoBurmish_R3	PROSODY_ProtoBurmish	PROSODY_ProtoBurmish_L1	PROSODY_ProtoBurmish_L2	PROSODY_ProtoBurmish_L3	PROSODY_ProtoBurmish_R1	PROSODY_ProtoBurmish_R2	PROSODY_ProtoBurmish_R3	id_Rangoon	segment_Rangoon	segment_Rangoon_L1	segment_Rangoon_L2	segment_Rangoon_L3	segment_Rangoon_R1	segment_Rangoon_R2	segment_Rangoon_R3	SC_Rangoon	SC_Rangoon_L1	SC_Rangoon_L2	SC_Rangoon_L3	SC_Rangoon_R1	SC_Rangoon_R2	SC_Rangoon_R3	PROSODY_Rangoon	PROSODY_Rangoon_L1	PROSODY_Rangoon_L2	PROSODY_Rangoon_L3	PROSODY_Rangoon_R1	PROSODY_Rangoon_R2	PROSODY_Rangoon_R3	id_Xiandao	segment_Xiandao	segment_Xiandao_L1	segment_Xiandao_L2	segment_Xiandao_L3	segment_Xiandao_R1	segment_Xiandao_R2	segment_Xiandao_R3	SC_Xiandao	SC_Xiandao_L1	SC_Xiandao_L2	SC_Xiandao_L3	SC_Xiandao_R1	SC_Xiandao_R2	SC_Xiandao_R3	PROSODY_Xiandao	PROSODY_Xiandao_L1	PROSODY_Xiandao_L2	PROSODY_Xiandao_L3	PROSODY_Xiandao_R1	PROSODY_Xiandao_R2	PROSODY_Xiandao_R3
1	0.2500	4	1.0000	4	16	p	∅	∅	∅	a	n	⁵⁵	P	∅	∅	∅	A	N	_	1	∅	∅	∅	7	4	0	17	p	∅	∅	∅	a̱	n	⁵⁵	P	∅	∅	∅	A	N	_	1	∅	∅	∅	7	4	0	18	p	∅	∅	∅	ɛ̃	-	⁵⁵	P	∅	∅	∅	E	_	_	1	∅	∅	∅	7	0	0	19	p	∅	∅	∅	a	n	³¹	P	∅	∅	∅	A	N	_	1	∅	∅	∅	7	4	0	20	p	∅	∅	∅	ə	ŋ	³¹	P	∅	∅	∅	E	N	_	1	∅	∅	∅	7	4	0																							21	b	∅	∅	∅	a	n	¹	P	∅	∅	∅	A	N	_	1	∅	∅	∅	7	4	0																							22	p	∅	∅	∅	a	n	⁵⁵	P	∅	∅	∅	A	N	_	1	∅	∅	∅	7	4	0
2	0.5000	3	0.7500	4	16	a	p	∅	∅	n	⁵⁵	∅	A	P	∅	∅	N	_	∅	7	1	∅	∅	4	0	∅	17	a̱	p	∅	∅	n	⁵⁵	∅	A	P	∅	∅	N	_	∅	7	1	∅	∅	4	0	∅	18	ɛ̃	p	∅	∅	-	⁵⁵	∅	E	P	∅	∅	_	_	∅	7	1	∅	∅	0	0	∅	19	a	p	∅	∅	n	³¹	∅	A	P	∅	∅	N	_	∅	7	1	∅	∅	4	0	∅	20	ə	p	∅	∅	ŋ	³¹	∅	E	P	∅	∅	N	_	∅	7	1	∅	∅	4	0	∅																							21	a	b	∅	∅	n	¹	∅	A	P	∅	∅	N	_	∅	7	1	∅	∅	4	0	∅																							22	a	p	∅	∅	n	⁵⁵	∅	A	P	∅	∅	N	_	∅	7	1	∅	∅	4	0	∅
3	0.7500	2	0.5000	4	16	n	a	p	∅	⁵⁵	∅	∅	N	A	P	∅	_	∅	∅	4	7	1	∅	0	∅	∅	17	n	a̱	p	∅	⁵⁵	∅	∅	N	A	P	∅	_	∅	∅	4	7	1	∅	0	∅	∅	18	-	ɛ̃	p	∅	⁵⁵	∅	∅	_	E	P	∅	_	∅	∅	0	7	1	∅	0	∅	∅	19	n	a	p	∅	³¹	∅	∅	N	A	P	∅	_	∅	∅	4	7	1	∅	0	∅	∅	20	ŋ	ə	p	∅	³¹	∅	∅	N	E	P	∅	_	∅	∅	4	7	1	∅	0	∅	∅																							21	n	a	b	∅	¹	∅	∅	N	A	P	∅	_	∅	∅	4	7	1	∅	0	∅	∅																							22	n	a	p	∅	⁵⁵	∅	∅	N	A	P	∅	_	∅	∅	4	7	1	∅	0	∅	∅
4	1.0000	1	0.2500	4	16	⁵⁵	n	a	p	∅	∅	∅	_	N	A	P	∅	∅	∅	0	4	7	1	∅	∅	∅	17	⁵⁵	n	a̱	p	∅	∅	∅	_	N	A	P	∅	∅	∅	0	4	7	1	∅	∅	∅	18	⁵⁵	-	ɛ̃	p	∅	∅	∅	_	_	E	P	∅	∅	∅	0	0	7	1	∅	∅	∅	19	³¹	n	a	p	∅	∅	∅	_	N	A	P	∅	∅	∅	0	4	7	1	∅	∅	∅	20	³¹	ŋ	ə	p	∅	∅	∅	_	N	E	P	∅	∅	∅	0	4	7	1	∅	∅	∅																							21	¹	n	a	b	∅	∅	∅	_	N	A	P	∅	∅	∅	0	4	7	1	∅	∅	∅																							22	⁵⁵	n	a	p	∅	∅	∅	_	N	A	P	∅	∅	∅	0	4	7	1	∅	∅	∅
1	0.2500	4	1.0000	6	23	p	∅	∅	∅	ʐ	a	⁵⁵	P	∅	∅	∅	S	A	_	1	∅	∅	∅	3	7	0																																																																			24	p	∅	∅	∅	j	ɛ	³¹	P	∅	∅	∅	J	E	_	1	∅	∅	∅	6	7	0																							25	b	∅	∅	∅	r	ɛ	¹	P	∅	∅	∅	R	E	_	1	∅	∅	∅	5	7	0																																												
2	0.5000	3	0.7500	6	23	ʐ	p	∅	∅	a	⁵⁵	∅	S	P	∅	∅	A	_	∅	3	1	∅	∅	7	0	∅																																																																			24	j	p	∅	∅	ɛ	³¹	∅	J	P	∅	∅	E	_	∅	6	1	∅	∅	7	0	∅																							25	r	b	∅	∅	ɛ	¹	∅	R	P	∅	∅	E	_	∅	5	1	∅	∅	7	0	∅																																												
3	0.7500	2	0.5000	6	23	a	ʐ	p	∅	⁵⁵	∅	∅	A	S	P	∅	_	∅	∅	7	3	1	∅	0	∅	∅																																																																			24	ɛ	j	p	∅	³¹	∅	∅	E	J	P	∅	_	∅	∅	7	6	1	∅	0	∅	∅																							25	ɛ	r	b	∅	¹	∅	∅	E	R	P	∅	_	∅	∅	7	5	1	∅	0	∅	∅																																												
4	1.0000	1	0.2500	6	23	⁵⁵	a	ʐ	p	∅	∅	∅	_	A	S	P	∅	∅	∅	0	7	3	1	∅	∅	∅																																																																			24	³¹	ɛ	j	p	∅	∅	∅	_	E	J	P	∅	∅	∅	0	7	6	1	∅	∅	∅																							25	¹	ɛ	r	b	∅	∅	∅	_	E	R	P	∅	∅	∅	0	7	5	1	∅	∅	∅																																												
1	0.2500	4	1.0000	9																																													26	p	∅	∅	∅	ɛ	ʔ	³¹	P	∅	∅	∅	E	H	_	1	∅	∅	∅	7	1	0																							27	p	∅	∅	∅	ɛ	ʔ	³¹	P	∅	∅	∅	E	H	_	1	∅	∅	∅	7	1	0																																																																																								
2	0.5000	3	0.7500	9																																													26	ɛ	p	∅	∅	ʔ	³¹	∅	E	P	∅	∅	H	_	∅	7	1	∅	∅	1	0	∅																							27	ɛ	p	∅	∅	ʔ	³¹	∅	E	P	∅	∅	H	_	∅	7	1	∅	∅	1	0	∅																																																																																								
3	0.7500	2	0.5000	9																																													26	ʔ	ɛ	p	∅	³¹	∅	∅	H	E	P	∅	_	∅	∅	1	7	1	∅	0	∅	∅																							27	ʔ	ɛ	p	∅	³¹	∅	∅	H	E	P	∅	_	∅	∅	1	7	1	∅	0	∅	∅																																																																																								
4	1.0000	1	0.2500	9																																													26	³¹	ʔ	ɛ	p	∅	∅	∅	_	H	E	P	∅	∅	∅	0	1	7	1	∅	∅	∅																							27	³¹	ʔ	ɛ	p	∅	∅	∅	_	H	E	P	∅	∅	∅	0	1	7	1	∅	∅	∅																																																																																								
1	0.2500	4	1.0000	10	28	ʂ	∅	∅	∅	a	m	⁵⁵	S	∅	∅	∅	A	M	_	3	∅	∅	∅	7	4	0	29	p	∅	∅	∅	a	t	²¹	P	∅	∅	∅	A	T	_	1	∅	∅	∅	7	1	0																							30	p	∅	∅	∅	aː	t	³¹	P	∅	∅	∅	A	T	_	1	∅	∅	∅	7	1	0																																																																			31	p	∅	∅	∅	ɛ	-	⁵⁵	P	∅	∅	∅	E	_	_	1	∅	∅	∅	7	0	0	32	p	∅	∅	∅	a	t	⁵⁵	P	∅	∅	∅	A	T	_	1	∅	∅	∅	7	1	0
2	0.5000	3	0.7500	10	28	a	ʂ	∅	∅	m	⁵⁵	∅	A	S	∅	∅	M	_	∅	7	3	∅	∅	4	0	∅	29	a	p	∅	∅	t	²¹	∅	A	P	∅	∅	T	_	∅	7	1	∅	∅	1	0	∅																							30	aː	p	∅	∅	t	³¹	∅	A	P	∅	∅	T	_	∅	7	1	∅	∅	1	0	∅																																																																			31	ɛ	p	∅	∅	-	⁵⁵	∅	E	P	∅	∅	_	_	∅	7	1	∅	∅	0	0	∅	32	a	p	∅	∅	t	⁵⁵	∅	A	P	∅	∅	T	_	∅	7	1	∅	∅	1	0	∅
3	0.7500	2	0.5000	10	28	m	a	ʂ	∅	⁵⁵	∅	∅	M	A	S	∅	_	∅	∅	4	7	3	∅	0	∅	∅	29	t	a	p	∅	²¹	∅	∅	T	A	P	∅	_	∅	∅	1	7	1	∅	0	∅	∅																							30	t	aː	p	∅	³¹	∅	∅	T	A	P	∅	_	∅	∅	1	7	1	∅	0	∅	∅																																																																			31	-	ɛ	p	∅	⁵⁵	∅	∅	_	E	P	∅	_	∅	∅	0	7	1	∅	0	∅	∅	32	t	a	p	∅	⁵⁵	∅	∅	T	A	P	∅	_	∅	∅	1	7	1	∅	0	∅	∅
4	1.0000	1	0.2500	10	28	⁵⁵	m	a	ʂ	∅	∅	∅	_	M	A	S	∅	∅	∅	0	4	7	3	∅	∅	∅	29	²¹	t	a	p	∅	∅	∅	_	T	A	P	∅	∅	∅	0	1	7	1	∅	∅	∅																							30	³¹	t	aː	p	∅	∅	∅	_	T	A	P	∅	∅	∅	0	1	7	1	∅	∅	∅																																																																			31	⁵⁵	-	ɛ	p	∅	∅	∅	_	_	E	P	∅	∅	∅	0	0	7	1	∅	∅	∅	32	⁵⁵	t	a	p	∅	∅	∅	_	T	A	P	∅	∅	∅	0	1	7	1	∅	∅	∅
1	0.2500	4	1.0000	11																																																																																																															33	p	∅	∅	∅	a	k	-	P	∅	∅	∅	A	K	_	1	∅	∅	∅	7	1	0	34	b	∅	∅	∅	a	k	⁴	P	∅	∅	∅	A	K	_	1	∅	∅	∅	7	1	0																																												
2	0.5000	3	0.7500	11																																																																																																															33	a	p	∅	∅	k	-	∅	A	P	∅	∅	K	_	∅	7	1	∅	∅	1	0	∅	34	a	b	∅	∅	k	⁴	∅	A	P	∅	∅	K	_	∅	7	1	∅	∅	1	0	∅																																												
3	0.7500	2	0.5000	11																																																																																																															33	k	a	p	∅	-	∅	∅	K	A	P	∅	_	∅	∅	1	7	1	∅	0	∅	∅	34	k	a	b	∅	⁴	∅	∅	K	A	P	∅	_	∅	∅	1	7	1	∅	0	∅	∅																																												
4	1.0000	1	0.2500	11																																																																																																															33	-	k	a	p	∅	∅	∅	_	K	A	P	∅	∅	∅	0	1	7	1	∅	∅	∅	34	⁴	k	a	b	∅	∅	∅	_	K	A	P	∅	∅	∅	0	1	7	1	∅	∅	∅																																												
1	0.2000	5	1.0000	12	35	p	∅	∅	∅	-	i	-	P	∅	∅	∅	_	I	_	1	∅	∅	∅	0	7	0	36	p	∅	∅	∅	j	i	-	P	∅	∅	∅	J	I	_	1	∅	∅	∅	6	7	0	37	p	∅	∅	∅	-	i	-	P	∅	∅	∅	_	I	_	1	∅	∅	∅	0	7	0	38	p	∅	∅	∅	-	i	-	P	∅	∅	∅	_	I	_	1	∅	∅	∅	0	7	0	39	p	∅	∅	∅	-	i	k	P	∅	∅	∅	_	I	K	1	∅	∅	∅	0	7	1																							40	b	∅	∅	∅	-	i	-	P	∅	∅	∅	_	I	_	1	∅	∅	∅	0	7	0	41	-	∅	∅	∅	j	e	-	_	∅	∅	∅	J	E	_	0	∅	∅	∅	6	7	0	42	p	∅	∅	∅	-	i	-	P	∅	∅	∅	_	I	_	1	∅	∅	∅	0	7	0
2	0.4000	4	0.8000	12	35	-	p	∅	∅	i	-	⁵⁵	_	P	∅	∅	I	_	_	0	1	∅	∅	7	0	0	36	j	p	∅	∅	i	-	²¹	J	P	∅	∅	I	_	_	6	1	∅	∅	7	0	0	37	-	p	∅	∅	i	-	⁵⁵	_	P	∅	∅	I	_	_	0	1	∅	∅	7	0	0	38	-	p	∅	∅	i	-	³¹	_	P	∅	∅	I	_	_	0	1	∅	∅	7	0	0	39	-	p	∅	∅	i	k	³¹	_	P	∅	∅	I	K	_	0	1	∅	∅	7	1	0																							40	-	b	∅	∅	i	-	¹	_	P	∅	∅	I	_	_	0	1	∅	∅	7	0	0	41	j	-	∅	∅	e	-	²²	J	_	∅	∅	E	_	_	6	0	∅	∅	7	0	0	42	-	p	∅	∅	i	-	⁵⁵	_	P	∅	∅	I	_	_	0	1	∅	∅	7	0	0
