COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
541-6						b r j a ŋ										
1687-6						s iː ŋ										
123-6						n a m										
1652-6						dʑ a ŋ										
576-6						s a										
1738-6						g uː t										
442-6						s a m										
368-6						k j a ŋ										
1778-6						ʔ a t										
1859-7							ŋ ai̯									
175-7							g a									
241-7							ʔ i t									
2163-7							g a h									
2181-7							n a m									
2060-7							ʔ ɔː m									
410-7							ɗ aːi̯									
1841-7							m aːi̯									
2017-7							ʔ ai̯									
1004-7							m a									
614-7							ʔ ɔ h									
686-7							g l ai̯									
88-7							k a k									
872-7							n a ŋ									
1891-7							ɗ a									
68-7							s i m									
631-7							g ai̯ n									
594-7							g a									
1759-7							s ɔ ŋ									
805-7							g i ŋ									
756-7							m a k									
1201-7							m a ʔ									
2042-7							ʔ a									
1968-7							ɗ a ʔ									
2000-7							m a ŋ									
17-7							m a ʔ									
4-7							ɗ a m									
788-7							ɗ ai̯									
1219-7							s i m									
141-7							ʔ a ŋ									
541-7							k r j a n									
1687-7							m ɔ h									
123-7							n a m									
1652-7							tɕ ɔ ŋ									
576-7							ŋ a									
1738-7							ɗ o k									
442-7							s ɔː m									
368-7							g j aː n									
1778-7							ʔ a ʔ									
1859-8								ŋ ai̯								
175-8								k ɔː								
241-8								ʔ i ʔ								
2163-8								g ɔː								
2181-8								n ɔː m								
2060-8								ʔ i m								
410-8								t aːi̯								
1841-8								m aːi̯								
2017-8								s i								
1004-8								l aːi̯								
614-8								p o h								
686-8								p a aːi̯								
88-8								k a k								
872-8								n ɔː ŋ								
1891-8								t a								
68-8								s i m								
631-8								b ɔː								
594-8								k a								
1759-8								dʑ ɔː n								
805-8								g ɔː n								
756-8								n i k								
1201-8								m ɔː ʔ								
2042-8								ʔ i								
1968-8								t ɔː ʔ								
2000-8								n ɔ ŋ								
17-8								n ɔː ʔ								
4-8								d ɔː m								
788-8								t ai̯								
1219-8								s i m								
141-8								ʔ ɔ ŋ								
541-8								b l ə ɔ ŋ								
1687-8								l i								
123-8								n ɔː m								
1652-8								dʑ ɔː n								
576-8								ŋ ai̯								
1738-8								t o k								
442-8								n ɔ m								
368-8								k j ɔ ŋ								
1778-8								p ɔː ʔ								
1859-9									ŋ əi̯							
175-9									k a							
241-9									ʔ i t							
2163-9									k o m							
2181-9									n a m							
2060-9									ʔ a m							
410-9									d ai̯							
1841-9									m ai̯							
2017-9									ʔ iː							
1004-9									m ai̯							
614-9									b o h							
686-9									b l ai̯							
88-9									k a ʔ							
872-9									n a ŋ							
1891-9									d a							
68-9									s ə m							
631-9									b a m							
594-9									k a							
1759-9									s a n							
805-9									k o n							
756-9									ʔ i ʔ							
1201-9									m a t							
2042-9									ʔ a							
1968-9									ɗ a ʔ							
2000-9									dʑ a ŋ							
17-9									n a ʔ							
4-9									ɗ a m							
788-9									ɗ o							
1219-9									s a m							
141-9									ʔ a ŋ							
541-9									b r j a ŋ							
1687-9									s a a							
123-9									n a m							
1652-9									tɕ a n							
576-9									n a h							
1738-9									ɗ o ʔ							
442-9									n a m							
368-9									d a a ŋ							
1778-9									b a ʔ							
1859-10										ŋ iː						
175-10										k a n						
241-10										ʔ u ʔ						
2163-10										k u n						
2181-10										n a m						
2060-10										ʔ ɔː m						
410-10										ʔ ɛː						
1841-10										m ɛː						
2017-10										s i						
1004-10										m a						
614-10										d u h						
686-10										b a a						
88-10										k a ʔ						
872-10										n ə ŋ						
1891-10										ʔ ɔː						
68-10										s i m						
631-10										b ə n						
594-10										k a						
1759-10										dʑ a n						
805-10										k ə n						
756-10										ʔ i ʔ						
1201-10										m a n						
2042-10										ʔ i n						
1968-10										g a ʔ						
2000-10										m ə ŋ						
17-10										n ɔ n						
4-10										ɗ a m						
788-10										ɗ iː						
1219-10										dʑ i m						
141-10										ʔ ə ŋ						
541-10										b r j a ŋ						
1687-10										s u n						
123-10										j a m						
1652-10										dʑ ə ŋ						
576-10										n a n						
1738-10										g a ʔ						
442-10										ɗ a m						
368-10										b j a ŋ						
1778-10										ʔ a n						
1859-11											ŋ ai̯					
175-11											k a					
241-11											ʔ i ʔ					
2163-11											k ɔ					
2181-11											n ɔ m					
2060-11											ʔ i m					
410-11											t aːi̯					
1841-11											m aːi̯					
2017-11											tɕʰ i					
1004-11											m aːi̯					
614-11											b o h					
686-11											b ɔ aːi̯					
88-11											k a k					
872-11											n aː ŋ					
1891-11											t a					
68-11											tɕʰ ə m					
631-11											b a					
594-11											k a					
1759-11											dʑ a n					
805-11											k ɔ n					
756-11											tɕʰ i k					
1201-11											m a ʔ					
2042-11											ʔ ə					
1968-11											t a ʔ					
2000-11											tɕʰ ɔ ŋ					
17-11											n aː ʔ					
4-11											b ɔ m					
788-11											t a ʔ					
1219-11											tɕʰ i m					
141-11											ʔ ɔ ŋ					
541-11											b r j ɔ ŋ					
1687-11											s a					
123-11											n ɔ m					
1652-11											dʑ a n					
576-11											ŋ ai̯					
1738-11											t a k					
442-11											dʑ ɔ m					
368-11											k a ŋ					
1778-11											b a ʔ					
1859-12												ŋ ɛ				
175-12												g ă				
241-12												ʔ i ʔ				
2163-12												g ă ɲ				
2181-12												n ă m				
2060-12												ʔ o m				
410-12												d ai̯				
1841-12												m ai̯				
2017-12												s e				
1004-12												m ai̯				
614-12												b o h				
686-12												b o ai̯				
88-12												k ə̆ ʔ				
872-12												n ă ŋ				
1891-12												d ai̯				
68-12												s e m				
631-12												p ə̆ n				
594-12												g ai̯				
1759-12												s ă ɲ				
805-12												g ă ɲ				
756-12												s i ʔ				
1201-12												m ă t				
2042-12												ʔ o				
1968-12												d ă ʔ				
2000-12												n ă ŋ				
17-12												v ă				
4-12												d ă m				
788-12												d ɛ				
1219-12												s ă m				
141-12												ʔ o ŋ				
541-12												p r a a ŋ				
1687-12												s ă ɲ				
123-12												n ă m				
1652-12												c ă n				
576-12												ŋ ă				
1738-12												d ou̯ ʔ				
442-12												s o m				
368-12												g j a ŋ				
1778-12												p ă ʔ				
1859-13													ŋ ɛ			
175-13													g ă			
241-13													ʔ i ʔ			
2163-13													g ă			
2181-13													n ă m			
2060-13													ʔ o m			
410-13													t ai̯			
1841-13													m ai̯			
2017-13													s ai̯			
1004-13													m ai̯			
614-13													p ou̯ h			
686-13													p l ai̯			
88-13													k ă ʔ			
872-13													n ɔ k			
1891-13													d ai̯			
68-13													s e m			
631-13													p a			
594-13													g ai̯			
1759-13													s ă n			
805-13													g ă n			
756-13													k ou̯ ʔ			
1201-13													m ă t			
2042-13													ʔ i			
1968-13													d ă ʔ			
2000-13													m ă k			
17-13													v ă t			
4-13													d ă m			
788-13													d ai̯			
1219-13													s i m			
141-13													ʔ o k			
541-13													p r j a n			
1687-13													n ă h			
123-13													n ă m			
1652-13													c ă n			
576-13													n ă			
1738-13													d ou̯ ʔ			
442-13													n o m			
368-13													g j a n			
1778-13													p ă ʔ			
1859-14														ŋ ai̯		
175-14														k a		
241-14														ʔ iː t		
2163-14														g ɔ m		
2181-14														n a m		
2060-14														ʔ iː m		
410-14														d aːi̯		
1841-14														m aːi̯		
2017-14														s ai̯		
1004-14														m a		
614-14														d o h		
686-14														b ɔ ai̯		
88-14														k a ʔ		
872-14														n a ŋ		
1891-14														d a		
68-14														s i m		
631-14														b ai̯ n		
594-14														k a		
1759-14														tɕ a n		
805-14														g a ŋ		
756-14														m a ʔ		
1201-14														m j a h		
2042-14														ʔ iː		
1968-14														ɗ ɔ ʔ		
2000-14														j a ŋ		
17-14														n a ʔ		
4-14														ɗ a m		
788-14														ɗ ai̯		
1219-14														j iː m		
141-14														ʔ a ŋ		
541-14														k r j a n		
1687-14														m a n		
123-14														j a m		
1652-14														tɕ a n		
576-14														ŋ a		
1738-14														ɗ ɔ k		
442-14														j a m		
368-14														g j a n		
1778-14														d a t		
1859-15															ŋ ɛː	
175-15															g a	
241-15															ʔ iː ʔ	
2163-15															g a ɲ	
2181-15															n a m	
2060-15															ʔ a m	
410-15															d aːi̯	
1841-15															m aːi̯	
2017-15															s aːi̯	
1004-15															m aːi̯	
614-15															b ou̯ h	
686-15															b a aːi̯	
88-15															k a ʔ	
872-15															n a ŋ	
1891-15															d a	
68-15															s ei̯ m	
631-15															p ə n	
594-15															g a	
1759-15															s a n	
805-15															g a ɲ	
756-15															s a ʔ	
1201-15															m a t	
2042-15															ʔ a	
1968-15															d a ʔ	
2000-15															n ɔ ŋ	
17-15															v a ʔ	
4-15															d ə m	
788-15															d ɛː	
1219-15															s a m	
141-15															ʔ a ŋ	
541-15															b r j a ŋ	
1687-15															s a ɲ	
123-15															n a m	
1652-15															tɕ a n	
576-15															ŋ a	
1738-15															d a ʔ	
442-15															s a m	
368-15															g j a ŋ	
1778-15															b a ʔ	
1859-16																ŋ ɛː
175-16																g a
241-16																ʔ i ʔ
2163-16																g a n
2181-16																n a m
2060-16																ʔ a m
410-16																t aːi̯
1841-16																m aːi̯
2017-16																s ei̯
1004-16																a aːi̯
614-16																b ou̯ h
686-16																b l aːi̯
88-16																k a ʔ
872-16																n ɔ ŋ
1891-16																d a
68-16																s ei̯ m
631-16																p ə n
594-16																g a
1759-16																s a n
805-16																g a n
756-16																s a ʔ
1201-16																m a t
2042-16																ʔ a
1968-16																d a ʔ
2000-16																m a ŋ
17-16																v a ʔ
4-16																d a m
788-16																d ɛː
1219-16																s a m
141-16																ʔ a ŋ
541-16																p r j a ŋ
1687-16																n a n
123-16																n a m
1652-16																tɕ a n
576-16																ŋ ɔ
1738-16																d ou̯ ʔ
442-16																n a m
368-16																g j a ŋ
1778-16																b a ʔ
