COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
181-3			pʰ ɪ t̪ r̪ o				
1660-3			g o n̪ d e				
1440-3			d̪ i r̪ i ŋ				
1652-3			l oˑ				
1037-3			s̪ ȵ i m ɑ				
677-3			s̪ ɜ x m o				
1561-3			x ɕ r̪ ɸ ɑ				
447-3			s̪ k ɜ m b o				
828-3			ɾ i ŋ m o				
1247-3			tɕ ɜ t̪				
391-3			ɖʐ ɜ x m o				
972-3			ȵ i m o ɾ				
531-3			t̪ʰ ɜ q r̪ i ŋ				
253-3			tɕ o ɣ o				
1282-3			x u n̪ tɕ e				
812-3			j ɑ ŋ m o				
245-3			t̪ʰ o r̪ u				
1609-3			k ɜ r̪ ɸ o				
261-3			n̪ ɑ q p o				
1143-3			m ɑ r̪ o				
1065-3			tɕ i k				
1504-3			ȵ i s̪				
1432-3			s̪ u m				
634-3			β ʑ i				
1255-3			t̪ r̪ u k				
488-3			β gʲ t̪				
1004-3			ʊ ɾ g o				
506-3			tɕ u s̪ tɕ i k				
1488-3			tɕ o ŋ ɜ s̪				
1496-3			ŋ i ɕ u				
1073-3			β gʲ ɜ				
1617-3			s̪ u				
1569-3			tɕ i				
1593-3			g ɑ ɾ				
1585-3			n̪ ɑ m				
759-3			n̪ ɑ m				
1415-3			d̪ o n̪				
1215-3			pʰ o x s̪ ɜ tɕ o q s̪				
422-3			l o x s̪				
310-3			tɕʰ ɜ q p o				
189-3			g ɑ ŋ m ɑ				
25-3			z̪ ʊ s̪				
9-3			l̪ t̪ o k s̪				
57-3			t̪ʰ ŋ s̪				
17-3			s̪ k o m s̪				
709-4				g o o			
522-4				β d o ŋ			
514-4				m i k			
464-4				s̪ n̪ ɑ			
1020-4				s̪ ɜ m u l			
1355-4				s̪ o			
1464-4				l̪ tɕ e			
302-4				b r̪ ɜ ŋ			
237-4				l̪ t̪ β̞ ɑ			
205-4				p ɜ x q p ɜ			
1089-4				l ɜ x p l			
804-4				k ɜ ŋ m ɜ			
1263-4				b ɜ x p ɜ			
286-4				ɾ u s̪ p ɜ			
717-4				s̪ n̪ i ŋ			
269-4				ʈʂ ɜ q			
1512-4				l̪ tɕ i n̪			
555-4				l̪ ɜ k p ɜ			
751-4				n̪ ɑ ŋ			
439-4				z̪ g o			
601-4				ɕ i ŋ			
320-4				p ɜ x m ɜ			
1106-4				b u			
693-4				h ɜ p o r̪ ɜ			
221-4				s̪ t̪ ɜ r̪ e			
1199-4				t̪ʰ ɜ q p ɜ			
1424-4				s̪ k u t̪ p ɜ			
904-4				l dð o t̪			
1273-4				s̪ n̪ ɜ m			
1323-4				s̪ k ɜ r̪ m ɜ			
1127-4				tɕʰ ɜ r̪ ɸ ɜ			
1529-4				tɕʰ u			
1175-4				ɾ gʲ ɛ m tɕ o			
383-4				ɸ s̪ i l			
820-4				l̪ o k			
1636-4				l̪ u ŋ			
1331-4				ɾ d̪ β̞ ɜ			
1097-4				l ɑ m			
1223-4				tɕʲ ɑ ŋ ɑ			
592-4				m ɛ			
1290-4				t̪ u t̪ p ɜ			
669-4				s̪ ɛ ɾ			
1472-4				s̪ t̪ ɜ q dʑ i			
788-4				l o m ɑ			
1191-4				ɾ ɜ m p ɜ			
626-4				m i n̪ d o q			
844-4				ɑ m			
879-4				tɕʰ ɑ			
1151-4				b r̪ ɜ s̪			
1119-4				ɑ l u			
365-4				s̪ ȵ r̪ m ɑ			
1480-4				j u ŋ			
653-4				z̪ g o k p ɜ			
1081-4				ɪ o ŋ			
1448-4				p ɑ ɣ ɜ n̪			
1029-4				m ɑ ɾ			
863-4				ɕ ɑ			
539-4				tθʰ i l			
610-4				o ɑ			
350-4				tɕʲ ɑ ŋ o			
871-4				o ŋ ɑ			
734-4				ɾ β̞ ɑ			
431-4				kʰ i			
1298-4				o ɣ b u l			
929-4				z̪ ɜ ŋ g i			
1315-4				t̪ ɜ x s̪ k ɜ n̪			
964-4				m ɛ n̪ t̪ ɜ x			
836-4				m i			
1644-4				b u s̪ t̪ r̪ i ŋ			
547-4				ɜ t̪ ɜ			
1048-4				k ɑ k ɜ			
1692-4				pʰ o n̪ o			
1306-4				b u			
405-4				b o ŋ o			
294-4				pʰ r̪ u			
661-4				b o ŋ o			
413-4				dʑ ɜ q			
996-4				tθʰ ɜ n̪			
1012-4				t̪ r̪ o b ɜ ɾ			
181-4				ɸ i r̪ o			
1660-4				g o n̪ d e			
1440-4				d̪ i r̪ i ŋ			
1652-4				l o			
1037-4				s̪ ȵ i m ɜ			
677-4				ɜ ɜ x m o			
1561-4				ɕ ɜ r̪ p ɜ			
447-4				s̪ k ɜ m b o			
828-4				ɾ i ŋ m o			
1247-4				tɕ ɜ t̪			
391-4				ʐ ɜ x m o			
972-4				ȵ i m o ɾ			
531-4				t̪ʰ ɜ x r̪ i ŋ			
253-4				tɕ o ɣ o			
1282-4				o u n̪ tɕ e			
812-4				j ɑ ŋ m o			
245-4				t̪ʰ o r̪ u			
1609-4				k ɜ r̪ ɸ o			
261-4				n̪ ɜ q p o			
1143-4				m ɜ r̪ o			
1065-4				tɕ i k			
1504-4				ȵ i s̪			
1432-4				s̪ u m			
634-4				b dʑ i			
1255-4				t̪ r̪ u k			
488-4				b gʲ ɛ t̪			
1004-4				ɾ g u o			
506-4				tɕ u s̪ tɕ i k			
1488-4				tɕʲ o ŋ ɜ s̪			
1496-4				ŋ i ɕ u			
1073-4				b gʲ ɜ			
1617-4				s̪ u			
1569-4				tɕ i			
1593-4				g ɑ ɾ			
1585-4				n̪ ɑ m			
759-4				o ɑ m			
1415-4				d̪ o n̪			
1215-4				o x q tɕ o tɕ o q s̪			
422-4				l o x s̪ o			
310-4				tɕʰ ɜ q p o			
189-4				g ɑ ŋ m ɑ			
25-4				z̪ o s̪			
9-4				l̪ t̪ o k s̪			
57-4				t̪ʰ o ŋ			
17-4				s̪ k o m s̪			
709-5					g ʊ o		
522-5					ɣ ɜ d o ŋ		
514-5					m i k		
464-5					s̪ n̪ ɑ		
1020-5					x n̪ ɜ m u l		
1355-5					s̪ o		
1464-5					l̪ tɕ ɛ		
302-5					b l ɜ ŋ		
237-5					l̪ t̪ ɑ		
205-5					p ɜ q ɸ ɜ		
1089-5					l ɜ q õ ɪ l		
804-5					k ɑ ŋ m ɜ		
1263-5					b ɜ x s̪ p ɜ		
286-5					ɾ u s̪ p ɜ		
717-5					s̪ n̪ i ŋ		
269-5					ʈʂ ɜ q		
1512-5					x tɕ i n̪		
555-5					b ɑ k p ɜ		
751-5					n̪ õ ɜ ŋ		
439-5					z̪ g o		
601-5					ɕ ɪ ŋ		
320-5					b ɑ x m ɜ		
1106-5					β u		
693-5					h ɜ õ ɽ ɑ		
221-5					s̪ t̪ ɜ r̪ e		
1199-5					t̪ʰ ɜ q p ɜ		
1424-5					s̪ k u t̪ p ɑ		
904-5					l dð o t̪		
1273-5					x n̪ ɜ m		
1323-5					s̪ k ɜ r̪ m ɑ		
1127-5					tɕʰ ɜ r̪ ɸ ɜ		
1529-5					tɕʰ u		
1175-5					ɾ gʲ ɛ m tɕ o		
383-5					ɸ s̪ ɪ l		
820-5					l̪ o k		
1636-5					x l̪ u ŋ		
1331-5					ʊ ɾ d̪ ɑ		
1097-5					l ɑ m		
1223-5					b ɑ ŋ ɑ		
592-5					m ɛ		
1290-5					t̪ u t̪ p ɜ		
669-5					x ɛ ɾ		
1472-5					s̪ t̪ ɜ q ʑ i		
788-5					l o m ɑ		
1191-5					ɾ ɜ m p ɜ		
626-5					m ɛ n̪ d o q		
844-5					ɑ m		
879-5					tɕʰ ɑ		
1151-5					b l ɜ s̪		
1119-5					ɑ l u		
365-5					s̪ ȵ ɛ r̪ m ɜ		
1480-5					j u ŋ		
653-5					z̪ g o k p ɑ		
1081-5					ɛ õ		
1448-5					p ɑ ɣ ɜ n̪ m		
1029-5					m ɑ ɾ		
863-5					ɕ ɑ		
539-5					tθʰ ɪ l		
610-5					ɜ ɣ ɑ		
350-5					ȵ ɑ ŋ o		
871-5					o m ɑ		
734-5					ɾ ɑ		
431-5					x i		
1298-5					o ɣ b l		
929-5					z̪ ɑ ŋ g i		
1315-5					t̪ ɑ x s̪ k ɜ n̪		
964-5					m ɛ n̪ t̪ ɜ x		
836-5					m i		
1644-5					β u s̪ t̪ r̪ i ŋ		
547-5					ɜ t̪ ɜ		
1048-5					k ɑ b ɜ		
1692-5					p n̪ o		
1306-5					β u		
405-5					b o ŋ o		
294-5					p l̥ u		
661-5					b o ŋ o		
413-5					ʑ ɜ q		
996-5					tθʰ ɜ n̪		
1012-5					t̪ r̪ o b ɜ ɾ		
181-5					p ɪ t̪ r̪ o		
1660-5					g u n̪ d e		
1440-5					d̪ i r̪ i ŋ		
1652-5					l oˑ		
1037-5					s̪ ȵ i m ɑ		
677-5					b l ɜ x m o		
1561-5					x ɜ ɕ p ɑ		
447-5					s̪ k ɜ m b o		
828-5					ɾ i ŋ m o		
1247-5					tɕ ɜ t̪		
391-5					ɖʐ r̪ ɜ x m o		
972-5					ȵ i m o ɾ		
531-5					t̪ʰ ɜ q r̪ i ŋ		
253-5					tɕ o ɣ o		
1282-5					x u n̪ tɕ i		
812-5					j ɑ ŋ m o		
245-5					t̪ʰ u ɾ		
1609-5					k ɜ r̪ ɸ o		
261-5					n̪ ɑ q p o		
1143-5					m ɑ ɕ p o		
1065-5					tɕ i k		
1504-5					ȵ ɪ s̪		
1432-5					s̪ u m		
634-5					β ʑ i		
1255-5					t̪ r̪ u k		
488-5					β gʲ t̪		
1004-5					ʊ ɾ g u o		
506-5					tɕ u s̪ tɕ i k		
1488-5					tɕ o ŋ ɜ s̪		
1496-5					ȵ i ɕ u		
1073-5					β gʲ ɜ		
1617-5					s̪ u		
1569-5					tɕ i		
1593-5					g ɑ ɾ		
1585-5					n̪ ɑ m		
759-5					p ɑ m tɕ e		
1415-5					d̪ ɛ n̪		
1215-5					ɛ o x s̪ ɑ tɕ o q s̪		
422-5					l o x s̪ o		
310-5					tɕʰ ɜ q p o		
189-5					g ɑ ŋ m ɑ		
25-5					z̪ ʊ s̪		
9-5					l̪ t̪ o k s̪		
57-5					t̪ʰ ȵ		
17-5					s̪ k o m s̪		
709-6						g oˑ o	
522-6						ɣ ɜ d o ŋ	
514-6						m i k	
464-6						s̪ n̪ ɜ	
1020-6						s̪ n̪ ɜ m u l	
1355-6						s̪ o	
1464-6						l̪ tɕ e	
302-6						b r̪ ɜ ŋ	
237-6						l̪ t̪ β̞ ɑ	
205-6						pʰ ɜ q ɜ p ɜ	
1089-6						l ɜ x s̪ l	
804-6						k ɑ ŋ m ɜ	
1263-6						b ɜ x s̪ p ɜ	
286-6						ɾ u s̪ p ɜ	
717-6						s̪ n̪ i ŋ	
269-6						ʈʂ ɜ q	
1512-6						l̪ tɕ i n̪	
555-6						b ɜ k p ɜ	
751-6						n̪ ɑ ŋ	
439-6						z̪ g o	
601-6						ɕ i ŋ	
320-6						p ɜ x m ɜ	
1106-6						b u	
693-6						h ɜ ŋ o ɽ ɜ	
221-6						s̪ t̪ ɜ r̪ e	
1199-6						t̪ʰ ɜ q p ɜ	
1424-6						s̪ k u t̪ p ɜ	
904-6						l dð o t̪	
1273-6						s̪ n̪ ɜ m	
1323-6						s̪ k ɜ r̪ m ɜ	
1127-6						tɕʰ ɜ r̪ f ɜ	
1529-6						tɕʰ u	
1175-6						ɾ gʲ ɛ m tɕ o	
383-6						p s̪ ɪ l	
820-6						l̪ o k	
1636-6						l̪ u ŋ	
1331-6						ɾ d̪ β̞ ɑ	
1097-6						l ɜ m	
1223-6						b ɜ ŋ ɑ	
592-6						m ɛ	
1290-6						t̪ u t̪ p ɜ	
669-6						s̪ ɛ ɾ	
1472-6						s̪ t̪ ɜ q ʑ i	
788-6						l o m ɑ	
1191-6						ɾ ɜ m p ɜ	
626-6						m ɪ n̪ d o q	
844-6						ɑ m	
879-6						tɕʰ ɑ	
1151-6						b r̪ ɜ s̪	
1119-6						ɑ l u	
365-6						s̪ ȵ r̪ m ɜ	
1480-6						j u ŋ	
653-6						z̪ g o k p ɜ	
1081-6						ȵ o ŋ	
1448-6						p ɑ ɣ ɜ n̪	
1029-6						m ɑ ɾ	
863-6						ɕ ɜ	
539-6						tθʰ ɪ l	
610-6						s̪ ɜ	
350-6						ȵ ɜ ŋ o	
871-6						o m ɑ	
734-6						ɾ β̞ ɑ	
431-6						kʰ i	
1298-6						o ɣ b l	
929-6						z̪ ɑ ŋ g i	
1315-6						t̪ ɜ x s̪ k ɜ n̪	
964-6						m ĩ n̪ t̪ ɜ x	
836-6						m i	
1644-6						b u s̪ t̪ r̪ i ŋ	
547-6						ɜ t̪ ɜ	
1048-6						k ɑ k ɜ	
1692-6						pʰ o n̪ o	
1306-6						p u	
405-6						b o ŋ o	
294-6						p l̥ u	
661-6						b o ŋ o	
413-6						ʑ ɜ q	
996-6						tθʰ ɜ n̪	
1012-6						t̪ r̪ o b ɜ ɾ	
181-6						p ɪ t̪ o	
1660-6						g u n̪ d e	
1440-6						d̪ i r̪ i ŋ	
1652-6						l oˑ	
1037-6						s̪ ȵ i m ɑ	
677-6						b ɜ x m o	
1561-6						ɕ ɜ r̪ f ɜ	
447-6						s̪ k ɜ m b o	
828-6						ɾ i ŋ m o	
1247-6						tɕ ɜ t̪	
391-6						g o x m o	
972-6						ȵ i m o ɾ	
531-6						t̪ʰ ɜ x r̪ i ŋ	
253-6						tɕ o ɣ o	
1282-6						p u n̪ tɕ e	
812-6						j ɑ ŋ m o	
245-6						t̪ʰ u r̪	
1609-6						k ɜ r̪ f o	
261-6						n̪ ɜ q p o	
1143-6						m ɑ r̪ o	
1065-6						tɕ i k	
1504-6						ȵ i s̪	
1432-6						s̪ u m	
634-6						b ʑ i	
1255-6						t̪ r̪ u k	
488-6						b gʲ ɛ t̪	
1004-6						ɾ g o	
506-6						tɕ u s̪ tɕ i k	
1488-6						tɕ o ŋ ɜ s̪	
1496-6						ȵ i ɕ u	
1073-6						b gʲ ɜ	
1617-6						s̪ u	
1569-6						tɕ i	
1593-6						g ɜ ɾ	
1585-6						n̪ ɑ m	
759-6						ŋ ɑ m	
1415-6						d̪ o n̪	
1215-6						m o x s̪ tɕ o q s̪	
422-6						l o x s̪ o	
310-6						tɕʰ ɜ q s̪	
189-6						g ɑ ŋ m ɑ	
25-6						z̪ ʊ s̪	
9-6						l̪ t̪ o k s̪	
57-6						t̪ʰ ŋ s̪	
17-6						s̪ k o m s̪	
709-7							g ʊ o
522-7							g o d o ŋ
514-7							m i k
464-7							s̪ n̪ ɑ
1020-7							k ɜ m u l
1355-7							s̪ o
1464-7							l̪ tɕ
302-7							b l ɜ ŋ
237-7							l̪ t̪ β̞ ɑ
205-7							p r̪ ɑ q p ɑ
1089-7							l ɑ q ʊ l
804-7							k ɑ ŋ m ɜ
1263-7							b ɜ k s̪ p ɜ
286-7							ɾ u s̪ p ɜ
717-7							s̪ n̪ i ŋ
269-7							ʈʂ ɜ q
1512-7							k tɕ i n̪
555-7							ʊ ɾ d p ɑ
751-7							n̪ ɑ ŋ
439-7							z̪ g o
601-7							ɕ i ŋ
320-7							ɑ ɑ k m ɑ
1106-7							ʊ ɾ u
693-7							h ɑ o r̪ ɑ
221-7							t̪ʰ ɜ r̪
1199-7							t̪ʰ ɑ q p ɑ
1424-7							s̪ k u t̪ p ɜ
904-7							l dð o t̪
1273-7							k n̪ m
1323-7							s̪ k ɜ r̪ m ɑ
1127-7							tɕʰ ɜ r̪ p ɜ
1529-7							tɕʰ u
1175-7							ɾ gʲ ɛ m tɕ o
383-7							pʰ s̪ i l
820-7							l̪ o k
1636-7							k l̪ u ŋ
1331-7							ʊ ɾ d̪ β̞ ɑ
1097-7							l ɑ m
1223-7							ʊ ɑ ŋ ɑ
592-7							m ɛ
1290-7							t̪ u l p ɑ
669-7							k ɛ ɾ
1472-7							t̪ʰ ɜ q i
788-7							l o m ɑ
1191-7							ɾ ɜ m p ɑ
626-7							m ɛ n̪ d o q
844-7							ɑ m
879-7							tɕʰ ɑ
1151-7							b l ɜ s̪
1119-7							ɑ l u
365-7							s̪ ȵ r̪ m ɜ
1480-7							j u ŋ
653-7							z̪ g o k p ɑ
1081-7							ʊ õ ŋ
