ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	LATITUDE	LONGITUDE	LANGUAGE_SUBGROUP	PARTIAL_COGNACY	COGIDS
89	425_sherdukpen	Sherdukpen	Rupa	Rupa	møˀ	møˀ	m øˀ	rupa1234	27.203065	92.398757	Western Kho-Bwa	43	43
90	425_sherdukpen	Sherdukpen	Shergaon	Shergaon	meˀ	meˀ	m eˀ	sher1261	27.105018	92.272133	Western Kho-Bwa	43	43
91	425_sherdukpen	Sherdukpen	Khispi	Khispi	ɕɛl+tuk+pɛn	ɕɛl+tuk+pɛn	ɕ ɛ l + t u k + p ɛ n	lish1235	27.37	92.23	Western Kho-Bwa	10418 10419 10420	10418 10419 10420
92	425_sherdukpen	Sherdukpen	Duhumbi	Duhumbi	ɕɛr+tuk+pɛn	ɕɛr+tuk+pɛn	ɕ ɛ r + t u k + p ɛ n	chug1252	27.42	92.23	Western Kho-Bwa	10421 10422 10423	10421 10422 10423
93	425_sherdukpen	Sherdukpen	Jerigaon	Jerigaon	tʰu+wã+ʥi	tʰu+wã+ʥi	tʰ u + w ã + ʥ i	jeri1243	27.340629	92.486595	Western Kho-Bwa	10424 10425 10426	10424 10425 10426
94	425_sherdukpen	Sherdukpen	Khispi	Khispi	ɕɛl+tuk+pɛn	ɕɛl+tuk+pɛn	ɕ ɛ l + t u k + p ɛ n	lish1235	27.37	92.23	Western Kho-Bwa	11128 11129 11130	11128 11129 11130
95	425_sherdukpen	Sherdukpen	Duhumbi	Duhumbi	ɕɛr+tuk+pɛn	ɕɛr+tuk+pɛn	ɕ ɛ r + t u k + p ɛ n	chug1252	27.42	92.23	Western Kho-Bwa	11131 11132 11133	11131 11132 11133
96	425_sherdukpen	Sherdukpen	Jerigaon	Jerigaon	tʰu+wã+ʥi	tʰu+wã+ʥi	tʰ u + w ã + ʥ i	jeri1243	27.340629	92.486595	Western Kho-Bwa	11134 11135 11136	11134 11135 11136
97	426_shergaonpeopleof	Shergaon, people of	Khispi	Khispi	ɕɛl+pi	ɕɛl+pi	ɕ ɛ l + p i	lish1235	27.37	92.23	Western Kho-Bwa	47 48	47 48
98	426_shergaonpeopleof	Shergaon, people of	Khoina	Khoina	ʂɛ̃ː+ʥi	ʂɛ̃ː+ʥi	ʂ ɛ̃ː (n)/n + dʑ i	khoi1253	27.334981	92.52994	Western Kho-Bwa	47 48	47 48
99	426_shergaonpeopleof	Shergaon, people of	Jerigaon	Jerigaon	sɛ̃ː+ʥi	sɛ̃ː+ʥi	s ɛ̃ː (n)/n + dʑ i	jeri1243	27.340629	92.486595	Western Kho-Bwa	47 48	47 48
100	426_shergaonpeopleof	Shergaon, people of	Rahung	Rahung	sɛ̃ː+ʥi	sɛ̃ː+ʥi	s ɛ̃ː (n)/n + dʑ i	rahu1234	27.310778	92.395028	Western Kho-Bwa	47 48	47 48
101	426_shergaonpeopleof	Shergaon, people of	Rupa	Rupa	sɛ̃ː+ʥi	sɛ̃ː+ʥi	s ɛ̃ː (n)/n + dʑ i	rupa1234	27.203065	92.398757	Western Kho-Bwa	47 48	47 48
102	426_shergaonpeopleof	Shergaon, people of	Khispi	Khispi	ɕɛl+pi	ɕɛl+pi	ɕ ɛ l + p i	lish1235	27.37	92.23	Western Kho-Bwa	10436 10437	10436 10437
103	426_shergaonpeopleof	Shergaon, people of	Khispi	Khispi	ɕɛl+pi	ɕɛl+pi	ɕ ɛ l + p i	lish1235	27.37	92.23	Western Kho-Bwa	11146 11147	11146 11147
104	499_thembangpeople	Thembang people	Khispi	Khispi	tʰje+maŋ+bi	tʰje+maŋ+bi	tʰ j e + m a ŋ + b i	lish1235	27.37	92.23	Western Kho-Bwa	50 51 18	50 51 18
105	499_thembangpeople	Thembang people	Duhumbi	Duhumbi	tʰɛm+baŋ+pa	tʰɛm+baŋ+pa	tʰ ɛ m + b a ŋ + p a	chug1252	27.42	92.23	Western Kho-Bwa	50 51 18	50 51 18
106	499_thembangpeople	Thembang people	Khoina	Khoina	tʰɛm+baŋ+ʥi	tʰɛm+baŋ+ʥi	tʰ ɛ m + b a ŋ + dʑ i	khoi1253	27.334981	92.52994	Western Kho-Bwa	50 51 18	50 51 18
107	499_thembangpeople	Thembang people	Jerigaon	Jerigaon	tʰə+baŋ+ʥi	tʰə+baŋ+ʥi	tʰ ə + b a ŋ + dʑ i	jeri1243	27.340629	92.486595	Western Kho-Bwa	50 51 53	50 51 53
108	499_thembangpeople	Thembang people	Rahung	Rahung	tʰam+baŋ+ʥi	tʰam+baŋ+ʥi	tʰ a m + b a ŋ + dʑ i	rahu1234	27.310778	92.395028	Western Kho-Bwa	50 51 18	50 51 18
109	6_ablative	ablative	Khispi	Khispi	+lɔ	+lɔ	l ɔ	lish1235	27.37	92.23	Western Kho-Bwa	55	55
110	6_ablative	ablative	Duhumbi	Duhumbi	+lɔˀ	+lɔˀ	l ɔˀ	chug1252	27.42	92.23	Western Kho-Bwa	55	55
111	6_ablative	ablative	Khoina	Khoina	+lɔ	+lɔ	l ɔ	khoi1253	27.334981	92.52994	Western Kho-Bwa	55	55
112	6_ablative	ablative	Jerigaon	Jerigaon	+lɔ	+lɔ	l ɔ	jeri1243	27.340629	92.486595	Western Kho-Bwa	55	55
113	6_ablative	ablative	Khoitam	Khoitam	+lɔ	+lɔ	l ɔ	khoi1252	27.327487	92.439455	Western Kho-Bwa	55	55
114	6_ablative	ablative	Rahung	Rahung	+rɔ	+rɔ	r ɔ	rahu1234	27.310778	92.395028	Western Kho-Bwa	55	55
115	6_ablative	ablative	Rupa	Rupa	+lɔ	+lɔ	l ɔ	rupa1234	27.203065	92.398757	Western Kho-Bwa	55	55
116	6_ablative	ablative	Shergaon	Shergaon	+lɔ	+lɔ	l ɔ	sher1261	27.105018	92.272133	Western Kho-Bwa	55	55
117	7_abovetop	above, top	Khispi	Khispi	ʨʰaŋ	ʨʰaŋ	tɕʰ a ŋ	lish1235	27.37	92.23	Western Kho-Bwa	58	58
118	7_abovetop	above, top	Duhumbi	Duhumbi	ʨʰaŋ	ʨʰaŋ	tɕʰ a ŋ	chug1252	27.42	92.23	Western Kho-Bwa	58	58
119	7_abovetop	above, top	Khoina	Khoina	a+ʦʰɔ̃ː	a+ʦʰɔ̃ː	a + tsʰ ɔ̃ː (ŋ)/ŋ	khoi1253	27.334981	92.52994	Western Kho-Bwa	56 58	56 58
120	7_abovetop	above, top	Jerigaon	Jerigaon	a+ʨʰɔ̃ː	a+ʨʰɔ̃ː	a + tɕʰ ɔ̃ː (ŋ)/ŋ	jeri1243	27.340629	92.486595	Western Kho-Bwa	56 58	56 58
121	7_abovetop	above, top	Khoitam	Khoitam	a+ʨʰũː	a+ʨʰũː	a + tɕʰ ũː (ŋ)/ŋ	khoi1252	27.327487	92.439455	Western Kho-Bwa	56 58	56 58
122	8_achieveobtain	achieve, obtain	Khispi	Khispi	man	man	m a n	lish1235	27.37	92.23	Western Kho-Bwa	59	59
123	8_achieveobtain	achieve, obtain	Duhumbi	Duhumbi	man	man	m a n	chug1252	27.42	92.23	Western Kho-Bwa	59	59
124	8_achieveobtain	achieve, obtain	Khoina	Khoina	mɐ̃ː	mɐ̃ː	m ɐ̃ː	khoi1253	27.334981	92.52994	Western Kho-Bwa	59	59
125	8_achieveobtain	achieve, obtain	Khoitam	Khoitam	mɔ̃ː	mɔ̃ː	m ɔ̃ː	khoi1252	27.327487	92.439455	Western Kho-Bwa	59	59
126	8_achieveobtain	achieve, obtain	Rahung	Rahung	mɔ̃ː	mɔ̃ː	m ɔ̃ː	rahu1234	27.310778	92.395028	Western Kho-Bwa	59	59
127	8_achieveobtain	achieve, obtain	Rupa	Rupa	mɔ̃ː	mɔ̃ː	m ɔ̃ː	rupa1234	27.203065	92.398757	Western Kho-Bwa	59	59
128	9_aconite	aconite	Khispi	Khispi	si	si	s i	lish1235	27.37	92.23	Western Kho-Bwa	60	60
129	9_aconite	aconite	Duhumbi	Duhumbi	si	si	s i	chug1252	27.42	92.23	Western Kho-Bwa	60	60
130	9_aconite	aconite	Khoina	Khoina	saː	saː	s aː	khoi1253	27.334981	92.52994	Western Kho-Bwa	60	60
131	9_aconite	aconite	Jerigaon	Jerigaon	sɛː	sɛː	s ɛː	jeri1243	27.340629	92.486595	Western Kho-Bwa	60	60
132	9_aconite	aconite	Khoitam	Khoitam	sɛ	sɛ	s ɛ	khoi1252	27.327487	92.439455	Western Kho-Bwa	60	60
133	9_aconite	aconite	Rahung	Rahung	sɛˀ	sɛˀ	s ɛˀ	rahu1234	27.310778	92.395028	Western Kho-Bwa	60	60
134	9_aconite	aconite	Rupa	Rupa	saː	saː	s aː	rupa1234	27.203065	92.398757	Western Kho-Bwa	60	60
135	9_aconite	aconite	Shergaon	Shergaon	saː	saː	s aː	sher1261	27.105018	92.272133	Western Kho-Bwa	60	60
136	10_after	after	Khispi	Khispi	la+kʰuŋ	la+kʰuŋ	l a + kʰ u ŋ	lish1235	27.37	92.23	Western Kho-Bwa	62 61	62 61
137	10_after	after	Duhumbi	Duhumbi	la+kʰuŋ	la+kʰuŋ	l a + kʰ u ŋ	chug1252	27.42	92.23	Western Kho-Bwa	62 61	62 61
138	10_after	after	Khoina	Khoina	la+kʰyŋ	la+kʰyŋ	l a + kʰ y ŋ	khoi1253	27.334981	92.52994	Western Kho-Bwa	62 61	62 61
139	10_after	after	Rahung	Rahung	la+kʰyŋ	la+kʰyŋ	l a + kʰ y ŋ	rahu1234	27.310778	92.395028	Western Kho-Bwa	62 61	62 61
140	10_after	after	Rupa	Rupa	də+kʰyŋ	də+kʰyŋ	d ə + kʰ y ŋ	rupa1234	27.203065	92.398757	Western Kho-Bwa	62 61	62 61
141	11_afternoon	afternoon	Khoina	Khoina	na+jɔ+tøn	na+jɔ+tøn	n a + j ɔ + t ø n	khoi1253	27.334981	92.52994	Western Kho-Bwa	64 48 66	64 48 66
142	11_afternoon	afternoon	Jerigaon	Jerigaon	ny+jɔ+tɛn	ny+jɔ+tɛn	n y + j ɔ + t ɛ n	jeri1243	27.340629	92.486595	Western Kho-Bwa	64 48 66	64 48 66
143	11_afternoon	afternoon	Khoitam	Khoitam	ny+jɔ	ny+jɔ	n y + j ɔ	khoi1252	27.327487	92.439455	Western Kho-Bwa	64 48	64 48
144	11_afternoon	afternoon	Rahung	Rahung	ny+jɔ	ny+jɔ	n y + j ɔ	rahu1234	27.310778	92.395028	Western Kho-Bwa	64 48	64 48
145	11_afternoon	afternoon	Rupa	Rupa	ɲaw	ɲaw	ɲ au	rupa1234	27.203065	92.398757	Western Kho-Bwa	518	518
146	11_afternoon	afternoon	Shergaon	Shergaon	ɲaw	ɲaw	ɲ au	sher1261	27.105018	92.272133	Western Kho-Bwa	518	518
147	12_agent	agent	Khispi	Khispi	+ɔ	+ɔ	ɔ	lish1235	27.37	92.23	Western Kho-Bwa	67	67
148	12_agent	agent	Duhumbi	Duhumbi	+ɔˀ	+ɔˀ	ɔˀ	chug1252	27.42	92.23	Western Kho-Bwa	67	67
149	12_agent	agent	Khoitam	Khoitam	+ɔ	+ɔ	ɔ	khoi1252	27.327487	92.439455	Western Kho-Bwa	67	67
150	12_agent	agent	Rahung	Rahung	+ɔ	+ɔ	ɔ	rahu1234	27.310778	92.395028	Western Kho-Bwa	67	67
