COGID	Duhumbi	Jerigaon	Khispi	Khoina	Khoitam	Rahung	Rupa	Shergaon
206-8								n a m
117-8								b yː
146-8								kʰ eˀ
219-8								b ə
218-8								tɕʰ aː
224-8								m ɔ ŋ
240-8								tɕʰ a k
244-8								j ɔˀ
255-8								n ɔ̃
260-8								b ɛˀ
263-8								r ɔː
269-8								g ɛ k
271-8								tʰ a k
209-8								kʰ eˀ
277-8								m a
278-8								b u ŋ
135-8								d ə
284-8								m yː
797-8								a
290-8								l i ŋ
289-8								tɕ i k
296-8								n i
310-8								s
319-8								iː
325-8								r a
327-8								tʰ aː
331-8								k ɔː
337-8								b a n
338-8								l i ŋ
339-8								ɔ̃ː
350-8								g ə
349-8								tʰ y ŋ
357-8								tɕʰ u
355-8								a
363-8								m a
361-8								tʰ oː
365-8								s a ɹ
