COGID	Duhumbi	Jerigaon	Khispi	Khoina	Khoitam	Rahung	Rupa	Shergaon
677-1	t a ŋ							
75-1	k u ŋ							
678-1	Ø a							
682-1	m Ø n							
493-1	z Ø							
693-1	Ø a							
694-1	m a							
702-1	Ø ɔ m							
704-1	m a							
176-1	l a							
709-1	Ø l l							
710-1	t ɔ l							
714-1	m Ø ŋ							
718-1	kʰ l							
719-1	tɕʰ a ŋ							
22-1	m Ø							
723-1	tɕ i ŋ							
726-1	dʑ ɛ ŋ							
729-1	b ŋ							
730-1	r Ø							
739-1	Ø l Ø							
740-1	b a							
741-1	kʰ ɔ k							
744-1	u							
743-1	Ø Ø n							
746-1	Ø u ŋ							
748-1	tʰ ŋ l							
747-1	kʰ Ø							
749-1	kʰ Ø n							
751-1	t a l							
762-1	m Ø n							
764-1	Ø Ø n							
765-1	dʑ i							
788-1	l a l							
615-1	l a k							
803-1	Ø u							
802-1	Ø a k							
808-1	b a							
809-1	Ø i							
819-1	d u k							
821-1	Ø Ø							
820-1	b ɔ							
828-1	Ø a k							
827-1	p Ø							
835-1	n Ø							
308-1	r Ø							
844-1	z i							
848-1	m u							
705-1	l a							
613-1	Ø							
649-1	Ø ɛ k							
876-1	Ø Ø							
878-1	Ø u ŋ							
889-1	Ø a l							
898-1	n u k							
902-1	Ø u ŋ							
910-1	Ø n							
916-1	l Ø							
919-1	r a							
922-1	Ø i k							
930-1	tɕʰ							
933-1	k Ø							
939-1	r ɛ k							
947-1	Ø Ø n							
948-1	n u l							
963-1	z a							
967-1	Ø u k							
969-1	Ø l							
970-1	k u k							
972-1	n a							
731-1	m Ø							
973-1	dʑ i ŋ							
974-1	n Ø l							
979-1	tɕ a n							
182-1	kʰ Ø							
993-1	n a l							
994-1	Ø Ø							
1001-1	Ø a							
1002-1	d u l							
1005-1	Ø Ø l							
1009-1	kʰ							
1022-1	Ø l							
1021-1	Ø u k							
1043-1	Ø u ŋ							
1049-1	t a l							
1065-1	tɕʰ i l							
1068-1	Ø a							
1077-1	l u ŋ							
1081-1	r a ŋ							
1084-1	Ø i ŋ							
1092-1	m a							
1091-1	Ø Ø							
1096-1	n Ø							
1097-1	Ø Ø							
1102-1	n a							
1104-1	tʰ ɔi l							
1108-1	Ø a k							
552-1	dʑ a							
1111-1	b l Ø							
1116-1	Ø a l							
722-1	kʰ							
1141-1	Ø ɔ ŋ							
1147-1	b Ø							
1146-1	z ɔ							
1150-1	Ø l a ŋ							
1151-1	u ŋ							
1158-1	h a k							
1159-1	Ø a							
1164-1	tʰ ŋ							
1163-1	l a							
1167-1	Ø a ŋ							
1171-1	l a							
1177-1	z Ø							
1187-1	kʰ a							
1189-1	n i k							
52-1	kʰ a							
1195-1	z Ø							
1203-1	tʰ u k							
1211-1	Ø ɔ							
329-1	r a							
1217-1	m Ø l							
72-1	kʰ a							
1218-1	tɕʰ i k							
1222-1	tɕʰ eː Ø							
1229-1	dʑ a ŋ							
1238-1	d a ŋ							
1249-1	n Ø							
1252-1	Ø a							
1254-1	n a l							
1253-1	Ø ɔ Ø							
1257-1	k l							
1263-1	dʑ a							
1266-1	dʑ a k							
584-1	t u ŋ							
7-1	Ø a							
1191-1	l l a ŋ							
13-1	tɕʰ a							
18-1	dʑ i							
33-1	n a ŋ							
74-1	t Ø n							
81-1	Ø a n							
83-1	m i k							
89-1	tʰ ɔ ŋ							
90-1	z t							
123-1	Ø Ø l							
122-1	kʰ u l							
121-1	m l							
154-1	Ø Ø							
159-1	Ø t							
161-1	tɕʰ Ø							
170-1	g Ø t							
91-1	a							
181-1	n a							
186-1	dʑ Ø							
191-1	z Ø							
217-1	k a							
221-1	n u							
252-1	Ø Ø n							
253-1	r a n							
261-1	b Ø							
262-1	l Ø							
281-1	Ø ɛ k							
287-1	l u l							
288-1	l a							
292-1	Ø i l							
297-1	kʰ ɔ k							
311-1	k Ø							
332-1	b a							
358-1	Ø u ŋ							
366-1	k a							
378-1	Ø Ø l							
382-1	m Ø							
392-1	dʑ ɔ k							
397-1	b							
471-1	m ɔ ŋ							
477-1	d ŋ							
478-1	r Ø							
481-1	dʑ a p							
483-1	z Ø n							
511-1	kʰ l							
525-1	Ø Ø							
542-1	dʑ ɔ ŋ							
638-1	n u ŋ							
656-1	z a							
657-1	d u ŋ							
659-1	d a							
711-1	Ø au							
745-1	n Ø t							
818-1	tʰ Ø k							
825-1	tʰ Ø							
839-1	tɕʰ ɔ							
841-1	Ø u							
894-1	b Ø Ø							
932-1	Ø l							
936-1	l a							
943-1	Ø a k							
965-1	d u ŋ							
1039-1	s a ŋ							
1044-1	a							
1076-1	kʰ ɔ							
1126-1	tʰ Ø t							
1131-1	Ø Ø a							
1132-1	Ø a p							
1166-1	d Ø p							
1175-1	l l n p							
944-1	tʰ u ŋ							
1199-1	dʑ a ŋ							
1256-1	Ø u ŋ							
1282-1	dʑ Ø							
1283-1	Ø							
30-1	m ɔ l							
32-1	dʑ Ø							
59-1	m a t							
68-1	Ø							
69-1	h a m							
82-1	Ø ɛ t							
88-1	z i k							
100-1	z a t							
116-1	h a k							
142-1	z ɛ k							
155-1	kʰ a ŋ							
268-1	Ø Ø							
285-1	tɕʰ a m							
315-1	l							
318-1	Ø Ø							
406-1	l a							
421-1	Ø a t							
436-1	Ø Ø							
515-1	p t							
516-1	r ɔ p							
524-1	z ɔ m							
545-1	p Ø l							
566-1	Ø Ø k							
579-1	Ø ɔ t							
587-1	k u p							
597-1	z u							
166-1	l a k							
644-1	Ø u ŋ							
687-1	n Ø							
733-1	t u ŋ							
738-1	Ø Ø t							
755-1	n u l							
1-2		k uː						
5-2		n a						
4-2		tʰ Ø k						
6-2		n a ŋ						
15-2		dʑ i						
55-2		l ɔ						
56-2		a						
60-2		s i						
61-2		kʰ u ŋ						
80-2		tɕʰ ɔ k						
87-2		tɕʰ a						
86-2		pʰ p u						
92-2		pʰ p a						
102-2		m a						
106-2		pʰ u k						
108-2		d a						
107-2		pʰ l a						
112-2		pʰ a p						
115-2		s ŋ						
114-2		t u ŋ						
120-2		d u						
124-2		a						
125-2		tʰ ɔ k						
132-2		s ə						
131-2		r i ŋ						
136-2		m ə						
134-2		kʰ a k						
137-2		a						
138-2		d ɔ k						
140-2		h ŋ uː						
143-2		tɕʰ a k						
145-2		tɕʰ ɔ̃ː ŋ						
147-2		h aː						
149-2		m i k						
153-2		s ŋ						
152-2		kʰ a n						
158-2		k i k						
163-2		l i						
164-2		ɲ iː						
167-2		pʰ a ŋ						
171-2		ɲ u ŋ						
172-2		b u k						
173-2		tʰ ɔ ŋ						
183-2		r aː						
185-2		m uː						
188-2		k Ø n						
189-2		Ø i n						
193-2		h a						
196-2		m Ø ŋ						
199-2		tɕʰ aː						
200-2		kʰ a n						
201-2		kʰ i						
202-2		kʰ p						
203-2		tʰ u ŋ						
204-2		b iː						
206-2		ɲ a m						
117-2		b iː						
146-2		kʰ i p						
219-2		ŋ pʰ						
218-2		kʰ aː						
224-2		m a ŋ						
240-2		tɕʰ a k						
244-2		j a						
255-2		n a ŋ						
260-2		b a						
263-2		r a						
269-2		k ŋ a k						
271-2		tʰ a k						
209-2		kʰ i p						
277-2		m u ŋ						
278-2		b u ŋ						
135-2		d Ø						
284-2		m iː						
797-2		a						
290-2		l i ŋ						
289-2		k i p						
296-2		n i						
310-2		s p						
319-2		i						
325-2		r a						
327-2		tʰ aː						
331-2		k Ø						
337-2		b ŋ a n						
338-2		l i ŋ						
339-2		Ø ŋ						
350-2		kʰ ə						
349-2		tʰ u ŋ						
357-2		tɕʰ u						
355-2		a						
363-2		b a p						
361-2		tʰ Ø						
365-2		s a ɹ						
364-2		k a p						
375-2		r u k						
379-2		s Ø t						
380-2		kʰ a						
396-2		h Ø						
400-2		m uː						
405-2		d a ŋ						
404-2		s Ø m						
409-2		r ŋ a k						
410-2		ŋ i k						
415-2		b a						
416-2		b a						
101-2		ɲ u						
37-2		kʰ uː						
424-2		pʰ aː						
434-2		tɕʰ a n						
445-2		p						
446-2		s i						
451-2		t u						
457-2		n a m						
456-2		b p uː						
464-2		pʰ ŋ i ŋ						
473-2		tɕʰ i						
474-2		ɔ ŋ						
479-2		s Ø ɹ						
489-2		h ɔ						
490-2		h Ø						
494-2		s Ø						
503-2		k ə						
502-2		z a ŋ						
235-2		l u ŋ						
519-2		l i						
523-2		u k						
527-2		kʰ ŋ a ŋ						
538-2		s						
544-2		j a m						
850-2		a						
554-2		dʑ Ø						
553-2		r i n						
558-2		kʰ ɔ̃ː						
561-2		s a						
562-2		a						
564-2		h aː						
567-2		m a						
570-2		pʰ iː						
575-2		ɔ̃ː						
582-2		l a						
585-2		a						
589-2		k ɔ m						
593-2		d a n						
594-2		l Ø						
595-2		tʰ iː						
596-2		ɲ u k						
598-2		z u						
599-2		d Ø ŋ						
602-2		z aː						
603-2		l a p						
606-2		s u Ø						
605-2		b ɔ						
620-2		l a						
637-2		pʰ a k						
639-2		dʑ Ø						
645-2		kʰ ɔ						
646-2		r a ŋ						
168-2		h ŋ a k						
658-2		h a n						
665-2		pʰ uː						
668-2		h uː						
677-2		t a ŋ						
75-2		k u ŋ						
678-2		s uː						
682-2		m a n						
493-2		z iː						
693-2		s Ø						
694-2		m uː						
702-2		Ø ɔ m						
704-2		m uː						
176-2		l uː						
709-2		s ŋ ŋ						
710-2		t ɔ p						
714-2		m ŋ Ø p						
718-2		kʰ						
719-2		tɕʰ ɔ̃ː						
22-2		m iː						
723-2		Ø i ŋ						
726-2		b a ŋ						
729-2		b						
730-2		r i						
739-2		pʰ l i						
740-2		b Ø						
741-2		kʰ ɔ k						
744-2		a						
743-2		p a n						
746-2		pʰ u ŋ						
748-2		tʰ ə p						
747-2		kʰ iː						
749-2		kʰ a n						
751-2		t Ø ŋ						
762-2		m a n						
764-2		h a n						
765-2		dʑ i						
788-2		l ə p						
615-2		l a k						
803-2		s u						
802-2		Ø a k						
808-2		b a						
809-2		Ø i						
819-2		d u k						
821-2		s Ø						
820-2		b ɔ						
828-2		s a k						
827-2		iː						
835-2		n ɔ						
308-2		r iː						
844-2		z i p						
848-2		m u						
705-2		l uː						
613-2		ə						
649-2		h ŋ a k						
876-2		Ø Ø						
878-2		h u ŋ						
889-2		h ɔ̃ː p						
898-2		n u k						
902-2		h ɔ̃ː ŋ						
910-2		a n						
916-2		l i						
919-2		r aː						
922-2		s i k						
930-2		tɕʰ ɔ̃ː						
933-2		k i						
939-2		ŋ r a k						
947-2		Ø a n						
948-2		n u						
963-2		z uː						
967-2		tɕʰ u k						
969-2		s ŋ						
970-2		k u k						
972-2		n Ø						
731-2		m iː						
973-2		b i ŋ						
974-2		n a ŋ						
979-2		Ø a n						
182-2		kʰ iː						
993-2		n Ø ŋ						
994-2		h iː						
1001-2		s a						
1002-2		d u						
1005-2		tɕʰ iː ŋ						
1009-2		kʰ Ø						
1022-2		s						
1021-2		u k						
1043-2		j u ŋ						
1049-2		t aː ŋ						
1065-2		kʰ Ø						
1068-2		j Ø						
1077-2		l u ŋ						
1081-2		r ɔ̃ː						
1084-2		h i ŋ						
1092-2		m ə						
1091-2		dʑ i						
1096-2		n Ø						
1097-2		k iː						
1102-2		ɲ aː						
1104-2		tʰ a ŋ						
1108-2		tɕʰ a k						
552-2		dʑ uː						
1111-2		b p ɔ̃ː						
1116-2		s Ø ŋ						
722-2		kʰ Ø						
1141-2		h a						
1147-2		b u						
1146-2		z ɔ						
1150-2		h ŋ a ŋ						
1151-2		ɔ ŋ						
1158-2		kʰ a k						
1159-2		pʰ ɔ̃ː						
1164-2		tʰ Ø						
1163-2		l uː						
1167-2		s a ŋ						
1171-2		l aː						
1177-2		z iː p						
1187-2		kʰ aː						
1189-2		ɲ i k						
52-2		kʰ uː						
1195-2		z i						
1203-2		tʰ u k						
1211-2		h ɔ						
329-2		r a						
1217-2		m Ø						
72-2		kʰ uː						
1218-2		tɕʰ i k						
1222-2		tɕʰ ɔ ŋ						
1229-2		dʑ a ŋ						
1238-2		d ɔ̃ː ŋ						
1249-2		Ø i						
1252-2		h uː						
1254-2		n u p						
1253-2		s ɔ m						
1257-2		k a						
1263-2		dʑ ə						
1266-2		dʑ a k						
584-2		t u ŋ						
7-2		h Ø						
1191-2		l h a ŋ						
18-2		dʑ i						
33-2		n a Ø						
74-2		t a						
81-2		s a n						
83-2		m i k						
104-2		m u						
123-2		tɕʰ i p						
122-2		kʰ Ø ŋ						
121-2		m a						
154-2		tɕʰ Ø						
161-2		kʰ i						
170-2		g Ø t						
91-2		a						
181-2		n uː						
186-2		dʑ Ø						
191-2		z ə						
211-2		b a						
210-2		kʰ Ø ŋ						
217-2		k ɔ						
221-2		n iː						
233-2		Ø u						
246-2		t i						
252-2		tɕ a n						
253-2		l a Ø						
261-2		b Ø						
262-2		h Ø						
281-2		Ø a k						
287-2		l Ø						
288-2		l uː						
292-2		d a p						
297-2		kʰ ɔ k						
332-2		b Ø						
342-2		ɔ ŋ						
358-2		h ɔ ŋ						
366-2		k ə						
378-2		tɕʰ Ø						
382-2		m i						
392-2		dʑ ɔ k						
397-2		pʰ a						
437-2		h Ø						
444-2		pʰ p a k						
465-2		tɕʰ i						
471-2		m a ŋ						
477-2		d ə						
478-2		r Ø						
481-2		dʑ a p						
483-2		z a n						
500-2		m i ŋ						
511-2		kʰ ŋ						
525-2		tɕʰ i						
542-2		dʑ ɔ ŋ						
625-2		r u ŋ						
638-2		n u						
640-2		ŋ Ø Ø ŋ						
656-2		z ə						
657-2		d u ŋ						
818-2		tʰ a p						
825-2		tʰ Ø						
839-2		tɕʰ ɔ						
841-2		h a						
932-2		s i						
936-2		l a						
943-2		pʰ a k						
965-2		d u ŋ						
981-2		d u						
1039-2		s a ŋ						
1044-2		a						
1076-2		k Ø						
1126-2		tʰ Ø p						
1131-2		pʰ p uː						
1132-2		tɕʰ a p						
1166-2		d a						
1175-2		n p						
944-2		t Ø ŋ						
1199-2		dʑ ɔ						
1228-2		r a k						
1256-2		Ø Ø ŋ						
1282-2		d i						
1283-2		h ɔ̃ː						
32-2		dʑ a						
48-2		dʑ i						
78-2		l i ŋ						
77-2		z ə k						
82-2		pʰ a t						
103-2		s u ŋ						
113-2		pʰ a						
116-2		m a k						
10-2		a						
192-2		z iː						
198-2		tɕʰ a m						
232-2		s a ŋ						
247-2		s Ø p						
282-2		s uː						
306-2		Ø p iː						
321-2		z Ø t						
352-2		tʰ i p						
367-2		l i						
368-2		i k						
372-2		s u						
373-2		t ɔ ŋ						
439-2		h aː						
129-2		b iː						
390-2		tɕʰ Ø						
399-2		h u ŋ						
826-2		m ə						
432-2		b p ŋ						
438-2		m ə						
440-2		s Ø p						
476-2		z Ø						
491-2		ɔ						
205-2		z iː						
513-2		s ə						
520-2		tʰ ɔ						
524-2		z ɔ m						
151-2		l Ø ŋ						
572-2		l aː						
574-2		tɕ Ø						
583-2		kʰ iː						
597-2		z a						
609-2		tɕʰ i k						
612-2		kʰ Ø						
166-2		l a k						
622-2		t eˀ						
667-2		dʑ ə						
689-2		kʰ ə						
690-2		Ø a m						
752-2		h a						
755-2		n ə m						
1-3			Ø ɔː					
5-3			n ɔː					
4-3			tʰ i k					
6-3			n ɔː ŋ					
15-3			Ø i					
55-3			l ɔ					
56-3			Ø					
60-3			Ø Ø					
61-3			kʰ u ŋ					
80-3			Ø ɔ k					
87-3			tɕʰ Ø					
86-3			pʰ l u					
92-3			pʰ l u					
102-3			m Ø					
106-3			pʰ u k					
108-3			d ə					
107-3			pʰ l u					
112-3			pʰ ɔ Ø					
115-3			s Ø					
114-3			t u m					
120-3			d u					
124-3			ɔː					
125-3			tʰ ɔ k					
132-3			Ø ə					
131-3			r i ŋ					
136-3			m u					
134-3			kʰ ɔː k					
137-3			ɔː					
138-3			d ɔ k					
140-3			h Ø ɔː					
143-3			tɕʰ ɔː k					
145-3			tɕʰ ɔː m					
147-3			h Ø					
149-3			Ø Ø k					
153-3			s Ø					
152-3			kʰ ɛ n					
158-3			Ø Ø k					
163-3			l i					
164-3			Ø Ø					
167-3			pʰ ɔː ŋ					
171-3			Ø u ŋ					
172-3			b u k					
173-3			tʰ iː Ø					
183-3			r Ø					
185-3			m ɔː					
188-3			Ø Ø Ø					
189-3			kʰ Ø ŋ					
193-3			n Ø					
196-3			m ɔː Ø					
199-3			tɕʰ Ø					
200-3			kʰ ɔː n					
201-3			kʰ i					
202-3			kʰ Ø Ø					
203-3			tʰ u ŋ					
204-3			b Ø					
206-3			Ø ɔː m					
117-3			b Ø					
146-3			kʰ Ø Ø					
219-3			pʰ Ø					
218-3			tɕʰ Ø					
224-3			m ɔː ŋ					
240-3			tɕʰ ɔː k					
244-3			Ø t					
255-3			n ɔː Ø					
260-3			b uː					
263-3			r au					
269-3			Ø Ø k					
271-3			tʰ ɔː k					
209-3			kʰ Ø Ø					
277-3			m Ø m					
278-3			p u ŋ					
135-3			d u					
284-3			m Ø					
797-3			Ø					
290-3			l Ø ŋ					
289-3			kʰ i k					
296-3			n i					
310-3			s					
319-3			Ø					
325-3			r Ø					
327-3			tʰ Ø					
331-3			k au					
337-3			b ɛ n					
338-3			l i ŋ					
339-3			ɔː Ø					
350-3			kʰ Ø					
349-3			tʰ u ŋ					
357-3			tɕʰ u					
355-3			ɔː					
363-3			m u n					
361-3			tʰ					
365-3			Ø ɔː Ø					
364-3			Ø t					
375-3			r u k					
379-3			s ɛ t					
380-3			kʰ Ø					
396-3			Ø					
400-3			m ɔː					
405-3			d ɔː ŋ					
404-3			Ø u m					
409-3			r ɛ k					
410-3			Ø Ø k					
415-3			b Ø					
416-3			b Ø					
101-3			n u Ø					
37-3			kʰ ɔː					
424-3			Ø Ø					
434-3			tɕʰ ɛ Ø					
445-3			Ø Ø					
446-3			s Ø					
451-3			t u					
457-3			n ɔː m					
456-3			b l ɔː					
464-3			pʰ Ø i ŋ					
473-3			tɕʰ Ø					
474-3			ə ŋ					
479-3			Ø i Ø					
489-3			Ø ɔ					
490-3			Ø ɔː ŋ					
494-3			s u					
503-3			Ø u					
502-3			z ɔː ŋ					
235-3			l u ŋ					
519-3			l Ø					
523-3			u k					
527-3			kʰ ɛ ŋ					
538-3			s					
544-3			Ø ɔː m					
850-3			ɔː					
554-3			dʑ u					
553-3			Ø Ø ŋ					
558-3			kʰ ɔː Ø					
561-3			Ø ɔː					
562-3			p ɔː					
564-3			Ø Ø					
567-3			m ɔː					
570-3			pʰ Ø					
575-3								
582-3			l ɔː					
585-3			t					
589-3			k ɔ m					
593-3			d ɛ n					
594-3			l u ŋ					
595-3			tʰ Ø ŋ					
596-3			n ə k					
598-3			z u t					
599-3			d Ø m					
602-3			z Ø					
603-3			l ɔː p					
606-3			Ø ɔ m					
605-3			b ɔ					
620-3			l Ø					
637-3			pʰ ɔː k					
639-3			dʑ au					
645-3			k Ø					
646-3			r ɛ ŋ					
168-3			h ɛ k					
658-3			n ɔː n					
665-3			pʰ ɔː					
668-3			h ɔː					
677-3			t ɔː ŋ					
75-3			k u ŋ					
678-3			s ɔː					
682-3			m ɔː n					
493-3			z Ø					
693-3			s u					
694-3			m ɔː					
702-3			kʰ ɔ m					
704-3			m ɔː					
176-3			l ɔː					
709-3			Ø Ø m					
710-3			t ɔ Ø					
714-3			m ɛ Ø					
718-3			kʰ Ø					
719-3			tɕʰ ɔː Ø					
22-3			m Ø					
723-3			s Ø ŋ					
726-3			Ø ɛ ŋ					
729-3			b Ø					
730-3			Ø Ø					
739-3			pʰ l Ø					
740-3			b u					
741-3			kʰ ɔ k					
744-3			u					
743-3			n ɔː n					
746-3			pʰ u ŋ					
748-3			tʰ ə Ø					
747-3			kʰ Ø					
749-3			kʰ ɛ n					
751-3			t ɔː Ø					
762-3			m ɛ n					
764-3			n ɔː n					
765-3			dʑ i					
788-3			l Ø Ø					
615-3			l ɔː k					
803-3			s u					
802-3			Ø ɔː k					
808-3			b ɔː					
809-3			kʰ i					
819-3			d u k					
821-3			s u					
820-3			b ɔ					
828-3			s ɔː k					
827-3			p Ø					
835-3			n Ø					
308-3			Ø Ø					
844-3			z i Ø					
848-3			m u					
705-3			l ɔː					
613-3			u					
649-3			h ɛ k					
876-3			kʰ ɔː					
878-3			Ø u m					
889-3			h ɔː Ø					
898-3			n u k					
902-3			n u ŋ					
910-3			ɔː n					
916-3			l Ø					
919-3			r Ø					
922-3			s i Ø					
930-3			tɕʰ au					
933-3			k Ø					
939-3			Ø r ɛ k					
947-3			Ø ɛ n					
948-3			n u Ø					
963-3			z ɔː					
967-3			tɕʰ u k					
969-3			s Ø					
970-3			k u k					
972-3			n u					
731-3			m Ø					
973-3			Ø i ŋ					
974-3			n ɔː Ø					
979-3			kʰ ɔː n					
182-3			kʰ Ø					
993-3			n u m					
994-3			Ø Ø					
1001-3			Ø ɔː					
1002-3			d u					
1005-3			tɕʰ iː Ø					
1009-3			kʰ					
1022-3			s Ø					
1021-3			Ø u k					
1043-3			Ø u ŋ					
1049-3			t Ø Ø					
1065-3			kʰ Ø ŋ					
1068-3			Ø au					
1077-3			l u ŋ					
1081-3			r ɔː ŋ					
1084-3			h i ŋ					
1092-3			m u					
1091-3			tɕʰ Ø					
1096-3			n u					
1097-3			Ø Ø					
1102-3			Ø Ø					
1104-3			tʰ Ø Ø					
1108-3			tɕʰ ɔː k					
552-3			dʑ ɔː					
1111-3			b l Ø					
1116-3			Ø ɔː Ø					
722-3			kʰ					
1141-3			Ø ɔː ŋ					
1147-3			p u					
1146-3			z Ø					
1150-3			h Ø ɔː ŋ					
1151-3			u m					
1158-3			h ɔː k					
1159-3			pʰ ɔː					
1164-3			tʰ u					
1163-3			l ɔː					
1167-3			Ø ɔː ŋ					
1171-3			l Ø					
1177-3			z Ø Ø					
1187-3			kʰ Ø					
1189-3			Ø i k					
52-3			kʰ ɔː					
1195-3			z Ø					
1203-3			tʰ u k					
1211-3			Ø ɔ					
329-3			r					
1217-3			m u ŋ					
72-3			kʰ ɔː					
1218-3			tɕʰ i k					
1222-3			tɕʰ iː					
1229-3			dʑ ɔː m					
1238-3			d ɔː ŋ					
1249-3			m Ø					
1252-3			Ø ɔː					
1254-3			n u Ø					
1253-3			Ø ɔ Ø					
1257-3			k					
1263-3			dʑ u					
1266-3			dʑ ɔː k					
584-3			t u m					
7-3			Ø Ø					
1191-3			l ɔː ŋ					
13-3			tɕʰ ɔː					
18-3			dʑ i					
33-3			n u m					
74-3			t Ø					
83-3			m i k					
89-3			tʰ ɔ ŋ					
90-3			z					
104-3			m u					
123-3			tɕʰ ə Ø					
122-3			k Ø Ø					
121-3			m					
154-3			tɕʰ ɔ					
159-3			Ø					
161-3			tɕʰ Ø					
170-3			Ø Ø t					
91-3			ɔː					
181-3			n ɔː					
191-3			s u					
211-3			b ɔː					
210-3			kʰ Ø					
217-3			k ɔː					
233-3			d u					
246-3			t Ø					
252-3			Ø Ø n					
253-3			r ɔː Ø					
261-3			b Ø					
262-3			u					
292-3			tʰ u Ø					
297-3			kʰ ɔ k					
311-3			k Ø					
332-3			b ɔː					
342-3			Ø					
358-3			Ø u ŋ					
378-3			tɕʰ ɔː t					
382-3			m Ø					
397-3			p					
437-3			h Ø					
444-3			pʰ l ɔː k					
465-3			tɕʰ i					
471-3			m ɔ ŋ					
477-3			d Ø					
478-3			r au					
483-3			z ɔː Ø					
500-3			m i ŋ					
511-3			kʰ Ø					
525-3			tɕʰ Ø					
625-3			r u ŋ					
638-3			n u m					
640-3			Ø Ø					
659-3			d ɔː					
711-3			Ø au					
745-3			n u					
818-3			tʰ Ø k					
825-3			Ø u					
841-3			Ø uː					
894-3			b Ø Ø					
932-3			s					
936-3			l Ø					
943-3			pʰ ɔː k					
981-3			d u					
1039-3			Ø ɔː ŋ					
1044-3			Ø					
1076-3			k ɔː					
1131-3			pʰ ɔː					
1166-3			d ɛ p					
1175-3			n Ø Ø					
944-3			t u ŋ					
1199-3			dʑ Ø ŋ					
1228-3			r ɔː k					
1256-3			Ø u ŋ					
1282-3			tʰ u					
1283-3			Ø					
30-3			m ɔ Ø					
32-3			p u					
48-3			dʑ i					
59-3			m ɔː Ø					
68-3			Ø					
69-3			h ɔː ŋ					
82-3			pʰ ɛ t					
88-3			z i k					
100-3			z ɔː Ø					
