COGID	Duhumbi	Jerigaon	Khispi	Khoina	Khoitam	Rahung	Rupa	Shergaon
108-2		d ə						
107-2		pʰ l a						
112-2		pʰ a p						
115-2		s ɹ						
114-2		t u ŋ						
120-2		d u						
124-2		a						
125-2		tʰ o t						
132-2		s ə						
131-2		r i m						
136-2		b ə						
134-2		kʰ a t						
137-2		a						
138-2		d o t						
140-2		h uː						
143-2		tɕʰ a t						
145-2		tɕʰ ɔ̃ː						
147-2		h aː						
149-2		m i t						
153-2		s ɹ						
152-2		k a n						
158-2		k i t						
163-2		l i						
164-2		ɲ iː						
167-2		pʰ a m						
171-2		ɲ u m						
172-2		b u t						
173-2		t o						
183-2		r aː						
185-2		m uː						
188-2		k ə						
189-2		tɕ i n						
193-2		h a						
196-2		m ɔ̃ː ŋ						
199-2		tɕʰ aː						
200-2		kʰ a n						
201-2		kʰ i						
202-2		kʰ						
203-2		tʰ u m						
204-2		b iː						
206-2		ɲ a m						
117-2		b iː						
146-2		kʰ u p						
219-2		ɹ pʰ						
218-2		tɕʰ aː						
224-2		m a m						
240-2		tɕʰ a t						
244-2		j a ɹ						
255-2		n ɔ̃						
260-2		b a						
263-2		r a						
269-2		k ŋ ɛ t						
271-2		tʰ a t						
209-2		kʰ u p						
277-2		m u						
278-2		b u m						
135-2		d ə						
284-2		m iː						
797-2		a						
290-2		l i ŋ						
289-2		k i						
296-2		n i						
310-2		s						
319-2		iː						
325-2		r a						
327-2		tʰ aː						
331-2		t Ø						
337-2		b ɹ a n						
338-2		l i m						
339-2		ɔ̃ː ŋ						
350-2		kʰ ə						
349-2		tʰ u m						
357-2		tɕʰ u						
355-2		a						
363-2		b a n						
361-2		tʰ Ø						
365-2		s a ɹ						
364-2		dʑ a p						
375-2		r u t						
379-2		s a t						
380-2		kʰ u						
396-2		j Ø						
400-2		m uː						
405-2		d a m						
404-2		s u m						
409-2		r ɹ ɛ t						
410-2		ɹ i t						
415-2		b a						
416-2		b a						
101-2		ɲ u						
37-2		kʰ uː						
424-2		pʰ aː						
434-2		tɕʰ a n						
445-2		b						
446-2		s i						
451-2		t u						
457-2		n a m						
456-2		b l uː						
464-2		pʰ ɹ i m						
473-2		tɕʰ iː						
474-2		o m						
479-2		s a n						
489-2		j o						
490-2		h ɔ̃ː						
494-2		s ə						
503-2		k ə						
502-2		z a m						
235-2		l u m						
519-2		l iː						
523-2		u t						
527-2		kʰ ɹ ɛ m						
538-2		s						
544-2		j a m						
850-2		a						
554-2		dʑ ə						
553-2		r i n						
558-2		kʰ ɔ̃ː						
561-2		s a						
562-2		p a						
564-2		j aː						
567-2		m a						
570-2		pʰ iː						
575-2		ɔ̃ː						
582-2		l a						
585-2		a ɹ						
589-2		k o m						
593-2		d a n						
594-2		l ə						
595-2		tʰ iː						
596-2		ɲ u						
598-2		z u ɹ						
599-2		d a						
602-2		z aː						
603-2		l a p						
606-2		s u						
605-2		b u						
620-2		l a						
637-2		pʰ a t						
639-2		dʑ u						
645-2		kʰ o						
646-2		r a m						
168-2		h ɹ ɛ t						
658-2		h a n						
665-2		pʰ uː						
668-2		h uː						
677-2		t a m						
75-2		t u m						
678-2		s uː						
682-2		m a n						
493-2		z iː						
693-2		s ə						
694-2		m uː						
702-2		tɕ ɔ m						
704-2		m u						
176-2		l uː						
709-2		s ɹ						
710-2		t ɔ p						
714-2		m ɹ Ø						
718-2		kʰ						
719-2		tɕʰ ɔ̃ː						
22-2		m iː						
723-2		tɕ i ŋ						
726-2		dʑ a m						
729-2		b ɹ						
730-2		r i						
739-2		pʰ l iː						
740-2		b ə						
741-2		kʰ o k						
1-3			Ø uː					
5-3			n ɔː					
4-3			tʰ i k					
6-3			n ɔː m					
15-3			dʑ i					
55-3			l ɔ					
56-3			Ø					
60-3			s aː					
61-3			kʰ u m					
80-3			dʑ ɔ k					
87-3			tɕʰ Ø					
86-3			p l u					
92-3			pʰ l					
102-3			m i					
106-3			pʰ u k					
108-3			d ə					
107-3			pʰ l ɔː					
112-3			pʰ a Ø					
115-3			s					
114-3			Ø u m					
120-3			d ɔː					
124-3			ɔː					
125-3			tʰ ɔ k					
132-3			Ø ə					
131-3			r i m					
136-3			m ə					
134-3			kʰ ɔː k					
137-3			a					
138-3			d ɔ k					
140-3			h uː					
143-3			tɕʰ ɔː k					
145-3			tɕʰ ɔ̃ː					
147-3			h aː					
149-3			Ø i k					
153-3			s					
152-3			k a n					
158-3			k i t					
163-3			l i					
164-3			ɲ iː					
167-3			pʰ ɔː m					
171-3			ɲ u m					
172-3			b u k					
173-3			tʰ iː					
183-3			r aː					
185-3			m ɔː					
188-3			Ø Ø					
189-3			tɕ i ŋ					
193-3			h a					
196-3			m ɔ̃ː ɹ					
199-3			tɕʰ aː					
200-3			kʰ a n					
201-3			tɕʰ i					
202-3			kʰ					
203-3			tʰ u m					
204-3			b iː					
206-3			ɲ ɔː m					
117-3			b iː					
146-3			kʰ eː					
219-3			pʰ					
218-3			tɕʰ aː					
224-3			m o					
240-3			tɕʰ ɔː k					
244-3			j ɔ					
255-3			n ɔ̃					
260-3			b a					
263-3			r au					
269-3			Ø ɹ ɛ k					
271-3			tʰ ɔː k					
209-3			kʰ eː					
277-3			m Ø					
278-3			b u m					
135-3			d ə					
284-3			m iː					
797-3			Ø					
290-3			l i ŋ					
289-3			tɕ i k					
296-3			n i					
310-3			s					
319-3			iː					
325-3			r a					
327-3			tʰ aː					
331-3			k au					
337-3			b a n					
338-3			l i m					
339-3			ɔ̃ː ɹ					
350-3			kʰ Ø					
349-3			tʰ u m					
357-3			tɕʰ ɔː					
355-3			a					
363-3			m u					
361-3			tʰ					
365-3			s ɔː Ø					
364-3			Ø a t					
375-3			r u k					
379-3			s a t					
380-3			kʰ Ø					
396-3			j					
400-3			m uː					
405-3			d ɔː m					
404-3			s u m					
409-3			r ɛ k					
410-3			ɹ i k					
415-3			b i					
416-3			b Ø					
101-3			n ɔː					
37-3			kʰ uː					
424-3			pʰ aː					
434-3			tɕʰ a n					
445-3			p					
446-3			s iː					
451-3			t u					
457-3			n ɔː m					
456-3			b l uː					
464-3			pʰ i m					
473-3			tɕʰ iː					
474-3			ə m					
479-3			s i Ø					
489-3			j o					
490-3			h ɔ̃ː ŋ					
494-3			s ə					
503-3			Ø u					
502-3			s ɔː m					
235-3			l u m					
519-3			l iː					
523-3			u k					
527-3			kʰ ɛ m					
538-3			s					
544-3			j ɔː m					
850-3			ɔː					
554-3			dʑ u					
553-3			r i ŋ					
558-3			kʰ ɔ̃ː ŋ					
561-3			s ɔː					
562-3			p o					
564-3			j aː					
567-3			m ɔː					
570-3			pʰ iː					
575-3								
582-3			l a					
585-3			ɔ					
589-3			k ɔ m					
593-3			d a n					
594-3			l Ø ŋ					
595-3			tʰ iː ŋ					
596-3			n ɔː					
598-3			z u					
599-3			d ɛ̃ː					
602-3			z aː					
603-3			l ɔː p					
606-3			s Ø					
605-3			b ɔ					
620-3			l i					
637-3			pʰ ɔː k					
639-3			dʑ au					
645-3			kʰ ɔ					
646-3			r ɛ m					
168-3			h ɛ k					
658-3			h a n					
665-3			pʰ uː					
668-3			h uː					
677-3			t ɔː m					
75-3			k u m					
678-3			s uː					
682-3			m a n					
493-3			z iː					
693-3			s ə					
694-3			m ɔː					
702-3			tɕ ɔ m					
704-3			m uː					
176-3			l uː					
709-3			s					
710-3			t ɔ					
714-3			m a					
718-3			kʰ					
719-3			tɕʰ ɔ̃ː ŋ					
22-3			m iː					
723-3			tɕ i ŋ					
726-3			dʑ ɛ m					
729-3			b ɹ					
730-3			r aː					
739-3			pʰ l iː					
740-3			b ə					
741-3			kʰ ɔ k					
1-4				k uː				
5-4				n Ø				
4-4				tʰ i k				
6-4				n a ŋ				
15-4				dʑ i				
55-4				l ɔ				
56-4				Ø				
60-4				s aː				
61-4				kʰ u ŋ				
80-4				dʑ ɔ k				
87-4				tɕʰ Ø				
86-4				p l u				
92-4				pʰ l u				
102-4				m a				
106-4				pʰ u k				
108-4				d ə				
107-4				pʰ l Ø				
112-4				pʰ a m				
115-4				s				
114-4				t u ŋ				
120-4				d u				
124-4				a				
125-4				tʰ ɔ k				
132-4				s ə				
131-4				r i ŋ				
136-4				m ə				
134-4				kʰ a k				
137-4				a				
138-4				d ɔ k				
140-4				h uː				
143-4				tɕʰ a k				
145-4				tɕʰ ɔ̃ː				
147-4				h aː				
149-4				m i k				
153-4				s				
152-4				k a n				
158-4				k i t				
163-4				l i				
164-4				ɲ iː				
167-4				pʰ a ŋ				
171-4				ɲ u ŋ				
172-4				b u k				
173-4				t u				
183-4				r aː				
185-4				m uː				
188-4				g a				
189-4				tɕ i ŋ				
193-4				h a				
196-4				m ɔ̃ː				
199-4				tɕʰ aː				
200-4				kʰ a ɲ				
201-4				kʰ i				
202-4				kʰ				
203-4				tʰ u ŋ				
204-4				b iː				
206-4				ɲ a m				
117-4				b iː				
146-4				kʰ eˀ				
219-4				pʰ				
218-4				tɕʰ aː				
224-4				m o				
240-4				tɕʰ a k				
244-4				h ɔ				
255-4				ɲ ɔ̃				
260-4				b a				
263-4				r oː				
269-4				k ɹ a k				
271-4				tʰ a k				
209-4				kʰ eˀ				
277-4				m ə				
278-4				b u ŋ				
135-4				d u				
284-4				m iː				
797-4				Ø				
290-4				l i ŋ				
289-4				k i				
296-4				n i				
310-4				s				
319-4				iː				
325-4				r a				
327-4				tʰ aː				
331-4				k oː				
337-4				b ɹ a ɲ				
338-4				l i ŋ				
339-4				ɔ̃ː				
350-4				kʰ a				
349-4				tʰ u ŋ				
357-4				tɕʰ u				
355-4				a				
363-4				b a				
361-4				tʰ Ø				
365-4				s a Ø				
364-4				k a p				
375-4				r u k				
379-4				s a t				
380-4				kʰ Ø				
396-4				h Ø				
400-4				m uː				
405-4				d a ŋ				
404-4				s u m				
409-4				r ɹ ɛ k				
410-4				l i k				
415-4				b a				
416-4				b Ø				
101-4				ɲ u				
37-4				kʰ uː				
424-4				pʰ aː				
434-4				tɕʰ a m				
445-4				p				
446-4				ɕ iː				
451-4				t u				
457-4				n a m				
456-4				b l uː				
464-4				pʰ i ŋ				
473-4				tɕʰ iː				
474-4				ɔ ŋ				
479-4				s a ɹ				
489-4				h ɔ				
490-4				h ɔ̃ː				
494-4				s u				
503-4				g ə				
502-4				z a ŋ				
235-4				l u ŋ				
519-4				l iː				
523-4				u k				
527-4				kʰ ɹ ɛ ŋ				
538-4				s				
544-4				h a m				
850-4				a				
554-4				dʑ ə				
553-4				r i ŋ				
558-4				kʰ ɔ̃ː ŋ				
561-4				s a				
562-4				p o				
564-4				h aː				
567-4				m o				
570-4				pʰ iː				
575-4				oː				
582-4				l a				
585-4				ɔ				
589-4				k ɔ m				
593-4				d a n				
594-4				l ə				
595-4				tʰ Ø				
596-4				ɲ u				
598-4				z u				
599-4				d ĩː				
602-4				z aː				
603-4				l a p				
606-4				s u				
605-4				b Ø				
620-4				l a				
637-4				pʰ a k				
639-4				dʑ Ø				
645-4				kʰ ɔ				
646-4				r a ŋ				
168-4				h ɹ ɛ k				
658-4				h a ɲ				
665-4				pʰ uː				
668-4				h uː				
677-4				t a ŋ				
75-4				k u ŋ				
678-4				s uː				
682-4				m a n				
493-4				z iː				
693-4				s ə				
694-4				m uː				
702-4				tɕ ɔ m				
704-4				m				
176-4				l uː				
709-4				s				
710-4				t u				
714-4				m ɹ a				
718-4				kʰ				
719-4				tɕʰ ɔ̃ː Ø				
22-4				m iː				
723-4				tɕ i ŋ				
726-4				dʑ a ŋ				
729-4				b ɔ				
730-4				r a				
739-4				pʰ l iː				
740-4				b u				
741-4				kʰ ɔ k				
1-5					k uː			
5-5					n a			
4-5					tʰ i k			
6-5					n a ŋ			
15-5					dʑ i			
55-5					l o			
56-5					a			
60-5					s aː			
61-5					kʰ u ŋ			
80-5					dʑ ɔ t			
87-5					tɕʰ a			
86-5					pʰ l u			
92-5					pʰ l Ø			
102-5					m aː			
106-5					pʰ u t			
108-5					d ə			
107-5					pʰ l o			
112-5					pʰ o ŋ			
115-5					s ə			
114-5					t u ŋ			
120-5					d u			
124-5					a			
125-5					tʰ ɔ t			
132-5					s ə			
131-5					r i ŋ			
136-5					m ə			
134-5					kʰ a t			
137-5					a			
138-5					d ɔ t			
140-5					h p uː			
143-5					tɕʰ a t			
145-5					tɕʰ ɔ̃ː			
147-5					h aː			
149-5					n i k			
153-5					s ə			
152-5					k a n			
158-5					k i t			
163-5					l i			
164-5					ɲ iː			
167-5					pʰ a ŋ			
171-5					ɲ u ŋ			
172-5					b u t			
173-5					t iː			
183-5					r aː			
185-5					m uː			
188-5					k ə			
189-5					Ø i n			
193-5					h a			
196-5					m ɔ̃ː			
199-5					tɕʰ aː			
200-5					kʰ a n			
201-5					kʰ i			
202-5					kʰ a			
203-5					tʰ u ŋ			
204-5					b iː			
206-5					ɲ a m			
117-5					b iː			
146-5					kʰ eː			
219-5					Ø p			
218-5					tɕʰ aː			
224-5					m o ŋ			
240-5					tɕʰ a t			
244-5					j ɔ			
255-5					n Ø			
260-5					b a			
263-5					r oː			
269-5					k ɹ ɛ k			
271-5					tʰ a t			
209-5					kʰ eː			
277-5					m a			
278-5					b u ŋ			
135-5					d y			
284-5					m iː			
797-5					a			
290-5					l y ŋ			
289-5					tɕ i			
296-5					n i			
310-5					s			
319-5					iː			
325-5					r a			
327-5					tʰ aː			
331-5					t oː			
337-5					b ɹ a ɲ			
338-5					l i ŋ			
339-5					ɔ̃ː			
350-5					kʰ u			
349-5					tʰ u ŋ			
357-5					tɕʰ u			
355-5					a			
363-5					b a n			
361-5					tʰ oː			
365-5					s a ɹ			
364-5					k a p			
375-5					r u t			
379-5					s a t			
380-5					kʰ a			
396-5					j oː			
400-5					m uː			
405-5					d a ŋ			
404-5					s ɔ m			
409-5					r ɹ ɛ k			
410-5					l i k			
415-5					b aː			
416-5					b a			
101-5					ɲ u			
37-5					kʰ uː			
424-5					pʰ aː			
434-5					tɕʰ a n			
445-5					p			
446-5					ɕ i			
451-5					t u			
457-5					n a m			
456-5					b l uː			
464-5					pʰ i ŋ			
473-5					tɕʰ iː			
474-5					ɔ ŋ			
479-5					s i n			
489-5					j ɔ			
490-5					h ɔ̃ː ŋ			
494-5					s y			
503-5					g ə			
502-5					z a ŋ			
235-5					l u ŋ			
519-5					l iː			
523-5					u t			
527-5					kʰ ɹ ɛ ŋ			
538-5					s			
544-5					j a m			
850-5					a			
554-5					dʑ ə			
553-5					r i n			
558-5					kʰ Ø			
561-5					s a			
562-5					p o			
564-5					j aː			
567-5					m a			
570-5					pʰ iː			
575-5					oː			
582-5					l a			
585-5					ɔ			
589-5					k ɔ m			
593-5					d a n			
594-5					l u ŋ			
595-5					tʰ iː ŋ			
596-5					ɲ u k			
598-5					z u ɹ			
599-5					d ɛ̃ː			
602-5					z aː			
603-5					l a p			
606-5					s ɔ			
605-5					b o			
620-5					l aː			
637-5					pʰ a t			
639-5					dʑ Ø			
645-5					kʰ ɔ			
646-5					r ɛ ŋ			
168-5					h ɹ ɛ t			
658-5					h a n			
665-5					pʰ uː			
668-5					h uː			
677-5					t a ŋ			
75-5					k u ŋ			
678-5					s uː			
682-5					m a n			
493-5					z iː			
693-5					s ə			
694-5					m uː			
702-5					tɕ ɔ m			
704-5					m uː			
176-5					l uː			
709-5					s ə			
710-5					t ɔ p			
714-5					m ɹ a			
718-5					kʰ ə			
719-5					tɕʰ Ø			
22-5					m iː			
723-5					Ø i ŋ			
726-5					z ɛ ŋ			
729-5					b ə			
730-5					r aː			
739-5					pʰ l iː			
740-5					b y			
741-5					kʰ ɔ k			
1-6						Ø uː		
5-6						n uː		
4-6						tʰ i		
6-6						n a ŋ		
15-6						dʑ i		
55-6						l ɔ		
56-6						a		
60-6						s aː		
61-6						kʰ u ŋ		
80-6						dʑ ɔ t		
87-6						tɕʰ a		
86-6						p l u		
92-6						pʰ l uː		
102-6						m ə		
106-6						pʰ u t		
108-6						d ə		
107-6						pʰ l o		
112-6						pʰ ɔ m		
115-6						s		
114-6						t u ŋ		
120-6						d u		
124-6						a		
125-6						tʰ ɔ t		
132-6						s ə		
131-6						r i ŋ		
136-6						m ə		
134-6						kʰ uː t		
137-6						a		
138-6						d ɔ t		
140-6						h uː		
143-6						tɕʰ uː t		
145-6						tɕʰ ɔ̃ː		
147-6						h aː		
149-6						Ø i k		
153-6						s		
152-6						k a n		
158-6						k i t		
163-6						l i		
164-6						ɲ iː		
167-6						pʰ a ŋ		
171-6						ɲ u ŋ		
172-6						b u t		
173-6						t ɛ̃ː		
183-6						r aː		
185-6						m uː		
188-6						Ø ə		
189-6						Ø i n		
193-6						h a		
196-6						m ɔ̃ː		
199-6						tɕʰ aː		
200-6						kʰ uː n		
201-6						kʰ i		
202-6						kʰ		
203-6						tʰ u ŋ		
204-6						b iː		
206-6						ɲ a m		
117-6						b iː		
146-6						kʰ eˀ		
219-6						pʰ		
218-6						kʰ aː		
224-6						m Ø ŋ		
240-6						tɕʰ uː t		
244-6						j ɔ		
255-6						n ɔ̃		
260-6						b a		
263-6						r au		
269-6						dʑ ɹ ɛ ŋ		
271-6						tʰ uː t		
209-6						kʰ eˀ		
277-6						m a		
278-6						b u ŋ		
135-6						d ə		
284-6						m iː		
797-6						a		
290-6						l y ŋ		
289-6						k i		
296-6						n i		
310-6						s		
319-6						iː		
325-6						r a		
327-6						tʰ aː		
331-6						t au		
337-6						b a ɲ		
338-6						l i ŋ		
339-6						ɔ̃ː		
350-6						kʰ u		
349-6						tʰ u ŋ		
357-6						tɕʰ u		
355-6						a		
363-6						b uː Ø		
361-6						tʰ oː		
365-6						s a ɹ		
364-6						Ø p		
375-6						r u t		
379-6						s a t		
380-6						kʰ a		
396-6						j oː		
400-6						m uː		
405-6						d a ŋ		
404-6						s ɔ m		
409-6						r ɛ k		
410-6						l i k		
415-6						b ə		
416-6						b a		
101-6						ɲ u		
37-6						kʰ uː		
424-6						pʰ aː		
434-6						tɕʰ a n		
445-6						p		
446-6						ɕ i		
451-6						t u		
457-6						n a m		
456-6						b l uː		
464-6						pʰ i ŋ		
473-6						tɕʰ iː		
474-6						ɔ ŋ		
479-6						s i n		
489-6						j ɔ		
490-6						h ɔ̃ː ŋ		
494-6						s ə		
503-6						g ə		
502-6						z a ŋ		
235-6						l u ŋ		
519-6						l iː		
523-6						u t		
527-6						kʰ ɛ ŋ		
538-6						s		
544-6						j a m		
850-6						a		
554-6						dʑ ə		
553-6						r i n		
558-6						kʰ Ø ŋ		
561-6						s a		
562-6						p o		
564-6						j aː		
567-6						m Ø		
570-6						pʰ iː		
575-6						oː		
582-6						l a		
585-6						ɔ		
589-6						k ɔ m		
593-6						d a n		
594-6						l u ŋ		
595-6						tʰ ɛ̃ː ŋ		
596-6						ɲ		
598-6						z u ɹ		
599-6						d ɛ̃ː		
602-6						z aː		
603-6						l a p		
606-6						s Ø Ø		
605-6						b Ø		
620-6						l ə		
637-6						pʰ uː t		
639-6						dʑ au		
645-6						g ɔ		
646-6						r ɛ ŋ		
168-6						h ɛ t		
658-6						h a		
665-6						pʰ uː		
668-6						h uː		
677-6						t a ŋ		
75-6						k u ŋ		
678-6						s uː		
682-6						m uː n		
493-6						z iː		
693-6						s ə		
694-6						m uː		
702-6						tɕ ɔ m		
704-6						m uː		
176-6						l uː		
709-6						s		
710-6						t ɔ p		
714-6						m a		
718-6						kʰ ə		
719-6						tɕʰ Ø		
22-6						m iː		
723-6						Ø i ŋ		
726-6						dʑ ɛ ŋ		
729-6						b		
730-6						r a		
739-6						pʰ l iː		
740-6						b ə		
741-6						kʰ ɔ k		
1-7							j uː	
5-7							n ə	
4-7							tʰ i k	
6-7							n a m	
15-7							dʑ i	
55-7							l ɔ	
56-7							a	
60-7							s aː	
61-7							kʰ u m	
80-7							dʑ ɔ k	
87-7							tɕʰ a	
86-7							pʰ l u	
92-7							pʰ l u	
102-7							m a	
106-7							pʰ u k	
108-7							d ɔ	
107-7							pʰ l ɔː	
112-7							pʰ ɔ b	
115-7							s ə	
114-7							tʰ u ŋ	
120-7							d u	
124-7							a	
125-7							tʰ ɔ k	
132-7							s i	
131-7							r i	
136-7							b u	
134-7							kʰ a k	
137-7							a	
138-7							d ɔ k	
140-7							h p uː	
143-7							tɕʰ a k	
145-7							tɕʰ ɔ̃ː	
147-7							h aː	
149-7							m i k	
153-7							s ə	
152-7							kʰ a n	
158-7							k i t	
163-7							l i	
164-7							ɲ iː	
167-7							pʰ a m	
171-7							ɲ u m	
172-7							b u k	
173-7							t ɛ̃ː p	
183-7							r aː	
185-7							m uː	
188-7							kʰ a n	
189-7							tɕ i ŋ	
193-7							h a	
196-7							m ɔ̃ː l	
199-7							tɕʰ aː	
200-7							kʰ a n	
201-7							kʰ i	
202-7							kʰ ə	
203-7							tʰ u m	
204-7							b iː	
206-7							ɲ a m	
117-7							b iː	
146-7							kʰ eː	
219-7							b p	
218-7							tɕʰ aː	
224-7							m ɔ̃ː	
240-7							tɕʰ a k	
244-7							j ɔ p	
255-7							n ɔ̃	
260-7							b a	
263-7							r au	
269-7							dʑ p a k	
271-7							tʰ a k	
209-7							kʰ eː	
277-7							m a	
278-7							b u m	
135-7							d y	
284-7							m iː	
797-7							a	
290-7							l ai ŋ	
289-7							tɕ i p	
296-7							n i	
310-7							s n	
319-7							iː	
325-7							r a	
327-7							tʰ aː	
331-7							k au	
337-7							b a ɲ	
338-7							l i m	
339-7							ɔ̃ː l	
350-7							kʰ ə	
349-7							tʰ u m	
357-7							tɕʰ u	
355-7							a	
363-7							b ə n	
361-7							tʰ oː	
365-7							s a ɹ	
364-7							dʑ ɛ t	
375-7							r u k	
379-7							s ɛ t	
380-7							kʰ a	
396-7							j oː	
400-7							m uː	
405-7							d a m	
404-7							s ɔ m	
409-7							r ɛ k	
410-7							l i k	
415-7							b a	
416-7							b a	
101-7							ɲ u	
37-7							kʰ uː	
424-7							pʰ aː	
434-7							tɕʰ a n	
445-7							p	
446-7							s iː	
451-7							t u	
457-7							n a m	
456-7							b l uː	
464-7							pʰ i m	
473-7							tɕʰ iː	
474-7							ɔ m	
479-7							s ɛ n	
489-7							j ɔ	
490-7							h ɔ̃ː	
494-7							s y	
503-7							kʰ ə	
502-7							z a m	
235-7							l u m	
519-7							l iː	
523-7							u k	
527-7							kʰ ɛ m	
538-7							s	
544-7							j a m	
850-7							a	
554-7							dʑ ə	
553-7							r i ŋ	
558-7							kʰ ɔ̃ː	
561-7							s a	
562-7							p o	
564-7							j aː	
567-7							m ɔ	
570-7							pʰ iː	
575-7							oː	
582-7							l a	
585-7							ɔ p	
589-7							kʰ ɔ m	
593-7							d a n	
594-7							l u n	
595-7							tʰ ɛ̃ː	
596-7							ɲ u p	
598-7							z u p	
599-7							d ɛ̃ː	
602-7							z aː	
603-7							l a p	
606-7							s u ŋ	
605-7							b u	
620-7							l a	
637-7							pʰ a k	
639-7							dʑ au	
645-7							kʰ ɔ	
646-7							r ɛ m	
168-7							h ɛ k	
658-7							h a n	
665-7							pʰ uː	
668-7							h uː	
677-7							t a m	
75-7							k u m	
678-7							s uː	
682-7							m a n	
493-7							z iː	
693-7							s ə	
694-7							m uː	
702-7							tɕ ɔ m	
704-7							m uː	
176-7							l uː	
709-7							s ə	
710-7							t ɔ p	
714-7							m ɛ	
718-7							kʰ ə	
719-7							tɕʰ ɔ̃ː	
22-7							m iː	
723-7							tɕ i ŋ	
726-7							dʑ ɛ m	
729-7							b ə	
730-7							r aː	
