COGID	Duhumbi	Jerigaon	Khispi	Khoina	Khoitam	Rahung	Rupa	Shergaon
702-1	Ø ɔ m							
704-1	m u							
176-1	l a							
709-1	s l l							
710-1	t ɔ p							
714-1	m a ŋ							
718-1	kʰ l							
719-1	Ø a ŋ							
22-1	m Ø							
723-1	tɕ i ŋ							
726-1	dʑ ɛ ŋ							
729-1	b							
730-1	r Ø							
739-1	pʰ l Ø							
740-1	b a							
741-1	kʰ ɔ k							
744-1	u							
743-1	Ø a n							
746-1	pʰ u ŋ							
748-1	tʰ ŋ l							
747-1	kʰ Ø							
749-1	kʰ a n							
751-1	t a l							
762-1	m a n							
764-1	Ø a n							
765-1	dʑ i							
788-1	l a l							
615-1	l a k							
803-1	s u							
802-1	Ø a k							
808-1	b a							
809-1	Ø i							
819-1	d u k							
821-1	s Ø							
820-1	b ɔ							
828-1	s a k							
827-1	p Ø							
835-1	n Ø							
308-1	r Ø							
844-1	z i							
848-1	m u							
705-1	l a							
613-1	Ø							
649-1	Ø ɛ k							
876-1	Ø Ø							
878-1	j u ŋ							
889-1	Ø a l							
898-1	n u k							
902-1	Ø u ŋ							
910-1	a n							
916-1	l Ø							
919-1	r a							
922-1	s i k							
930-1	Ø							
933-1	k u							
939-1	r ɛ k							
947-1	Ø a n							
948-1	n u l							
963-1	z a							
967-1	Ø u k							
969-1	s l							
970-1	k u k							
972-1	n a							
731-1	m Ø							
973-1	dʑ i ŋ							
974-1	n Ø l							
979-1	Ø a n							
182-1	kʰ Ø							
993-1	n a l							
994-1	j Ø							
1001-1	s a							
1002-1	d u l							
1005-1	Ø Ø l							
1009-1	kʰ							
1022-1	s l							
1021-1	Ø u k							
1043-1	Ø u ŋ							
1049-1	t a l							
1065-1	Ø Ø l							
1068-1	j a							
1077-1	l u ŋ							
1081-1	r a ŋ							
1084-1	Ø i ŋ							
1092-1	m a							
1091-1	Ø Ø							
1096-1	n Ø							
1097-1	Ø Ø							
1102-1	n a							
1104-1	tʰ ɔi l							
1108-1	Ø a k							
552-1	dʑ a							
1111-1	b l au							
1116-1	s a l							
722-1	kʰ							
1141-1	j u ŋ							
1147-1	b Ø							
1146-1	z ɔ̃ː							
1150-1	Ø l a ŋ							
1151-1	u ŋ							
1158-1	h a k							
1159-1	pʰ ɔ̃ː							
1164-1	tʰ ŋ							
1163-1	l a							
1167-1	s a ŋ							
1171-1	l a							
1177-1	z Ø							
1187-1	kʰ a							
1189-1	n i k							
52-1	kʰ a							
1195-1	z Ø							
1203-1	tʰ u k							
1211-1	j ɔ							
329-1	r a							
1217-1	m Ø l							
72-1	kʰ a							
1218-1	Ø i k							
1222-1	Ø Ø							
1229-1	dʑ a ŋ							
1238-1	d a ŋ							
1249-1	n Ø							
1252-1	j a							
1254-1	n a l							
1253-1	s ɔ Ø							
1257-1	k l							
1263-1	dʑ a							
1266-1	dʑ a k							
584-1	t u ŋ							
7-1	Ø a							
1191-1	l l a ŋ							
13-1	Ø a							
18-1	dʑ i							
33-1	n u							
74-1	t ɛ							
81-1	s a n							
83-1	m i k							
89-1	tʰ ɔ ŋ							
90-1	z t							
123-1	Ø Ø l							
122-1	kʰ u l							
121-1	m ŋ							
154-1	Ø Ø							
159-1	s							
161-1	tɕʰ Ø							
170-1	dʑ ɛ t							
91-1	a							
181-1	n a							
186-1	dʑ Ø							
191-1	s Ø							
217-1	k a							
221-1	n Ø							
252-1	Ø a n							
253-1	r a n							
261-1	b Ø							
262-1	l Ø							
281-1	tɕ ɛ k							
287-1	l u l							
288-1	l a							
292-1	Ø i l							
297-1	kʰ ɔ̃ː k							
311-1	k Ø							
332-1	b a							
358-1	j u ŋ							
366-1	k ə							
378-1	Ø Ø l							
382-1	m Ø							
392-1	dʑ ɔ k							
397-1	b							
471-1	m ɔ ŋ							
477-1	d ŋ							
478-1	r ɔ̃ː							
481-1	dʑ a p							
483-1	z a n							
511-1	kʰ l							
525-1	Ø Ø							
542-1	dʑ ɔ ŋ							
638-1	n u ŋ							
656-1	z ə							
657-1	d u ŋ							
659-1	d a							
711-1	Ø au							
745-1	n Ø t							
818-1	tʰ Ø k							
825-1	tʰ Ø							
839-1	Ø ɔ							
841-1	j u							
894-1	b Ø Ø							
932-1	s l							
1-2		k uː						
5-2		n Ø						
4-2		tʰ Ø k						
6-2		n a ŋ						
15-2		dʑ i						
55-2		l ɔ						
56-2		a						
60-2		s i						
61-2		kʰ u ŋ						
80-2		kʰ ɔ k						
87-2		tɕʰ a						
86-2		pʰ p u						
92-2		pʰ p Ø						
102-2		m a						
106-2		pʰ u k						
108-2		d a						
107-2		pʰ l Ø						
112-2		pʰ a p						
115-2		s ɹ						
114-2		t u ŋ						
120-2		d u						
124-2		a						
125-2		tʰ ɔ k						
132-2		s ə						
131-2		r i ŋ						
136-2		pʰ ə						
134-2		kʰ a k						
137-2		a						
138-2		d ɔ k						
140-2		h p uː						
143-2		tɕʰ a k						
145-2		tɕʰ ɔ̃ː ɹ						
147-2		h aː						
149-2		m i k						
153-2		s ɹ						
152-2		kʰ a n						
158-2		k i k						
163-2		l i						
164-2		ɲ iː						
167-2		pʰ a ŋ						
171-2		ɲ u ŋ						
172-2		b u k						
173-2		t ɔ ɹ						
183-2		r aː						
185-2		m uː						
188-2		k Ø n						
189-2		tɕ i n						
193-2		h a						
196-2		m Ø						
199-2		tɕʰ aː						
200-2		kʰ a n						
201-2		kʰ i						
202-2		kʰ						
203-2		tʰ u ŋ						
204-2		b iː						
206-2		ɲ a m						
117-2		b iː						
146-2		kʰ i p						
219-2		ɹ pʰ p						
218-2		kʰ aː						
224-2		m a ŋ						
240-2		tɕʰ a k						
244-2		j a ɹ						
255-2		n Ø p						
260-2		b a						
263-2		r a						
269-2		k a k						
271-2		tʰ a k						
209-2		kʰ i p						
277-2		m u ɹ						
278-2		b u ŋ						
135-2		d ə						
284-2		m iː						
797-2		a						
290-2		l i ŋ						
289-2		k i p						
296-2		n i						
310-2		s						
319-2		i						
325-2		r a						
327-2		tʰ aː						
331-2		k Ø						
337-2		b ɹ a n						
338-2		l i ŋ						
339-2		Ø						
350-2		kʰ ə						
349-2		tʰ u ŋ						
357-2		tɕʰ u						
355-2		a						
363-2		b a n						
361-2		tʰ Ø						
365-2		s a ɹ						
364-2		k a p						
375-2		r u k						
379-2		s a t						
380-2		kʰ u						
396-2		h Ø						
400-2		m uː						
405-2		d a ŋ						
404-2		s u m						
409-2		r ɹ a k						
410-2		ɹ i k						
415-2		b a						
416-2		b a						
101-2		ɲ u						
37-2		kʰ uː						
424-2		pʰ aː						
434-2		tɕʰ a n						
445-2		p p						
446-2		s i						
451-2		t u						
457-2		n a m						
456-2		b p uː						
464-2		pʰ ɹ i ŋ						
473-2		tɕʰ i						
474-2		ɔ ŋ						
479-2		s a ɹ						
489-2		h ɔ						
490-2		h Ø						
494-2		s ə						
503-2		k ə						
502-2		z a ŋ						
235-2		l u ŋ						
519-2		l i						
523-2		u k						
527-2		kʰ ɹ a ŋ						
538-2		s						
544-2		j a m						
850-2		a						
554-2		dʑ Ø						
553-2		r i n						
558-2		kʰ ɔ̃ː						
561-2		s a						
562-2		p a						
564-2		h aː						
567-2		m a						
570-2		pʰ iː						
575-2		ɔ̃ː						
582-2		l a						
585-2		a ɹ						
589-2		kʰ ɔ m						
593-2		d a n						
594-2		l u						
595-2		tʰ iː						
596-2		ɲ u						
598-2		z u ɹ						
599-2		d Ø ɹ						
602-2		z aː						
603-2		l a p						
606-2		s						
605-2		b u						
620-2		l a						
637-2		pʰ a k						
639-2		dʑ Ø						
645-2		kʰ ɔ						
646-2		r a ŋ						
168-2		h ɹ a k						
658-2		h a n						
665-2		pʰ uː						
668-2		h uː						
677-2		t a ŋ						
75-2		k u ŋ						
678-2		s uː						
682-2		m a n						
493-2		z iː						
693-2		s Ø						
694-2		m uː						
702-2		tɕ ɔ m						
704-2		m uː						
176-2		l uː						
709-2		s ɹ ɹ						
710-2		t ɔ p						
714-2		m ɹ a p						
718-2		kʰ						
719-2		tɕʰ ɔ̃ː						
22-2		m iː						
723-2		tɕ i ŋ						
726-2		dʑ a ŋ						
729-2		b p						
730-2		r i						
739-2		pʰ l i						
740-2		b ə						
741-2		kʰ ɔ k						
744-2		Ø						
743-2		p a n						
746-2		pʰ u ŋ						
748-2		t ə						
747-2		kʰ iː						
749-2		kʰ a n						
751-2		t Ø ɹ						
762-2		m a n						
764-2		h a n						
765-2		dʑ i						
788-2		l ə						
615-2		l a k						
803-2		s u						
802-2		Ø a k						
808-2		b a						
809-2		tɕ i						
819-2		d u k						
821-2		s ə						
820-2		b Ø						
828-2		s a k						
827-2		p iː						
835-2		n ɔ						
308-2		r iː						
844-2		z i p						
848-2		m u						
705-2		l uː						
613-2		ə						
649-2		h ɹ a k						
876-2		tɕ Ø						
878-2		h u ŋ						
889-2		h ɔ̃ː ɹ						
898-2		n u k						
902-2		h u ŋ						
910-2		a n						
916-2		l i						
919-2		r aː						
922-2		s i k						
930-2		tɕʰ Ø						
933-2		k i						
939-2		ɹ r a k						
947-2		Ø a n						
948-2		n u						
963-2		z uː						
967-2		tɕʰ u k						
969-2		s ɹ						
970-2		k u k						
972-2		n ə						
731-2		m iː						
973-2		dʑ i ŋ						
974-2		n Ø p						
979-2		Ø a n						
182-2		kʰ iː						
993-2		n ə ɹ						
994-2		h iː						
1001-2		s a						
1002-2		d u ɹ						
1005-2		tɕʰ iː ɹ						
1009-2		kʰ Ø						
1022-2		s						
1021-2		ŋ u k						
1043-2		j u ŋ						
1049-2		t aː p						
1065-2		kʰ Ø						
1068-2		j Ø						
1077-2		l u ŋ						
1081-2		r ɔ̃ː						
1084-2		h i ŋ						
1092-2		m ə						
1091-2		dʑ i						
1096-2		n ə						
1097-2		k iː						
1102-2		ɲ aː						
1104-2		tʰ a ɹ						
1108-2		tɕʰ a k						
552-2		dʑ uː						
1111-2		b p Ø						
1116-2		s Ø ɹ						
722-2		kʰ Ø						
1141-2		h u						
1147-2		b ə						
1146-2		z ɔ						
1150-2		h ɹ a ŋ						
1151-2		ɔ ŋ						
1158-2		kʰ a k						
1159-2		pʰ ɔ̃ː						
1164-2		tʰ Ø						
1163-2		l uː						
1167-2		s a ŋ						
1171-2		l aː						
1177-2		z iː p						
1187-2		kʰ aː						
1189-2		ɲ i k						
52-2		kʰ uː						
1195-2		z i						
1203-2		tʰ u k						
1211-2		h ɔ						
329-2		r a						
1217-2		m ə						
72-2		kʰ uː						
1218-2		tɕʰ i k						
1222-2		tɕʰ ɔ						
1229-2		dʑ a ŋ						
1238-2		d ɔ̃ː ŋ						
1249-2		Ø i						
1252-2		h uː						
1254-2		n ə ɹ						
1253-2		s ɔ m						
1257-2		k a						
1263-2		dʑ ə						
1266-2		dʑ a k						
584-2		t u ŋ						
7-2		h aː						
1191-2		l ɹ a ŋ						
18-2		dʑ i						
33-2		n ə Ø						
74-2		t a						
81-2		s a n						
83-2		m i k						
104-2		m u						
123-2		tɕʰ i						
122-2		kʰ ɔ p						
121-2		m Ø						
154-2		tɕʰ Ø						
161-2		kʰ i						
170-2		g a t						
91-2		a						
181-2		n uː						
186-2		dʑ ə						
191-2		z ə						
211-2		b a ɹ						
210-2		kʰ Ø ɹ						
217-2		k ɔ						
221-2		n iː						
233-2		Ø u						
246-2		t u						
252-2		tɕ a n						
253-2		l Ø Ø						
261-2		b Ø						
262-2		ɹ i						
281-2		Ø a k						
287-2		l Ø						
288-2		l uː						
292-2		d Ø						
297-2		kʰ ɔ k						
332-2		b Ø						
342-2		ɔ ɹ						
358-2		h ŋ						
366-2		k ə						
378-2		tɕʰ Ø ɹ						
382-2		m i						
392-2		dʑ ɔ k						
397-2		b Ø						
437-2		h Ø						
444-2		pʰ p a k						
465-2		tɕʰ i						
471-2		m a ŋ						
477-2		d ə						
478-2		r Ø						
481-2		dʑ a p						
483-2		z a n						
500-2		m i ŋ						
511-2		kʰ p						
525-2		tɕʰ i						
542-2		dʑ ɔ ŋ						
625-2		r u ŋ						
638-2		n u						
640-2		ɹ tɕʰ Ø ɹ						
656-2		z ə						
657-2		d u ŋ						
818-2		t a						
825-2		t ə						
839-2		tɕʰ ɔ						
841-2		h Ø						
932-2		s ɹ						
1-3			Ø ɔː					
5-3			n a					
4-3			tʰ i k					
6-3			n a ŋ					
15-3			Ø i					
55-3			l ɔ					
56-3			Ø					
60-3			s Ø					
61-3			kʰ u ŋ					
80-3			dʑ ɔ k					
87-3			tɕʰ Ø					
86-3			p l u					
92-3			pʰ l ɔː					
102-3			m Ø					
106-3			pʰ u k					
108-3			d ə					
107-3			pʰ l a					
112-3			pʰ a Ø					
115-3			s ɹ					
114-3			Ø u m					
120-3			d u					
124-3			a					
125-3			tʰ ɔ k					
132-3			Ø i					
131-3			r i ŋ					
136-3			m u					
134-3			kʰ a k					
137-3			a					
138-3			d ɔ k					
140-3			h ŋ ɔː					
143-3			tɕʰ a k					
145-3			tɕʰ ɔː ɹ					
147-3			h Ø					
149-3			Ø i k					
153-3			s ɹ					
152-3			k a n					
158-3			k Ø k					
163-3			l i					
164-3			Ø Ø					
167-3			pʰ a ŋ					
171-3			Ø u ŋ					
172-3			b u k					
173-3			tʰ Ø ɹ					
183-3			r Ø					
185-3			m ɔː					
188-3			Ø Ø ɹ					
189-3			kʰ i ŋ					
193-3			l a					
196-3			m ɔː ɹ					
199-3			tɕʰ Ø					
200-3			kʰ a n					
201-3			kʰ i					
202-3			kʰ ŋ ɹ					
203-3			tʰ u ŋ					
204-3			b Ø					
206-3			Ø a m					
117-3			b Ø					
146-3			kʰ eː ɹ					
219-3			pʰ ŋ					
218-3			tɕʰ Ø					
224-3			m ɔː ŋ					
240-3			tɕʰ a k					
244-3			j ɹ					
255-3			n a Ø					
260-3			b a					
263-3			r au					
269-3			Ø ɹ ɛ k					
271-3			tʰ a k					
209-3			kʰ eː ɹ					
277-3			m a ɹ					
278-3			b u ŋ					
135-3			d ɔː					
284-3			m Ø					
797-3			Ø					
290-3			l i ŋ					
289-3			tɕ i k					
296-3			n i					
310-3			s					
319-3			Ø					
325-3			r a					
327-3			tʰ Ø					
331-3			k au					
337-3			b ɹ a n					
338-3			l i ŋ					
339-3			ɔː ɹ					
350-3			kʰ Ø					
349-3			tʰ u ŋ					
357-3			tɕʰ u					
355-3			a					
363-3			m uː n					
361-3			tʰ					
365-3			s a Ø					
364-3			Ø a t					
375-3			r u k					
379-3			s a t					
380-3			kʰ Ø					
396-3			j					
400-3			m ɔː					
405-3			d a ŋ					
404-3			s u m					
409-3			r ɹ ɛ k					
410-3			ɹ i k					
415-3			b Ø					
416-3			b Ø					
101-3			n u Ø					
37-3			kʰ ɔː					
424-3			pʰ Ø					
434-3			tɕʰ a Ø					
445-3			Ø ɹ					
446-3			s Ø					
451-3			t u					
457-3			n a m					
456-3			b l ɔː					
464-3			pʰ ɹ i ŋ					
473-3			tɕʰ Ø					
474-3			ə ŋ					
479-3			s i Ø					
489-3			j ɔ					
490-3			Ø ɔː ŋ					
494-3			s ɔː					
503-3			Ø u					
502-3			s a ŋ					
235-3			l u ŋ					
519-3			l Ø					
523-3			u k					
527-3			kʰ ɹ ɛ ŋ					
538-3			s					
544-3			j a m					
850-3			a					
554-3			dʑ u					
553-3			r i ŋ					
558-3			kʰ ɔː Ø					
561-3			s a					
562-3			p ɔː					
564-3			j Ø					
567-3			m ɔː					
570-3			pʰ Ø					
575-3								
582-3			l a					
585-3			ɹ					
589-3			kʰ ɔ m					
593-3			d a n					
594-3			l u ŋ					
595-3			tʰ Ø ŋ					
596-3			n u k					
598-3			z u ɹ					
599-3			d ɛ ɹ					
602-3			z Ø					
603-3			l a p					
606-3			s Ø m					
605-3			b Ø					
620-3			l Ø					
637-3			pʰ a k					
639-3			dʑ au					
645-3			kʰ Ø					
646-3			r ɛ ŋ					
168-3			h ɹ ɛ k					
658-3			l a n					
665-3			pʰ ɔː					
668-3			h ɔː					
677-3			t a ŋ					
75-3			k u ŋ					
678-3			s ɔː					
682-3			m a n					
493-3			z Ø					
693-3			s u					
694-3			m ɔː					
702-3			kʰ ɔ m					
704-3			m ɔː					
176-3			l ɔː					
709-3			s ɹ ɹ					
710-3			t ɔ Ø					
714-3			m ɹ a ɹ					
718-3			kʰ ɹ					
719-3			tɕʰ ɔː Ø					
22-3			m Ø					
723-3			tɕ i ŋ					
726-3			Ø ɛ ŋ					
729-3			b ɹ					
730-3			r Ø					
739-3			pʰ l Ø					
740-3			b ɔː					
741-3			kʰ ɔ k					
744-3			u					
743-3			h a n					
746-3			pʰ u ŋ					
748-3			Ø i Ø					
747-3			kʰ Ø					
749-3			kʰ a n					
751-3			t ɔː ɹ					
762-3			m a n					
764-3			l a n					
765-3			dʑ i					
788-3			l Ø Ø					
615-3			l a k					
803-3			s u					
802-3			Ø a k					
808-3			b a					
809-3			kʰ i					
819-3			d u k					
821-3			s ɔː					
820-3			b ɔ					
828-3			s a k					
827-3			p Ø					
835-3			n Ø					
308-3			r Ø					
844-3			z i ɹ					
848-3			m u					
705-3			l ɔː					
613-3			u					
649-3			h ɹ ɛ k					
876-3			kʰ ɔː					
878-3			j u m					
889-3			h ɔː ɹ					
898-3			n u k					
902-3			l u ŋ					
910-3			a n					
916-3			l Ø					
919-3			r Ø					
922-3			s i k					
930-3			tɕʰ au					
933-3			k Ø					
939-3			ɹ r ɛ k					
947-3			Ø a n					
948-3			n u Ø					
963-3			z ɔː					
967-3			tɕʰ u k					
969-3			s ɹ					
970-3			k u k					
972-3			n ɔː					
731-3			m Ø					
973-3			Ø i ŋ					
974-3			n a Ø					
979-3			kʰ a n					
182-3			kʰ Ø					
993-3			n ɔː ɹ					
994-3			j Ø					
1001-3			s ɔː					
1002-3			d u					
1005-3			tɕʰ Ø ɹ					
1009-3			kʰ					
1022-3			s ɹ					
1021-3			Ø u k					
1043-3			Ø u ŋ					
1049-3			t Ø Ø					
1065-3			kʰ Ø ŋ					
1068-3			j au					
1077-3			l u ŋ					
1081-3			r ɔː ŋ					
1084-3			h i ŋ					
1092-3			m u					
1091-3			tɕʰ Ø					
1096-3			n ɔː					
1097-3			Ø Ø					
1102-3			Ø Ø					
1104-3			tʰ Ø ɹ					
1108-3			tɕʰ a k					
552-3			dʑ ɔː					
1111-3			b l au					
1116-3			s ɔː ɹ					
722-3			kʰ					
1141-3			j ɔː ŋ					
1147-3			b u					
1146-3			z Ø					
1150-3			h ɹ a ŋ					
1151-3			u m					
1158-3			h a k					
1159-3			pʰ ɔː					
1164-3			tʰ ɹ					
1163-3			l ɔː					
1167-3			s a ŋ					
1171-3			l Ø					
1177-3			s Ø ɹ					
1187-3			kʰ ɔː					
1189-3			Ø i k					
52-3			kʰ ɔː					
1195-3			z Ø					
1203-3			tʰ u k					
1211-3			j ɔ					
329-3			r					
1217-3			m ɔː ŋ					
72-3			kʰ ɔː					
1218-3			tɕʰ i k					
1222-3			tɕʰ Ø ɹ					
1229-3			dʑ a m					
1238-3			d ɔː ŋ					
1249-3			m Ø					
1252-3			j ɔː					
1254-3			n u ɹ					
1253-3			s ɔ m					
1257-3			k					
1263-3			dʑ u					
1266-3			dʑ a k					
584-3			t u m					
7-3			Ø Ø					
1191-3			l ɹ a ŋ					
13-3			tɕʰ ɔː					
18-3			p i					
33-3			n u m					
74-3			t Ø					
83-3			m i k					
89-3			tʰ ɔ ŋ					
90-3			z ɹ					
104-3			m u					
123-3			tɕʰ i Ø					
122-3			kʰ Ø Ø					
121-3			m					
154-3			tɕʰ ɔ					
159-3			s					
161-3			tɕʰ Ø					
170-3			Ø ɛ t					
91-3			a					
181-3			n ɔː					
191-3			s u					
211-3			b a					
210-3			kʰ Ø					
217-3			k ɔː					
233-3			d u					
246-3			t Ø					
252-3			Ø ɛ n					
253-3			r a m					
261-3			b u					
262-3			ɹ Ø					
292-3			tʰ i Ø					
297-3			kʰ ɔ k					
311-3			k Ø					
332-3			b ɔː					
342-3			Ø					
358-3			j u ŋ					
378-3			tɕʰ ɔː ɹ					
382-3			m Ø					
397-3			Ø ɔː					
437-3			h Ø					
444-3			pʰ l a k					
465-3			Ø i					
471-3			m ɔ ŋ					
477-3			d Ø					
478-3			r au					
483-3			z a Ø					
500-3			m i ŋ					
511-3			kʰ ŋ					
525-3			tɕʰ Ø					
625-3			r u ŋ					
638-3			n u m					
640-3			Ø ɛ					
659-3			d ɔː					
711-3			Ø au					
745-3			n ɔː ɹ					
818-3			tʰ Ø k					
825-3			Ø ɔː					
841-3			j uː					
894-3			b Ø Ø					
932-3			s ɹ					
1-4				k uː				
5-4				n a				
4-4				tʰ i k				
6-4				n a ŋ				
15-4				dʑ i				
55-4				l ɔ				
56-4				Ø				
60-4				s a				
61-4				kʰ u ŋ				
80-4				dʑ ɔ k				
87-4				tɕʰ Ø				
86-4				p l u				
92-4				pʰ l Ø				
102-4				m a				
106-4				pʰ u k				
108-4				d ə				
107-4				pʰ l Ø				
112-4				pʰ a m				
115-4				s				
114-4				t u ŋ				
120-4				d u				
124-4				a				
125-4				tʰ ɔ k				
132-4				s ə				
131-4				r i ŋ				
136-4				m ə				
134-4				kʰ a k				
137-4				a				
138-4				d ɔ k				
140-4				h uː				
143-4				tɕʰ a k				
145-4				tɕʰ ɔ̃ː				
147-4				h aː				
149-4				m i k				
153-4				s				
152-4				kʰ a n				
158-4				k i k				
163-4				l i				
164-4				n iː				
167-4				pʰ a ŋ				
171-4				n u ŋ				
172-4				b u k				
173-4				t u Ø				
183-4				r aː				
185-4				m uː				
188-4				g a Ø				
189-4				tɕ i n				
193-4				h a				
196-4				m ɔ̃ː l				
199-4				tɕʰ aː				
200-4				kʰ a ɲ				
201-4				kʰ i				
202-4				kʰ				
203-4				tʰ u ŋ				
204-4				b iː				
206-4				n a m				
117-4				b iː				
146-4				kʰ eˀ				
219-4				pʰ				
218-4				tɕʰ a				
224-4				m Ø				
240-4				tɕʰ a k				
244-4				h Ø				
255-4				ɲ Ø				
260-4				b a				
263-4				r Ø				
269-4				k ɹ a k				
271-4				tʰ a k				
209-4				kʰ eˀ				
277-4				m ə				
278-4				b u ŋ				
135-4				d ə				
284-4				m iː				
797-4				Ø				
290-4				l i ŋ				
289-4				k i k				
296-4				n i				
310-4				s				
319-4				Ø				
325-4				r a				
327-4				tʰ a				
331-4				k Ø				
337-4				b ɹ a ɲ				
338-4				l i ŋ				
339-4				ɔ̃ː l				
350-4				kʰ ə				
349-4				tʰ u ŋ				
357-4				tɕʰ u				
355-4				a				
363-4				b a Ø				
361-4				tʰ Ø				
365-4				s a Ø				
364-4				k a t				
375-4				r u k				
379-4				s a t				
380-4				kʰ u				
396-4				h Ø				
400-4				m uː				
405-4				d a ŋ				
404-4				s u m				
409-4				r ɹ a k				
410-4				l i k				
415-4				b a				
416-4				b Ø				
101-4				ɲ u ŋ				
37-4				kʰ uː				
424-4				pʰ aː				
434-4				tɕʰ a m				
445-4				b				
446-4				s Ø				
451-4				t u				
457-4				n a m				
456-4				b l uː				
464-4				pʰ i ŋ				
473-4				tɕʰ Ø				
474-4				ɔ ŋ				
479-4				s a n				
489-4				h Ø				
490-4				h ɔ̃ː				
494-4				s ə				
503-4				g ə				
502-4				z a ŋ				
235-4				l u ŋ				
519-4				l Ø				
523-4				u k				
527-4				kʰ ɹ a ŋ				
538-4				s				
544-4				h a m				
850-4				a				
554-4				dʑ ə				
553-4				r i n				
558-4				kʰ ɔ̃ː ŋ				
561-4				s a				
562-4				b Ø				
564-4				h aː				
567-4				m Ø				
570-4				pʰ iː				
575-4				Ø				
582-4				l a				
585-4				Ø				
589-4				kʰ ɔ m				
593-4				d a n				
594-4				l ə				
595-4				tʰ iː				
596-4				ɲ u				
598-4				z u ɹ				
599-4				d ĩː				
602-4				z aː				
603-4				l a p				
606-4				s u				
605-4				b Ø				
620-4				l a				
637-4				pʰ a k				
639-4				dʑ Ø				
645-4				kʰ ɔ				
646-4				r ɛ ŋ				
168-4				h ɹ a k				
658-4				h a ɲ				
665-4				pʰ uː				
668-4				h uː				
677-4				t a ŋ				
75-4				k u ŋ				
678-4				s uː				
682-4				m a n				
493-4				z iː				
693-4				s ə				
694-4				m uː				
702-4				tɕ u m				
704-4				m				
176-4				l uː				
709-4				s				
710-4				t u				
