COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
717-3			b n̪ i ŋ				
269-3			r̪ ɜ q				
1512-3			x tɕ i n̪				
555-3			b ɜ k p ɜ				
751-3			n̪ ɜ ŋ				
439-3			z̪ g o				
601-3			ɕ i ŋ				
320-3			b ɜ x m ɜ				
1106-3			b u				
693-3			h ɜ b o ɽ ɑ				
221-3			s̪ t̪ ɜ r̪ e				
1199-3			t̪ʰ ɑ q ɜ				
1424-3			s̪ k u t̪ p ɜ				
904-3			l ʑ o t̪				
1273-3			b n̪ ɜ m				
1323-3			s̪ k ɜ r̪ m ɜ				
1127-3			tɕʰ ɜ r̪ p ɜ				
1529-3			tɕʰ u				
1175-3			ɾ gʲ ɜ m tθ o				
383-3			b s̪ ɪ l				
820-3			l̪ o k				
1636-3			l u ŋ				
1331-3			ʊ ɾ d̪ ɑ				
1097-3			l ɜ m				
1223-3			b ɜ ŋ ɑ				
592-3			m ɜ				
1290-3			b u t̪ p ɜ				
669-3			x s̪ ɜ ɾ				
1472-3			s̪ t̪ ɜ q ʑ i				
788-3			l o ŋ ɑ				
1191-3			ɾ ɜ m p ɜ				
626-3			m ɜ n̪ d o q				
844-3			ɑ m				
879-3			tɕʰ ɑ				
1151-3			b r̪ ɜ s̪				
1119-3			ɑ l u				
365-3			b ȵ ɜ r̪ m ɜ				
1480-3			j u ŋ				
653-3			z̪ g o k p ɜ				
1081-3			ts̪ o ŋ				
1448-3			p ɑ ɣ ɜ n̪				
1029-3			m ɑ ɾ				
863-3			ɕ ɜ				
539-3			tθʰ ɪ l				
610-3			ŋ ɑ				
350-3			b ɜ ŋ o				
871-3			o ŋ ɑ				
734-3			ɾ b ɑ				
431-3			kʰ i				
1298-3			o ɣ b u l				
929-3			b ɜ ŋ b i				
1315-3			t̪ ɑ k s̪ k ɜ n̪				
964-3			m b n̪ t̪ ɜ x				
836-3			m i				
1644-3			b r̪ u s̪ t̪ i ŋ				
547-3			ɜ t̪ ɜ				
1048-3			k ɜ k ɜ				
1692-3			b e n̪ o				
1306-3			b u				
405-3			b o ŋ o				
709-4				g o o			
522-4				õ ɣ d o ŋ			
514-4				m i k			
464-4				s̪ n̪ ɑ			
1020-4				s̪ n̪ ɑ m s̪ u l			
1355-4				s̪ o			
1464-4				l̪ tɕ e			
302-4				b l ɜ ŋ			
237-4				l̪ t̪ kʰʲ ɑ			
205-4				p ɽ ɜ q ɸ ɜ			
1089-4				l ɜ q kʰʲ ɪ l			
804-4				k ɜ ŋ m ɜ			
1263-4				b ɜ x s̪ p ɑ			
286-4				ɾ u s̪ p ɜ			
717-4				s̪ n̪ i ŋ			
269-4				ɽ ɜ q			
1512-4				tɕ i n̪			
555-4				kʰʲ ɜ k p ɜ			
751-4				n̪ ɑ ŋ			
439-4				z̪ g o			
601-4				ɕ i ŋ			
320-4				pʰ ɜ x m ɜ			
1106-4				b u e			
693-4				h ɜ kʰʲ o ɽ ɑ			
221-4				s̪ t̪ ɑ r̪ e			
1199-4				t̪ʰ ɑ̃ q p ɜ			
1424-4				s̪ k u t̪ p ɜ			
904-4				l kʰʲ o t̪			
1273-4				s̪ n̪ ɑ m			
1323-4				s̪ k ɜ r̪ m ɜ			
1127-4				tɕʰ ɜ r̪ ɸ ɑ			
1529-4				tɕʰ u			
1175-4				ɾ gʲ ɛ m tθ o			
383-4				p s̪ ɪ l			
820-4				l̪ o k			
1636-4				l u ŋ			
1331-4				ʊ ɾ d̪ kʰʲ ɑ			
1097-4				l ɜ m			
1223-4				kʰʲ ɜ ŋ ɑ			
592-4				m e			
1290-4				t̪ u t̪ p ɜ			
669-4				s̪ ɛ ɾ			
1472-4				s̪ t̪ ɜ q ʑ i			
788-4				l o ŋ ɑ			
1191-4				ɾ ɜ m p ɜ			
626-4				m ɛ n̪ d o q			
844-4				ɑ m			
879-4				tɕʰ ɑ			
1151-4				b l ɜ s̪			
1119-4				ɑ l u			
365-4				s̪ ȵ ɛ r̪ m ɜ			
1480-4				j u ŋ			
653-4				z̪ g o k p ɜ			
1081-4				ts̪ o			
1448-4				p ɑ ɣ ɜ n̪			
1029-4				m ɑ ɾ			
863-4				ɕ ɜ			
539-4				tθʰ ɪ l			
610-4				kʰʲ ɑ			
350-4				ŋ ɜ ŋ o			
871-4				õ ŋ ɑ			
734-4				ɾ kʰʲ ɑ			
431-4				kʰ i			
1298-4				õ ɣ b ʊ l			
929-4				ts̪ ɜ ŋ k i			
1315-4				t̪ ɑ k s̪ k ɜ n̪			
964-4				m ɛ n̪ t̪ ɜ x			
836-4				m i			
1644-4				b u s̪ t̪ r̪ i ŋ			
547-4				ɑ t̪ ɜ			
1048-4				k ɜ k ɜ			
1692-4				kʰʲ o n̪ o			
1306-4				b u			
405-4				b o ŋ o			
709-5					g o o		
522-5					o ɣ d o ŋ		
514-5					m ɪ k		
464-5					s̪ n̪ ɑ		
1020-5					s̪ n̪ ɜ m s̪ u l		
1355-5					s̪ o		
1464-5					l̪ tɕ ɛ		
302-5					b l ɜ ŋ		
237-5					l̪ t̪ ɑ		
205-5					p l̥ ɜ q p ɜ		
1089-5					l ɜ q ɪ l		
804-5					k ɑ ŋ m ɜ		
1263-5					b ɜ x s̪ p ɑ		
286-5					ɾ u s̪ p ɜ		
717-5					s̪ n̪ i ŋ		
269-5					ɜ q		
1512-5					x tɕ ɪ n̪		
555-5					ɜ k p ɜ		
751-5					n̪ ɜ ŋ		
439-5					z̪ g o		
601-5					ɕ i ŋ		
320-5					pʰ ɜ x m ɜ		
1106-5					b u b		
693-5					h ɜ o ɽ ɑ		
221-5					s̪ t̪ ɑ r̪ ɛ		
1199-5					t̪ʰ ɑ q p ɜ		
1424-5					s̪ k u t̪ p ɜ		
904-5					l t̪		
1273-5					s̪ n̪ ɑ m		
1323-5					s̪ k ɑ r̪ m ɑ		
1127-5					tɕʰ ɑ r̪ ɑ		
1529-5					tɕʰ u		
1175-5					ɾ gʲ ɛ m o		
383-5					p s̪ ɪ l		
820-5					l̪ o k		
1636-5					l u ŋ		
1331-5					ʊ ɾ d̪ õ ɑ		
1097-5					l ɜ m		
1223-5					pʰ ɜ ŋ ɑ		
592-5					m ɛ		
1290-5					t̪ u t̪ p ɜ		
669-5					x s̪ ɛ ɾ		
1472-5					s̪ t̪ ɑ q ɖʐ i		
788-5					l o ŋ ɑ		
1191-5					ɾ ɜ m p ɜ		
626-5					m n̪ d o q		
844-5					ɑ m		
879-5					tɕʰ ɑ		
1151-5					b l ɑ s̪		
1119-5					ɑ l u		
365-5					s̪ ȵ ɛ r̪ m ɜ		
1480-5					j u ŋ		
653-5					z̪ g o k p ɜ		
1081-5					ts̪ o ŋ		
1448-5					p ɑ ɣ ɜ n̪		
1029-5					m ɑ ɾ		
863-5					ɕ ɑ		
539-5					tθʰ ɪ l		
610-5					ȵ ɑ		
350-5					pʰ ɜ ŋ o		
871-5					o ŋ ɑ		
734-5					ɾ ɑ		
431-5					kʰ i		
1298-5					o ɽ b ʊ l		
929-5					ts̪ ɜ ŋ k i		
1315-5					t̪ ɑ x s̪ k ɜ n̪		
964-5					m n̪ t̪ ɜ x		
836-5					m i		
1644-5					b s̪ t̪ r̪ i ŋ		
547-5					ɑ t̪ ɑ		
1048-5					k ɑ k ɑ		
1692-5					pʰ o n̪ o		
1306-5					b u		
405-5					b o ŋ o		
709-6						g o o	
522-6						ɣ d o ŋ	
514-6						m ɪ k	
464-6						s̪ n̪ ɑ	
1020-6						x n̪ ɜ m s̪ u l	
1355-6						s̪ o	
1464-6						l̪ tɕ e	
302-6						b l ɜ ŋ	
237-6						l̪ t̪ f ɑ	
205-6						p ɜ q p ɜ	
1089-6						l ɜ q t̪ ɪ l	
804-6						k ɑ ŋ m ɜ	
1263-6						b ɜ x s̪ p ɜ	
286-6						ɾ u s̪ p ɜ	
717-6						s̪ n̪ i ŋ	
269-6						ʈʂ ɜ q	
1512-6						x tɕ ɪ n̪	
555-6						ɜ k p ɜ	
751-6						n̪ ɜ ŋ	
439-6						z̪ g o	
601-6						ɕ i ŋ	
320-6						pʰ ɜ x m ɜ	
1106-6						b u	
693-6						h ɜ t̪ o g ɑ	
221-6						s̪ t̪ ɜ r̪ e	
1199-6						t̪ʰ ɜ q p ɜ	
1424-6						s̪ k u t̪ p ɜ	
904-6						l z̪ o t̪	
1273-6						s̪ n̪ ɜ m	
1323-6						s̪ k ɜ r̪ m ɜ	
1127-6						tɕʰ ɜ r̪ g ɜ	
1529-6						tɕʰ u	
1175-6						ɾ gʲ ɛ m t̪ õ	
383-6						p s̪ ɪ l	
820-6						l̪ o k	
1636-6						l u ŋ	
1331-6						ɾ d̪ f ɑ	
1097-6						l ɜ m	
1223-6						pʰ ɜ ŋ ɑ	
592-6						m ɛ	
1290-6						t̪ u t̪ p ɜ	
669-6						x s̪ ɛ ɾ	
1472-6						s̪ t̪ ɑ ɣ ʑ i	
788-6						l o ŋ ɑ	
1191-6						ɾ ɜ m p ɜ	
626-6						m n̪ d õ q	
844-6						ɑ m	
879-6						tɕʰ ɑ	
1151-6						b l ɜ s̪	
1119-6						ɑ l u	
365-6						s̪ ȵ r̪ m ɜ	
1480-6						j u ŋ	
653-6						z̪ g o k p ɜ	
1081-6						ts̪ o ŋ	
1448-6						p ɑ ɣ ɜ n̪	
1029-6						m ɑ ɾ	
863-6						ɕ ɜ	
539-6						tθʰ ɪ l	
610-6						g ɑ	
350-6						pʰ ɜ ŋ o	
871-6						o ŋ ɑ	
734-6						ɾ f ɑ	
431-6						kʰ i	
1298-6						o ɾ b ʊ l	
929-6						ts̪ ɜ ŋ k i	
1315-6						t̪ ɑ x s̪ k ɜ n̪	
964-6						m i n̪ t̪ ɜ x	
836-6						m i	
1644-6						b ʊ s̪ t̪ r̪ i ŋ	
547-6						ɑ t̪ ɜ	
1048-6						k ɜ k ɜ	
1692-6						pʰ o n̪ o	
1306-6						b u	
405-6						b o ŋ o	
709-7							g o o
522-7							r̪ ɾ d o ŋ
514-7							m i k
464-7							s̪ n̪ ɑ
1020-7							s̪ n̪ ɜ m s̪ u l
1355-7							s̪ o
1464-7							l̪ tɕ e
302-7							pʰ r̪ ɑ ŋ
237-7							lʲ t̪ dð ɑ
205-7							p lʲ ɑ q t̪ʰ ɑ
1089-7							l ɜ q d i l
804-7							k ɜ ŋ m ɜ
1263-7							b ɜ k s̪ p ɜ
286-7							ɾ u s̪ p ɜ
717-7							s̪ n̪ i ŋ
269-7							r̪ ɜ q
1512-7							x tɕ i n̪
555-7							gʲ ɜ k p ɑ
751-7							n̪ ɜ ŋ
439-7							z̪ g o
601-7							ɕ i ŋ
320-7							ɕ ɑ x m ɜ
1106-7							b u b
693-7							s̪ ɑ dð o r̪ ɑ
221-7							s̪ t̪ ɜ r̪ e
1199-7							t̪ʰ ɜ q p ɑ
1424-7							s̪ k u t̪ ɸ ɑ
904-7							l s̪ o t̪
1273-7							s̪ n̪ ɜ m
1323-7							s̪ k ɜ r̪ m ɜ
1127-7							tɕʰ ɜ r̪ p ɜ
1529-7							g u
1175-7							ɾ gʲ lʲ m tθ o
383-7							p s̪ i l
820-7							lʲ o k
1636-7							x lʲ u ŋ
1331-7							r̪ ɾ d̪ o ɑ
1097-7							l ɜ m
1223-7							h ɜ m ɜ
592-7							m e
1290-7							s̪ u t̪ p ɜ
669-7							x s̪ e ɾ
1472-7							s̪ t̪ ɑ q ʑ i
788-7							l o m ɑ
1191-7							ɾ ɜ m p ɑ
626-7							m i n̪ d o q
844-7							ɑ m
879-7							g ɑ
1151-7							pʰ ɾ ɑ s̪
1119-7							ɑ l u
365-7							s̪ ȵ lʲ r̪ m ɜ
1480-7							j u
653-7							z̪ g o k p ɑ
1081-7							ts̪ o ŋ
1448-7							p ɑ t̪ʰ ɑ m
1029-7							m ɑ ɾ
863-7							ɕ ɜ
539-7							g i l
610-7							ȵ ɑ
350-7							h ɜ ŋ m o
871-7							õ ŋ m ɑ
734-7							ɾ dð ɑ
431-7							kʰ i
1298-7							ɜ ɾ̥ b e l
929-7							h ɜ ŋ gʲ i
1315-7							t̪ ɜ k s̪ k ɜ n̪
964-7							m i n̪ t̪ ɜ x
836-7							m i
1644-7							pʰ u s̪ ʈ r̪ i ŋ
547-7							ɜ t̪ ɜ
1048-7							k ɜ k ɑ
1692-7							n̪ e n̪ õ
1306-7							pʰ u
405-7							b o ŋ o
